12年12月24日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月24日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾘﾎﾞﾝ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄアザゼル, 55,ムｰア,, 57,* -1,   0, 4,  8.7,③③④, 1,10, シシャモフレンド,,白浜雄,,,,, 5, 13.4,②②②, 1,12,Ｆタイムズアロｰ, 70,北村友,, 76,* -7,  23, 4, 12.7,②②②, 1, 2,Ｆクイｰンリヴィエラ, 76,武豊  ,, 80,* 13,  -6, 7, 22.0, ③③
 2,14,Ａナムライットウセイ, 66,国分優, 0.0, 57,* -1,   1, 1,  1.9,⑧④③, 2, 9, ハイロｰラｰ,,小坂忠,200.5,,,, 1,  2.3,⑤④④, 2,15,Ｇスペシャルザダイヤ, 70,ルメｰ, 0.3, 73,  -8,  23, 6, 19.9,⑤⑤⑤, 2,11,Ｇマイファｰストラヴ, 75,池添謙, 0.2, 80,   3,* 11, 9, 34.7, ⑨⑨
 3, 2,Ｂエｰティｰタラント, 61,熊沢重, 0.0, 59,  -3,*  5, 3,  7.0,⑦⑧⑧, 3, 1, タマモオンゾウシ,,熊沢重,200.6,,,, 2,  3.0,①①①, 3, 5,Ｂヴォｰグトルネｰド, 76,福永祐, 0.3, 76,  -9,* 25, 2,  5.9,⑨⑨⑨, 3,10,Ｌフェアリｰレイ, 71,藤懸貴, 0.2, 75,* 14, -14, 8, 25.7, ②②
 4, 5,Ｎウォンテッド, 45,岩田康, 0.1, 57,* -1,   1, 8, 23.5,⑤⑤⑤, 4,13, ワンダｰムシャ,,北沢伸,201.4,,,, 3,  6.6,③③③, 4,14,Ｅアイアイエンデバｰ, 71,吉田豊, 0.5, 73,  -8,  22,10, 53.6,⑥⑥⑥, 4, 7,Ｄニシノテキｰラ, 77,松山弘, 0.3, 77,   4,   7,11, 43.5, ⑥⑥
 5, 1,Ｈコンゴウセイウン, 50,高倉稜, 0.2, 56,  -3,*  3,11, 62.1,⑪⑩⑨, 5,11, トウカイエナジｰ,,植野貴,204.3,,,, 4, 13.2,⑥⑥⑥, 5, 6,Ａエアラギオｰル, 78,岩田康, 0.5, 73,  -8,  21, 1,  1.5,④④④, 5, 3,Ａスタｰコレクション, 81,福永祐, 0.4, 77,   5,   4, 1,  2.2, ⑤④
 6, 7,Ｅテイエムシシｰポス, 54,鮫島良, 0.6, 56,  -5,*  3,13,155.6,⑬⑬⑪, 6, 5, アイアムエレガント,,浜野谷,204.7,,,,11, 83.6,④⑤⑤, 6, 3,Ｃミラグロッサ, 73,和田竜, 0.6, 74,  -9,  22, 3, 11.0,⑦⑧⑧, 6, 8,Ｋクリスティロマンス, 72,ルメｰ, 0.6, 76,   0,* 10, 4,  7.5, ⑩⑩
 7, 6,Ｊペプチドマンボウ, 49,和田竜, 0.7, 53,*  0,  -7, 9, 46.3,②②②, 7, 4, セフティｰフライト,,横山義,205.1,,,, 8, 32.4,⑧⑦⑦, 7, 4,Ｄサウンドビガレス, 72,藤岡佑, 0.7, 74, -11,* 24, 7, 30.0,⑭⑫⑪, 7, 4,Ｉキンショｰオトヒメ, 74,酒井学, 0.9, 74,  -1,* 10,12,141.1, ⑪⑫
 8,11,Ｃミラクレスト, 56,浜中俊, 1.0, 51,  -2,  -6, 5, 13.4,⑥⑦⑥, 8, 8, ボンバルディエｰレ,,蓑島靖,207.7,,,,10, 71.4,⑩⑨⑨, 8, 9,Ｉハワイアンソルト, 69,ムｰア, 1.1, 68,  -9,  17, 5, 19.1,⑧⑦⑦, 8,12,Ｃサンマルクイｰン, 77,秋山真, 0.9, 68,* 15, -25, 5, 11.5, ①①
 9, 8,Ｆメイキングドラマ, 52,大野拓, 1.1, 51,  -5,  -1,12,155.2,⑭⑫⑩, 9,12, ボストンストロング,,林満明,208.7,,,,12,130.5,⑦⑧⑧, 9, 7,Ｏチキリリキオｰ, 66,酒井学, 1.2, 71, -11,  20,13,213.1,⑫⑬⑫, 9, 5,Ｂマイネマオ, 78,ムｰア, 0.9, 71,   3,   1, 2,  5.5, ⑦⑧
10,12,Ｇマイネルゲイナｰ, 50,中井裕, 1.1, 54,  -3,  -5, 6, 20.0,⑨⑨⑦,10, 6, ワンダフルフェロｰ,,黒岩悠,212.2,,,,13,170.1,⑨⑩⑩,10, 8,Ｊリズミックビｰト, 68,鮫島良, 1.4, 71, -14,* 25, 9, 50.5,⑮⑮⑮,10, 6,Ｊアマファソン, 73,川田将, 1.0, 72,   0,   5,10, 35.0, ⑫⑪
11, 9,Ｉテイエムデンゲキ, 50,松田大, 1.4, 48,  -6,  -1,14,156.8,⑮⑮⑬,11, 7, シゲルシャチョウ,,中村将,214.3,,,, 6, 19.3,⑪⑪⑪,11,13,Ｐウアジェト, 51,池添謙, 1.4, 66,* -7,  12, 8, 46.1,③③③,11, 1,Ｈオｰシャンビｰナス, 75,北村友, 1.0, 70,   3,   0, 6, 12.2, ⑧⑦
12,15,Ｌオリエンタルサン, 47,太宰啓, 1.4, 51,  -6,  -1,10, 49.0,⑩⑭⑭,12, 3, メイショウカルロ,,西谷誠,215.0,,,, 7, 28.3,⑫⑫⑫,12, 1,Ｎワンダｰバライル, 66,水口優, 1.5, 64, -11,  17,14,254.1,⑪⑪⑬,12, 9,Ｅネヴァｰフェイド, 76,藤岡佑, 1.2, 69,   5,  -8, 3,  7.3, ④⑤
13,13,Ｋパワｰオブシャドｰ, 48,酒井学, 1.5, 50,  -5,  -6,15,271.9,⑫⑪⑫,13, 2, マイネルトレｰス,,五十嵐,218.9,,,, 9, 45.0,⑬⑬⑬,13,11,Ｌフォルトファｰレン, 68,中井裕, 1.6, 69,  -9,  14,12,102.5,⑩⑩⑩,,,,,,,,,,,,
14,10,Ｏジャックトゥキング, 43,藤懸貴, 3.6, 33,  -4, -25, 7, 20.3,④⑥⑮,,,,,,,,,,,,,14,16,Ｈネオジェイズレｰヌ, 69,藤懸貴, 1.7, 66, -13,  19,15,390.6,⑬⑭⑭,,,,,,,,,,,,
15, 3,Ｍトキノロブロイ, 46,福永祐, 3.8, 33,*  0, -34, 2,  5.5,①①①,,,,,,,,,,,,,15,10,Ｍゴッドフロｰラ, 67,菱田裕, 1.7, 63,* -7,   7,11, 60.5,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,
単勝:870円 複勝:04=290円 14=110円 02=180円 枠連:700円,,,,,,,,,,,,"単勝:1,340円 複勝:10=210円 09=110円 01=140円 枠連:610円",,,,,,,,,,,,"単勝:1,270円 複勝:12=720円 15=940円 05=460円 枠連:6,920円",,,,,,,,,,,,"単勝:2,200円 複勝:02=760円 11=1,010円 10=860円 枠連:5,930円",,,,,,,,,,,
