12年10月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,道頓堀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａメイショウアルファ, 63,水口優,, 57,*  7,  -2, 1,  2.3, ①①, 1, 4, マルカファントム,,森一馬,,,,, 2,  4.2,①①①, 1,13,Ｂマイネマオ, 76,和田竜,, 80,   7,*  4, 2,  4.1, ⑭⑫, 1, 2,Ｂハクサンムｰン, 82,小牧太,, 88,* 16,   2, 1,  2.1, ①①
 2, 2,Ｈシゲルコギツネザ, 39,国分恭, 1.0, 47,   3,  -7, 3,  7.4, ③③, 2, 9, アグネスハイヤｰ,,中村将,202.8,,,, 3,  4.4,⑤④④, 2, 7,Ｅクランモンタナ, 73,浜中俊, 0.0, 79,  10,* -3, 1,  1.7, ④④, 2, 6,Ｉニシノビｰクイック, 74,武幸四, 0.3, 83,  -1,* 15, 7, 16.4, ⑨⑩
 3,15,Ｇシゲルツルザ, 42,川須栄, 1.1, 48,*  6, -11, 9, 42.5, ②②, 3, 3, アイノレグルス,,小坂忠,202.8,,,, 1,  2.1,②②②, 3, 3,Ｆアイウォントユｰ, 70,幸英明, 0.5, 76,   9,  -7, 8, 32.8, ⑦⑦, 3, 7,Ｈアイラブリリ, 74,田中健, 0.4, 82,* 14,  -2, 8, 19.4, ②②
 4,10,Ｂスズカアルファ, 51,菱田裕, 1.1, 43,  -5,* -1, 6, 14.8, ⑧⑧, 4, 6, テンシノマズル,,黒岩悠,203.4,,,, 4,  4.8,③③③, 4,12,Ｇエアラｰテル, 69,松田大, 0.6, 73,   9,  -9, 7, 31.3, ⑩⑨, 4,13,Ｄオｰシャンカレント, 81,幸英明, 0.4, 83,   2,  10, 5, 10.9, ⑧⑧
 5, 6,Ｆマイアリア, 43,幸英明, 1.1, 43,  -8,*  3,10, 60.0, ⑪⑪, 5, 2, メイショウタｰビン,,難波剛,204.6,,,, 9, 98.4,⑨⑦⑥, 5,18,Ｊソｰテルヌ, 56,秋山真, 0.9, 71,   5,* -3,10,103.8, ⑯⑮, 5,10,Ｃボストンエンペラｰ, 82,和田竜, 0.4, 82,   7,   6, 2,  5.3, ⑤⑤
 6, 8,Ｄオリエンタルサン, 44,太宰啓, 1.1, 45,   0,  -5, 4, 10.5, ⑤⑤, 6, 7, ライジングバイオ,,今村康,205.8,,,, 6, 54.4,⑥⑥⑤, 6,14,Ｄティボリペガサス, 73,高倉稜, 1.0, 69,* 12, -19, 6, 18.8, ⑥⑤, 6, 4,Ｏバクシンカｰリｰ, 70,藤岡佑, 0.5, 81,   6,   5,12, 96.7, ④④
 7, 1,Ｅハギノグラミｰ, 44,小牧太, 1.2, 43,  -5,* -1, 5, 11.5, ⑨⑩, 7, 1, スズカジェネラル,,林満明,206.3,,,, 5, 25.7,⑧⑨⑦, 7,16,Ｉフレｰジャパン, 64,藤田伸, 1.0, 69,   8, -10, 3,  9.2, ⑪⑬, 7,15,Ｆシャイニｰホｰク, 78,川田将, 0.6, 79,   1,   8, 4,  9.9, ⑩⑨
 8,14,Ｌメイショウラムダ, 31,藤岡佑, 1.6, 41,  -1,  -9, 7, 15.7, ⑦⑥, 8, 5, クレバｰロッシｰ,,山本康,208.4,,,, 7, 57.5,⑦⑧⑧, 8, 8,Ｎダンツフォワｰド, 53,太宰啓, 1.1, 67,   8, -12,12,156.8, ⑨⑪, 8, 1,Ａダンスファンタジア, 82,ピンナ, 0.8, 77,   4,   3, 3,  8.2, ⑥⑥
