12年 5月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 5月13日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はやぶさ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂスズカキングダム, 61,松田大,, 66,  -3,*  9, 1,  2.8,⑤⑤⑤, 1, 3,Ｂロｰリングストｰン, 61,木幡初,, 72,   0,* 11, 2,  4.9,⑫⑪⑨, 1,13,Ａゴｰルデングロｰブ, 73,松山弘,, 67,   1,* 19, 1,  4.0, ⑫⑫, 1, 6,Ｋパｰプルタイガｰ, 57,田中博,, 74,*  6,   3,13, 83.1,   
 2, 9,Ｇキャプテンジャパン, 54,吉田隼, 0.0, 63,* -2,*  6, 2,  5.5,②②②, 2,12,Ｊズルフィカｰル, 53,田中博, 0.2, 68,*  2,  -2, 5,  7.6,②③③, 2, 5,Ｎランブイエ, 57,西田雄, 0.2, 62,   8,  -2,10, 52.2, ③③, 2,15,Ｉオレニホレルナヨ, 57,古川吉, 0.0, 74,*  4,   5, 3,  6.9,   
 3, 8,Ｄヤマニンメダイユ, 57,田中健, 1.3, 56,* -3,  -3, 4,  6.9,③④④, 3, 6,Ａマイネルリヒト, 70,大野拓, 0.6, 67,   0,   0, 1,  3.1,⑧⑧⑦, 3, 2,Ｄスイｰトテン, 71,西村太, 0.3, 60,* 12, -11, 5,  7.7, ②②, 3, 2,Ｊスタｰゲイジング, 57,勝浦正, 0.1, 71,  -6,* 10,15,185.5,   
 4, 6,Ａダヴィｰド, 68,古川吉, 1.4, 57,  -8,*  6, 3,  5.6,⑬⑭⑭, 4,16,Ｇヴィサｰジュ, 57,古川吉, 1.1, 60,*  3, -20, 6,  9.6,①①①, 4, 3,Ｆウインルキア, 69,吉田隼, 0.4, 64,   7,   2, 4,  6.0, ④④, 4, 3,Ｃマロンクン, 66,西田雄, 0.3, 68,  -2,   5, 7, 17.4,   
 5, 3,Ｎマサノジンライ, 30,村田一, 1.5, 57,  -7,   3,14,141.8,⑮⑫⑫, 5,11,Ｃスマｰトラファエル, 61,中舘英, 1.1, 61,   1, -11, 3,  5.3,⑥⑤⑤, 5,10,Ｂアソルｰタ, 72,大野拓, 0.4, 64,   6,   1, 3,  5.1, ⑤⑤, 5, 1,Ａダノンエレガント, 77,吉田隼, 0.4, 68,   3,   1, 1,  2.2,   
 6, 5,Ｃロトスカイハイ, 58,大野拓, 1.5, 55,  -8,   5, 5,  9.7,⑪⑬⑬, 6,15,Ｄマストゴｰオン, 61,丸山元, 1.2, 61,  -5,*  4, 4,  6.3,⑬⑭⑭, 6, 8,Ｅキトゥンブルｰ, 70,丸山元, 0.5, 61,   5,   2, 7, 16.5, ⑧⑧, 6,16,Ｇサウンドガガ, 60,松山弘, 0.5, 66,*  7,  -4, 5,  8.5,   
 7,10,Ｅシンゼンユメノスケ, 56,中舘英, 1.9, 51,  -4,  -6, 8, 18.9,⑦⑦⑦, 7,14,Ｉレッドエナジｰ, 54,勝浦正, 1.5, 56,   1, -17,11, 95.9,④④④, 7, 9,Ｋクリアキｰ, 65,伊藤工, 0.6, 61,   4,   4,11, 59.7, ⑨⑨, 7,12,Ｂサウスビクトル, 70,木幡初, 0.5, 66,  -1,   2, 2,  6.7,   
 8, 1,Ｈシｰフェリックス, 54,藤懸貴, 2.0, 48,* -2, -12, 6, 12.8,①①①, 8,10,Ｏオｰスミムｰン, 46,藤懸貴, 1.6, 55,*  4, -27,14,139.6,⑨②②, 8, 6,Ｈカシマパフュｰム, 69,中谷雄, 0.6, 61,   5,   1,13, 64.8, ⑦⑦, 8, 8,Ｄロｰレルエナジｰ, 63,宮崎北, 0.6, 62, -14,*  9, 6, 14.8,   
