12年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,逆瀬川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａキクノソル, 66,和田竜,, 61,   2,* -1, 1,  2.5,③③③, 1, 7,Ｃアクションスタｰ, 61,ルメｰ,, 70, -18,* 16, 1,  2.1, ④④, 1,11,Ｄハルカフジ, 75,藤岡佑,, 78,*  3,  13, 5,  9.4,②②②, 1, 3,Ｂサクラアルディｰト, 88,川田将,, 91,  -3,* 22, 1,  2.7, ④④
 2, 1,Ｃリアライズブラザｰ, 59,内田博, 0.7, 55,   1,  -5, 2,  3.3,⑤④④, 2, 2,Ｅテイエムレンジャｰ, 55,和田竜, 0.2, 67, -18,  13, 6, 13.7, ③③, 2, 1,Ａエアラギオｰル, 80,デムｰ, 0.1, 72,   2,  13, 1,  2.8,③④④, 2, 6,Ａジェントルマン, 88,福永祐, 0.1, 91,  -4,* 24, 3,  5.4, ⑧⑧
 3, 8,Ｄハナズハント, 58,ウィリ, 0.9, 54,   0,  -6, 4,  7.8,④⑤⑤, 3,10,Ｆラルプデュエズ, 55,デムｰ, 0.3, 65, -18,  13, 2,  3.4, ⑧⑥, 3, 2,Ｅキクタロウ, 74,ムｰア, 0.2, 76,   2,* 15, 4,  9.2,⑦⑦⑧, 3, 8,Ｃカレンミロティック, 86,池添謙, 0.3, 87,  -2,  18, 4,  6.2, ⑤⑤
 4, 4,Ｂタガノギャラクシｰ, 65,福永祐, 1.0, 53,*  3, -12, 3,  4.3,①①①, 4, 3,Ｊウインクルキラリ, 47,熊沢重, 0.4, 63,*-15,   6, 9, 75.9, ①①, 4,12,Ｆオｰシャンドライブ, 72,浜中俊, 0.4, 73,*  3,   9, 3,  6.8,④③③, 4, 7,Ｈランリョウオｰ, 82,ムｰア, 0.3, 88,  -4,  21, 2,  4.6, ⑨⑨
 5, 2,Ｅバｰドバｰニング, 55,国分恭, 1.2, 53,   0,  -6, 5, 16.3,⑦⑦⑥, 5, 8,Ｄラカ, 60,内田博, 0.5, 66, -19,  14, 3,  7.2, ⑩⑩, 5, 9,Ｎフｰラブライド, 67,藤田伸, 0.4, 78,  -1,* 18, 8, 33.8,⑫⑬⑭, 5,11,Ｅミカエルビスティｰ, 86,内田博, 0.6, 81,  -3,  12, 7, 16.3, ③③
 6, 7,Ｇマイネルゲイナｰ, 50,ムｰア, 1.8, 49,   0, -11, 6, 17.0,⑥⑥⑦, 6, 5,Ｂミッキｰタイガｰ, 64,川田将, 0.5, 64, -18,  10, 4, 11.3, ⑤⑤, 6, 6,Ｂゴｰルデンアタック, 79,幸英明, 0.4, 74,   1,  12, 6, 20.9,⑧⑧⑦, 6, 4,Ｇナリタプラチナ, 83,和田竜, 0.6, 84,  -5,  18, 8, 46.0, ⑪⑪
 7, 6,Ｈサンバビｰン, 43,太宰啓, 2.1, 47,*  3, -20, 8, 30.6,②②②, 7, 6,Ｉサチゴロウ, 51,ムｰア, 0.5, 64, -19,  12, 5, 12.9, ⑦⑦, 7, 7,Ｃワンダｰアシャｰド, 77,四位洋, 0.6, 72,*  3,   6, 2,  2.8,①①①, 7, 2,Ｄアナバティック, 86,ウィリ, 0.7, 77,* -1,   9, 6, 14.4, ②②
 8, 9,Ｆアルペジオ, 54,幸英明, 3.1, 40,  -2, -19, 7, 27.3,⑧⑨⑧, 8, 1,Ｇチェイスザゴｰルド, 52,福永祐, 0.7, 62, -19,  10, 8, 62.7, ⑥⑧, 8,14,Ｇスズカチャンプ, 72,武豊  , 1.0, 71,  -1,  13, 7, 21.8,⑮⑭⑫, 8, 5,Ｋタイキエイワン, 72,浜中俊, 0.8, 77,* -1,   6, 9, 51.8, ①①
