12年 9月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｎテイエムイナズマ, 28,幸英明,, 68, -12,*  7, 6, 29.2, ⑪③, 1, 9, マサシ,,北沢伸,,,,, 4,  7.3,⑥④②, 1, 4,Ｎダッシャｰワン, 61,浜中俊,, 76,   4,* 14, 2,  6.5, ⑭⑩, 1, 8,Ｆメイショウエバモア, 84,松山弘,, 80,* 11,   7, 4,  9.6,③②②
 2,12,Ｊヘミングウェイ, 43,浜中俊, 0.2, 65, -13,*  7, 1,  1.5, ⑤④, 2, 5, アイノレグルス,,小坂忠,203.0,,,, 2,  3.9,①①①, 2, 6,Ｉアテｰナｰズブレス, 69,酒井学, 0.4, 74,   9,*  6, 7, 20.0, ⑨⑧, 2, 2,Ａバトｰドｰル, 88,小牧太, 0.0, 82,* 11,   8, 3,  6.1,⑧③③
 3, 8,Ｆインパラトｰル, 48,岩田康, 0.8, 58, -17,*  6, 2,  4.7, ⑭⑫, 3, 4, テンシノマズル,,黒岩悠,203.2,,,, 5,  9.2,⑤⑤⑤, 3,14,Ａキクノフレヴァン, 75,和田竜, 0.5, 74,  10,   4, 4, 11.7, ⑥⑦, 3, 1,Ｂメタギャラクシｰ, 86,佐藤哲, 0.1, 84,   6,* 18, 7, 21.0,⑨⑩⑩
 4, 6,Ｃトｰコｰグリｰン, 49,武豊  , 0.8, 57, -16,   1, 3,  8.0, ⑧⑦, 4, 7, マルカファントム,,森一馬,204.0,,,, 1,  3.0,②③③, 4,15,Ｃクィｰンオブライフ, 72,北村友, 0.8, 72,  12,  -1, 5, 15.0, ④③, 4, 7,Ｃサクラブライアンス, 85,幸英明, 0.1, 82,   8,  13, 6, 14.9,⑤⑦⑥
 5,11,Ｈドラゴンサクラ, 45,小牧太, 1.0, 52,* -9, -12, 7, 30.4, ②②, 5, 8, セルリアンデｰゲン,,中村将,205.5,,,, 6, 17.2,④②④, 5, 1,Ｆオペラモｰヴ, 70,荻野要, 0.9, 73,* 17,  -6,11, 54.2, ①①, 5, 6,Ｊキクノキセキ, 77,北村友, 0.1, 82,  10,   8, 5, 12.3,④④④
 6,13,Ｄシュンシャイン, 49,和田竜, 1.2, 52, -16,  -4, 4, 14.7, ⑦⑥, 6, 6, マッシヴエンペラｰ,,熊沢重,206.3,,,, 3,  3.9,③⑥⑥, 6,12,Ｄニザエモン, 71,中井裕, 0.9, 72,* 14,  -4, 3,  9.7, ③②, 6, 3,Ｅグッドマイスタｰ, 84,岩田康, 0.2, 82,   7,  14, 1,  2.0,⑦⑨⑨
 7, 2,Ｅコスモコルデス, 48,中井裕, 1.3, 49, -14,  -7, 9, 41.7, ③⑤, 7, 1, ライジングバイオ,,今村康,206.4,,,, 9, 46.0,⑧⑧⑦, 7, 7,Ｂアフリカンハンタｰ, 75,武豊  , 1.3, 66,  10,  -4, 1,  1.7, ⑤⑥, 7, 4,Ｇダイヴァｰダウン, 82,武豊  , 0.2, 81,* 11,   6, 2,  4.2,①①①
 8, 4,Ｋソンブレロ, 36,福永祐, 1.4, 52, -20,   0, 5, 24.2, ⑫⑬, 8, 2, アスタｰコリント,,林満明,206.5,,,, 8, 28.1,⑦⑦⑧, 8,11,Ｍカシノチョッパｰ, 64,難波剛, 1.3, 63,   1,   5,12,104.9, ⑯⑭, 8,10,Ｉポイマンドレｰス, 77,酒井学, 0.5, 81,   7,  11,10,120.2,⑥⑧⑧
 9, 9,Ｍライブリシュネル, 32,渡辺薫, 1.6, 41,* -9, -21,14,368.6, ①①, 9, 3, バンブｰチェルシｰ,,植野貴,210.8,,,, 7, 23.6,⑨⑨⑨, 9,10,Ｅジャベリン, 71,幸英明, 1.4, 66,  11,  -5, 8, 24.6, ⑦④, 9, 9,Ｄヒシパｰフェクト, 85,国分恭, 1.2, 75,   8,   3, 9,112.9,⑩⑥⑦
10, 1,Ｂシゲルコウマザ, 50,花田大, 1.8, 50, -24,   3,10,145.6, ⑨⑭,,,,,,,,,,,,,10,13,Ｋヴイブラッド, 67,高田潤, 1.8, 59,   1,   1,13,127.9, ⑮⑮,10, 5,Ｈエｰシンテンモク, 80,浜中俊, 1.2, 75,   9,   1, 8, 64.1,②⑤⑤
11,10,Ａラナキラリオ, 54,池添謙, 2.1, 39, -16, -16, 8, 35.2, ④⑧,,,,,,,,,,,,,11, 2,Ｇケイアイブリザｰド, 70,岩田康, 2.1, 59,   9,  -9, 9, 31.6, ⑧⑨,,,,,,,,,,,,
12, 3,Ｇシゲルツルザ, 47,川須栄, 2.3, 38, -17, -16,13,226.8, ⑩⑩,,,,,,,,,,,,,12, 9,Ｈシュｰサクオｰ, 69,秋山真, 2.7, 53,   7, -12, 6, 18.2, ⑪⑪,,,,,,,,,,,,
13, 7,Ｉカミングアップ, 44,国分恭, 2.6, 33, -17, -21,11,154.1, ⑬⑪,,,,,,,,,,,,,13, 3,Ｌトウケイカガヤキ, 66,花田大, 2.8, 50,   2,  -9,15,295.5, ⑬⑯,,,,,,,,,,,,
14, 5,Ｌキュウシュウソダチ, 36,太宰啓, 2.6, 33, -17, -20,12,203.1, ⑥⑨,,,,,,,,,,,,,14,16,Ｐマウシャｰレ, 60,渡辺薫, 3.0, 52,   4, -12,16,392.7, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｏシゲルカリン, 61,小牧太, 3.4, 46,   6, -18,10, 36.3, ⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｊレスタｰビｰト, 69,菱田裕, 3.6, 48,* 13, -26,14,147.2, ②⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-7),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:2,920円 複勝:14=440円 12=110円 08=130円 枠連:500円",,,,,,,,,,,,"単勝:730円 複勝:09=240円 05=170円 04=210円 枠連:1,180円",,,,,,,,,,,,"単勝:650円 複勝:04=220円 06=490円 14=370円 枠連:6,740円",,,,,,,,,,,,"単勝:960円 複勝:08=270円 02=220円 01=380円 枠連:1,330円",,,,,,,,,,,
"馬連:1,400円 ワイド:12-14=520円 08-14=1,050円 08-12=180円",,,,,,,,,,,,"馬連:1,760円 ワイド:05-09=620円 04-09=870円 04-05=630円",,,,,,,,,,,,"馬連:6,460円 ワイド:04-06=1,630円 04-14=1,000円 06-14=2,480円",,,,,,,,,,,,"馬連:2,180円 ワイド:02-08=790円 01-08=1,720円 01-02=1,140円",,,,,,,,,,,
"馬単:4,850円 3連複:1,770円 3連単:23,220円",,,,,,,,,,,,"馬単:3,940円 3連複:3,670円 3連単:23,780円",,,,,,,,,,,,"馬単:13,770円 3連複:18,340円 3連単:119,340円",,,,,,,,,,,,"馬単:4,920円 3連複:9,850円 3連単:46,320円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｌヤマカツマｰフィ, 44,福永祐,, 61,   4,* -6, 2,  4.2, ⑥⑤, 1, 3, メイケイペガスタｰ,---,川須栄,, 57, -33,* 18, 1,  2.7, ⑩⑪, 1, 4,Ｆエｰシングングン, 70,武豊  ,, 76,  13,* -7, 3,  4.3,⑦⑦⑦, 1, 4,Ｎエピセアロｰム, 78,武豊  ,, 88,   5,  12, 6, 16.5, ⑤⑤
 2,16,Ｂサトノオラクル, 55,藤岡佑, 0.0, 62,   3,* -4, 4,  9.9, ⑩⑧, 2, 7, グッドレインボｰ,---,福永祐, 0.3, 52, -30,* 10, 2,  3.7, ⑧⑦, 2, 6,Ｅスイｰトテン, 70,和田竜, 0.0, 75,  15, -15, 6, 19.8,③③③, 2, 9,Ｂロｰドカナロア, 89,岩田康, 0.0, 87,*  9,   8, 1,  2.2, ③③
 3, 1,Ｃエスジｰアンクル, 55,国分優, 0.0, 60,   2,* -4, 1,  3.1, ⑨⑦, 3, 2, エｰシンマックス,---,岩田康, 0.7, 43, -29,   1, 3,  4.3, ④④, 3, 3,Ａマｰティンボロ, 75,川須栄, 0.1, 75,  16, -13, 1,  2.5,④⑤⑤, 3,16,Ｈアンシェルブルｰ, 81,和田竜, 0.0, 90,   1,* 16,12,160.4, ⑩⑧
 4,10,Ｇムツラボシ, 52,岩田康, 0.9, 53,   2, -12, 6, 13.7, ⑦⑨, 4,11, ブレｰクビｰツ,---,四位洋, 1.0, 40, -28,  -4, 8, 34.7, ③③, 4, 8,Ｂウインサｰガ, 73,岩田康, 0.1, 73,  14, -12, 2,  3.2,⑤④④, 4, 6,Ａカレンチャン, 89,池添謙, 0.1, 86,* 13,   2, 3,  5.0, ②②
 5, 6,Ｈシｰマリア, 51,中井裕, 1.0, 50,  -4,* -7, 7, 15.4, ⑬⑫, 5, 8, ゴｰルデンヒｰロｰ,---,幸英明, 1.0, 41, -30,  -2, 6, 18.5, ⑥⑥, 5,10,Ｃアイウォントユｰ, 72,幸英明, 0.5, 73,  12, -11, 5, 13.3,⑩⑩⑨, 5,14,Ｐサドンストｰム, 74,勝浦正, 0.2, 87,  -2,* 16,13,165.0, ⑪⑪
 6, 9,Ｋナデシコクリチャン, 47,酒井学, 1.1, 57,* 12, -22, 9, 43.7, ②②, 6, 4, ドリｰムデュネット,---,和田竜, 1.2, 40, -27,  -4, 4,  7.6, ⑤⑤, 6, 9,Ｉオｰスミムｰン, 60,菱田裕, 0.5, 70,  14, -17, 9,165.1,⑥⑥⑥, 6,10,Ｅエｰシンヴァｰゴウ, 84,佐藤哲, 0.3, 84,   7,   7, 4, 13.5, ④④
 7, 8,Ｐオセアニアアタック, 31,松田大, 1.1, 52,   7, -20,15,192.3, ③③, 7, 5, イノベｰション,---,浜中俊, 1.4, 35, -30,  -6, 5, 14.2, ⑪⑧, 7, 5,Ｇメイショウデビッド, 66,松山弘, 0.7, 67,  11, -15, 7, 44.1,⑧⑨⑧, 7, 7,Ｉヘニｰハウンド, 81,川島信, 0.4, 84,   4,   8, 5, 13.5, ⑥⑦
 8, 2,Ｆラブリｰリタ, 52,水口優, 1.4, 46,  -3, -12,14,140.8, ⑪⑬, 8,10, トｰホウビッグガン,---,鮫島良, 1.4, 36, -32,  -5,11, 80.1, ⑨⑩, 8, 7,Ｈモｰタウンサウンド, 65,池添謙, 1.2, 64,  11, -20, 8, 73.1,⑨⑧⑩, 8,15,Ｇスギノエンデバｰ, 82,北村友, 0.4, 85,  -4,* 16, 8, 20.3, ⑬⑭
