12年 7月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北海ﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃエクスパｰシヴ, 43,川須栄,, 52, -18,*  4, 2,  5.5, ⑧⑦, 1, 3,Ａマイネルハｰトレｰ, 68,川須栄,, 66,  -2,*  8, 2,  3.2,⑩⑦⑤, 1, 4,Ｈメジロツボネ, 64,黛弘人,, 71,*  3,   0, 3,  4.8, ①①, 1, 4,Ｃユウキソルジャｰ, 80,吉田隼,, 79,  12,   0, 1,  3.1,④④③
 2, 7,Ｄハヤブサペコチャン, 42,吉田隼, 0.1, 50, -13,  -2, 4,  6.0, ④④, 2, 4,Ｊエアウィｰバｰ, 50,松田大, 0.3, 62,  -2,   5, 3, 11.2,④⑤④, 2, 7,Ｂサウスビクトル, 70,丸田恭, 0.1, 68,  -2,   4, 4,  5.8, ⑤⑤, 2, 9,Ｇマッキｰバッハ, 74,荻野琢, 0.1, 77,  10,*  4, 5,  8.4,⑨⑨⑧
 3, 6, タイセイスウィｰプ,---,藤岡佑, 0.1, 50,* -9,  -6, 1,  2.8, ①①, 3,10,Ｈエｰスドライバｰ, 54,大野拓, 0.5, 60,  -1,   2, 4, 14.7,⑧④③, 3,16,Ａタツストロング, 70,四位洋, 0.1, 69,  -4,   5, 1,  3.7, ⑦⑥, 3, 7,Ｆクリノメダリスト, 77,伊藤工, 0.2, 79,  12,  -2, 4,  6.7,⑥⑤⑤
 4, 4,Ａヴェアリアスロｰズ, 58,丸山元, 0.2, 50, -15,   0, 6, 11.3, ⑤⑤, 4, 2,Ｃマウントゼンノエ, 62,村田一, 0.6, 64,  -5,* 10, 5, 20.6,⑪⑫⑩, 4, 5,Ｄブリｰジｰデイズ, 68,丸山元, 0.2, 67,  -6,   7, 8, 23.7, ⑨⑧, 4, 3,Ｉジェイケイラン, 72,丸田恭, 0.3, 75,   9,*  3, 9, 27.6,⑪⑪⑩
 5, 1,Ｅソウキュウ, 39,三浦皇, 0.2, 49, -14,  -2, 7, 16.8, ⑥⑥, 5, 8,Ｉアメイズリｰ, 52,菱田裕, 0.7, 59,* -1,  -2,10,143.0,②①①, 5,11,Ｋノッティングガｰル, 62,横山和, 0.3, 66,*  0,  -1,12, 46.3, ③③, 5, 8,Ｂミッションモｰド, 80,藤田伸, 0.5, 75,* 13, -10, 2,  4.2,②②②
 6, 9,Ｆヒュウガミズキ, 33,津村明, 0.4, 45,*-10,  -9, 3,  5.7, ②②, 6,12,Ｂハヤブサフィｰバｰ, 65,吉田隼, 0.9, 56,*  0,  -3, 1,  1.7,③③②, 6,12,Ｊデイジｰバロｰズ, 63,菱田裕, 0.3, 67, -13,* 12, 5, 11.6, ⑮⑮, 6, 1,Ｅゴｰゴｰヒュウガ, 79,秋山真, 0.7, 73,  11,  -7, 3,  6.2,⑤⑥⑦
 7, 2, エｰシンジョｰイ,---,藤田伸, 0.6, 45, -22,   1, 8, 29.5, ⑨⑨, 7, 9,Ｄキョウワアｰク, 58,津村明, 0.9, 59,  -2,   1, 8, 35.5,⑤⑥⑦, 7,15,Ｅジョｰアカリン, 67,古川吉, 0.3, 67,  -1,   1, 2,  4.3, ④④, 7,10,Ｄマｰジｰビｰト, 79,大野拓, 0.7, 74,  10,  -6, 6, 13.2,⑧⑦⑥
 8, 3,Ｂグラマラスグロウ, 44,木幡初, 0.7, 42, -11, -11, 5,  6.0, ③③, 8, 1,Ｆアキノセイレン, 57,横山和, 0.9, 59,  -3,   2,12,158.1,⑥⑧⑥, 8,13,Ｃヤマニンシバルリｰ, 69,柴山雄, 0.3, 66,  -8,   7,13, 60.1, ⑪⑩, 8, 5,Ｊカリスマミッキｰ, 71,川須栄, 0.9, 72,  12, -12, 7, 15.8,③③④
 9, 8, マイネシャッツ,---,大野拓, 1.9, 29, -15, -22, 9, 38.6, ⑦⑧, 9, 5,Ｇシゲルポｰポｰ, 56,丸山元, 1.6, 56,  -4,  -3, 7, 31.8,⑫⑩⑧, 9, 3,Ｐウインラｰニッド, 57,三浦皇, 0.4, 65,*  0,  -2, 9, 25.3, ②②, 9, 2,Ｋケｰジｰカチボシ, 68,勝浦正, 1.1, 70,  10, -11,10, 38.6,⑦⑧⑨
