12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 7,Ｄタカネナデシコ, 45,柴山雄, 2.6, 31,  -9, -16, 7, 37.0, ⑪⑪,12,11, マキノクィｰン,---,岩田康, 3.0, 39, -15,  -9, 5, 14.2, ⑭⑫,12, 7,Ｊチリトテシャン, 63,嶋田純, 1.7, 58,   1,  -3,15,179.0, ⑮⑮,12, 7,Ｎジョウノボヘミアン, 61,津村明, 1.1, 77,  -1,  16, 9, 53.5, ⑬⑬
13,15,Ｎマイネルインペリオ, 28,津村明, 2.8, 31, -12, -14,14,267.6, ⑭⑭,13,12, カツトシクン,---,吉田隼, 3.3, 36, -16, -10,14,171.3, ⑬⑭,13, 4,Ａクラウディｰハｰト, 73,三浦皇, 1.9, 57,   5, -10, 1,  4.2, ⑧⑧,13, 1,Ｅセイカプリコｰン, 84,岩田康, 1.2, 75,   2,  10, 2,  4.4, ⑦⑥
14, 1,Ｊシｰボルト, 32,三浦皇, 3.5, 27,*  4, -41, 9, 57.3, ②②,14, 8, ヴィｰンゴｰルブ,---,内田博, 4.9, 24, -12, -31, 7, 37.1, ⑥⑧,14, 5,Ｍラヴェンナ, 58,西村太, 2.3, 51,*  8, -21,10, 22.6, ①①,14,13,Ｍイチエイクリッパｰ, 76,柴田大, 2.2, 66,  -1,   7,14,262.0, ⑭⑭
15,13,Ｆアｰリｰボｰイ, 43,北村宏, 3.7, 23,  -6, -30,10, 74.1, ⑫⑩,,,,,,,,,,,,,15, 2, オギノシュタイン,---,内田博, 2.8, 51,   2, -14, 5,  8.3, ⑪⑬,,,,,,,,,,,,
16,10,Ｍマイネルピルグリム, 29,柴田大, 3.8, 23, -12, -22,15,276.1, ⑬⑬,,,,,,,,,,,,,16, 1,Ｏメイショウフロリナ, 56,小島太, 3.6, 51,   0, -16,16,296.6, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:150円 複勝:14=110円 08=650円 02=210円 枠連:1,090円",,,,,,,,,,,,"単勝:790円 複勝:14=340円 13=1,460円 10=1,270円 枠連:10,960円",,,,,,,,,,,,"単勝:1,640円 複勝:13=440円 14=190円 12=190円 枠連:4,440円",,,,,,,,,,,,"単勝:890円 複勝:14=320円 02=420円 11=500円 枠連:5,070円",,,,,,,,,,,
"馬連:2,520円 ワイド:08-14=960円 02-14=340円 02-08=2,560円",,,,,,,,,,,,"馬連:12,170円 ワイド:13-14=3,320円 10-14=3,550円 10-13=11,140円",,,,,,,,,,,,"馬連:4,540円 ワイド:13-14=1,460円 12-13=1,680円 12-14=470円",,,,,,,,,,,,"馬連:5,770円 ワイド:02-14=1,450円 11-14=1,580円 02-11=1,910円",,,,,,,,,,,
