12年 3月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂシナスタジア, 72,横山典,,,,, 2,  3.8, ③③, 1,12, ココロチラリ,---,横山典,, 69,   5,* 13, 9, 24.9, ⑩⑨, 1, 5,Ｆアヌエヌエ, 70,大野拓,,,,, 8, 27.9, ⑩⑩, 1, 9,Ｆシルクランスロット, 70,国分優,, 89,* 24,*-12, 4,  7.9,⑩⑧⑦
 2, 6,Ｅタツショウワ, 60,池添謙, 0.0,,,, 3,  6.9, ⑤④, 2,13,Ｅスリｰネイチャｰ, 60,水口優, 0.1, 67,   1,* 15, 3,  8.7, ⑪⑪, 2, 3,Ｄシゲルカイチョウ, 72,松山弘, 0.2,,,, 1,  4.4, ②②, 2,10,Ｅクリノメダリスト, 70,柴山雄, 0.4, 86,  22,*-10,11, 33.5,⑪⑬⑪
 3, 2,Ｇトｰワオモカゲ, 53,森一馬, 0.2,,,, 6, 13.8, ①①, 3, 1,Ａブルｰプルチェッラ, 68,太宰啓, 0.2, 67,   9,   4, 1,  2.7, ②③, 3, 1,Ｃタカノキング, 73,国分優, 0.3,,,, 4,  6.8, ①①, 3, 1,Ｂクリｰンメタボ, 73,太宰啓, 0.6, 83,  22,*-16, 1,  4.8,⑬⑪⑩
 4,10,Ｃクルｰジンミジｰ, 66,後藤浩, 0.2,,,, 1,  2.7, ⑥⑥, 4, 6,Ｂアクアライン, 62,高倉稜, 0.2, 68,   9,   5, 2,  3.3, ⑤⑥, 4, 6,Ｈマチノアカリ, 67,上村洋, 0.5,,,, 2,  5.6, ④④, 4,11,Ｈアサクサポイント, 68,川須栄, 1.1, 80,* 26, -33, 7,  9.1,⑫①①
 5, 3,Ａシゲルアプリコット, 73,松田大, 1.2,,,, 4,  7.5, ②②, 5,10,Ｄタガノカノｰプス, 61,国分恭, 0.5, 66,* 13,  -3, 5, 14.7, ①①, 5,13,Ｅニシノゲイナｰ, 71,後藤浩, 0.5,,,, 5,  7.7, ⑨⑨, 5, 5,Ｃハシルヨミテテ, 73,大野拓, 1.4, 79,* 24, -32, 2,  5.9,⑥⑤⑥
 6,14,Ｄミヤジチョビ, 60,和田竜, 1.3,,,, 5,  9.8, ⑦⑧, 6, 9, マコトヴィルッキオ,---,松山弘, 0.9, 59,   4,   3, 8, 24.6, ⑨⑩, 6,14,Ｊデステニｰアロｰ, 63,宮崎北, 0.7,,,, 9, 30.4, ⑫⑫, 6,13,Ａスマッシュスマイル, 75,中井裕, 1.6, 76,  23, -33, 8,  9.3,⑦⑦⑧
 7, 1,Ｊパｰプルダイガク, 48,高倉稜, 1.6,,,,13,207.0, ⑧⑦, 7, 3,Ｊテイエムアピｰル, 44,菱田裕, 0.9, 59,   5,   0,13, 92.0, ⑥⑦, 7,12,Ｉクリスリリｰ, 67,菱田裕, 0.7,,,,10, 37.1, ⑮⑮, 7, 8,Ｄヤマニンアｰマｰ, 71,松山弘, 2.9, 69,* 24, -55, 5,  8.1,②③②
 8,13,Ｐハッピｰヤングマン, 33,藤岡康, 1.8,,,, 7, 21.6, ⑫⑪, 8, 7,Ｇデンコウチャレンジ, 56,杉原誠, 1.0, 58,   5,  -1,11, 44.3, ⑦⑧, 8, 9,Ｌバｰジンバラｰド, 63,柴山雄, 0.9,,,,16,344.6, ⑬⑬, 8, 2,Ｋエリモアクアポリス, 65,的場勇, 3.1, 68,  20, -47, 9, 16.4,⑨⑫⑫
