12年 3月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沈丁花賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａハギノクｰザ, 67,丸田恭,,,,, 2,  4.6,⑥③③, 1, 7,Ｑネヴァｰハｰツ, 32,高倉稜,, 51, -13,  -3, 5,  9.9,⑪⑩⑩, 1, 7,Ｉパｰプルセンリョ, 65,吉田隼,,,,, 2,  4.3, ②②, 1,11,Ｂサンマルデュｰク, 75,吉田隼,,,,, 3,  6.7,⑧⑧⑨
 2,11,Ｄホシニイノリヲ, 57,平野優, 0.0,,,, 9, 25.4,②②②, 2,18,Ｊスリリングレディ, 47,田中博, 0.0, 50, -11,  -7,12, 59.7,⑨⑦⑦, 2, 4,Ｈスプリングオスロ, 65,国分優, 0.1,,,,14,102.0, ①①, 2,10,Ｃタイセイモンスタｰ, 74,荻野琢, 0.2,,,, 7, 13.6,⑩⑫⑫
 3,16,Ｌジョウノナタリｰ, 44,吉田稔, 0.1,,,,11, 29.0,⑯⑭⑬, 3, 2,Ｆキョウワアマテラス, 54,西村太, 0.1, 48, -13,  -7,16,134.5,⑧⑨⑧, 3,14,Ａブロックコｰド, 76,丸田恭, 0.5,,,, 1,  3.1, ⑪⑪, 3, 2,Ｈアルファウイング, 66,柴山雄, 0.2,,,, 6,  9.0,①①①
 4, 6,Ｂトップバゴスタｰ, 62,松山弘, 0.4,,,, 1,  2.3,③④④, 4,11,Ｉドウニカナルデショ, 48,国分優, 0.1, 52, -15,  -2, 2,  4.0,⑭⑫⑪, 4, 2,Ｌマッシヴリｰダｰ, 61,東川公, 0.6,,,,15,113.8, ⑤④, 4,14,Ｇワイルドロジャｰ, 69,田中博, 0.4,,,,10, 26.9,⑮⑥④
 5, 5,Ｇファイアｰアゲン, 53,西村太, 0.5,,,,10, 25.7,⑤⑧⑧, 5, 4,Ｄコｰナｰポケット, 56,村田一, 0.1, 47,*-10, -12, 1,  3.9,②③③, 5, 3,Ｄフレイヤ, 67,大野拓, 0.8,,,, 3,  4.4, ⑦⑥, 5, 5,Ｆスズカウラノス, 69,高倉稜, 0.7,,,, 9, 16.9,⑪⑨⑩
 6,13,Ｅポｰズ, 56,高倉稜, 0.6,,,, 7, 20.0,⑧⑤⑤, 6,13,Ｃエレガントカクテル, 57,松田大, 0.1, 48, -12, -10, 3,  6.2,⑥⑥⑥, 6,16,Ｊデイズオブメモリｰ, 62,高倉稜, 1.0,,,, 7, 14.2, ⑬⑫, 6, 9,Ａホッコｰタルマエ, 78,村田一, 0.8,,,, 4,  7.1,⑦⑩⑧
 7, 8,Ｍサラファン, 43,大野拓, 0.6,,,, 3,  8.5,⑫⑫⑫, 7,12,Ａトｰセンネフティス, 62,東川公, 0.2, 50, -14,  -3, 6, 10.2,⑩⑭⑫, 7,10,Ｅロイヤルサルｰト, 67,西村太, 1.4,,,, 6, 13.5, ⑭⑬, 7,15,Ｄウインミｰティア, 72,丸田恭, 0.8,,,, 5,  8.0,⑬⑬⑬
 8, 1,Ｊミキノウインク, 49,西田雄, 1.6,,,,13, 99.6,⑩⑨⑨, 8,10, ジョウノカｰラ,---,大野拓, 0.2, 54, -17,*  2, 8, 18.8,⑰⑯⑮, 8, 6,Ｂワイルドジョイ, 68,長岡禎, 1.4,,,,10, 50.7, ③③, 8, 1,Ｅタマモクララ, 70,藤岡康, 0.9,,,, 1,  3.8,③③②
 9,14,Ｉリバｰマンサｰナ, 49,菱田裕, 1.7,,,,16,217.8,⑪⑩⑩, 9, 1,Ｂラムドレｰヌ, 59,藤岡康, 0.2, 47, -11, -11, 4,  9.6,⑤⑤⑤, 9, 1,Ｃシンビオシス, 68,宮崎北, 1.4,,,, 8, 20.3, ⑩⑩, 9,13,Ｎハマノヴィグラス, 57,松田大, 1.0,,,,14, 99.8,②②③
10,15,Ｈハｰトオブミニｰ, 51,国分優, 1.8,,,, 8, 23.0,⑬⑪⑪,10,17,Ｐマウンツエンジェル, 33,吉田隼, 0.3, 44,*-10, -16, 7, 10.4,④④④,10,12,Ｏネオファンシｰ, 52,吉田稔, 1.8,,,,11, 53.6, ⑮⑮,10, 6,Ｊマナウス, 63,川須栄, 1.9,,,, 2,  5.6,④⑤⑥
11, 2,Ｆブルｰピアス, 55,宮崎北, 1.9,,,, 4, 10.2,①①①,11,14,Ｅヴェルｰテ, 54,藤懸貴, 0.3, 52, -17,*  0,13, 76.6,⑮⑰⑯,11,11,Ｇフレンチミシル, 66,平野優, 2.0,,,, 4,  9.9, ⑨⑨,11,16,Ｌクリスマスマｰベル, 59,松山弘, 2.3,,,, 8, 15.3,⑭⑮⑮
12, 7,Ｋビバドリｰム, 49,川須栄, 1.9,,,, 6, 17.7,⑦⑥⑦,12, 9,Ｋリュドゥラペ, 47,太宰啓, 0.4, 47, -15,  -4,14,111.0,⑫⑪⑭,12,13,Ｆベストブルｰム, 66,川須栄, 2.1,,,, 5, 12.6, ⑫⑭,12, 4, ビゼｰヒル,---,東川公, 2.8,,,,16,281.3,⑨⑪⑪
13, 4,Ｃクイｰンパワｰ, 58,水口優, 2.1,,,, 5, 14.2,④⑦⑥,13, 8,Ｇヒデノビクトリア, 53,古川吉, 0.4, 52, -16,*  1,10, 38.7,⑯⑮⑰,13,15,Ｋジョｰプラチネラ, 61,古川吉, 2.3,,,,13, 90.8, ⑧⑧,13, 3,Ｋジョｰマダガスカル, 62,古川吉, 2.9,,,,12, 78.3,⑫⑭⑭
