12年12月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六甲ｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａハンドリング, 61,川田将,, 63,   4,  -6, 4,  7.3, ④③, 1, 9,Ｂレッドアリオン, 64,福永祐,, 78,* 19, -18, 2,  3.3, ①①, 1,16,Ｉゼロワンシンジロｰ, 69,和田竜,, 81,* 11,*  3, 5,  9.0, ③③, 1, 7,Ｅタマモトッププレイ, 79,池添謙,, 80,   7,  10, 7, 18.7, ⑤⑥
 2, 4,Ｂノｰトゥング, 57,岩田康, 0.0, 62,*  5,  -7, 1,  1.7, ②②, 2, 3,Ａヘミングウェイ, 65,デムｰ, 0.4, 72,* 15,*-15, 1,  1.5, ③③, 2, 6,Ｂオｰシャンパワｰ, 76,浜中俊, 0.4, 76,   8,*  4, 2,  4.5, ⑨⑦, 2, 5,Ｃトゥザサミット, 83,岩田康, 0.2, 77,   3,* 14, 8, 23.9, ⑩⑩
 3, 5,Ｆシゲルホウオウザ, 49,福永祐, 0.1, 60,   1,* -4, 2,  6.3, ⑥⑤, 3, 8,Ｄショウナンダイチ, 58,川田将, 0.9, 69,  11,*-16, 3,  7.1, ⑧⑦, 3,13,Ｌナリタキャッツアイ, 66,秋山真, 0.4, 75,   8,   2, 9, 36.1, ⑥⑤, 3, 8,Ａカイシュウコロンボ, 86,四位洋, 0.3, 76,   6,   7, 6, 14.0, ⑨⑦
 4, 7,Ｉエアｰウェｰブ, 43,酒井学, 0.6, 56,   0,  -8, 5, 19.2, ⑦⑦, 4,12,Ｃゴｰスルｰ, 62,秋山真, 1.2, 65,  13, -25, 4, 18.9, ⑤④, 4, 5,Ｄミリオンヴォルツ, 74,福永祐, 0.8, 72,   7,   0, 4,  8.3, ⑧⑧, 4, 6,Ｄクレバｰサンデｰ, 81,幸英明, 0.3, 77,   5,   9, 9, 41.2, ⑧⑧
 5, 9,Ｇクラウンシュバルツ, 49,太宰啓, 0.7, 54,  -4,* -4, 8, 36.5, ⑪⑫, 5,10,Ｆエｰシンエポナ, 49,岩田康, 1.5, 61,   6, -18, 7, 78.9, ⑨⑩, 5,15,Ｎエアギベオン, 61,岩田康, 1.3, 67,   3,   2,10, 55.0, ⑬⑬, 5, 1,Ｌアグネスマチュア, 66,藤田伸, 0.3, 76,   1,* 15,11,104.0, ⑪⑫
 6,10,Ｃアスタｰキング, 56,幸英明, 0.7, 57,*  7, -15, 3,  6.4, ①①, 6, 7,Ｉダンストゥナイト, 42,酒井学, 1.9, 57,  12, -32,10,197.3, ⑥⑥, 6, 9,Ｊシゲルケンシン, 69,太宰啓, 1.3, 68,   6,  -1, 8, 32.3, ⑫⑪, 6,12,Ｂウエストエンド, 83,和田竜, 0.4, 77,* 13,  -1, 2,  4.1, ②②
 7, 3,Ｅマイアリア, 51,秋山真, 0.8, 52,  -5,* -4, 9, 74.6, ⑬⑪, 7,11,Ｈキョウワナイト, 43,藤岡佑, 2.6, 51,   5, -29,11,364.5, ⑫⑪, 7,12,Ｅダンツレアリティ, 72,藤田伸, 1.4, 66,   1,*  3, 6, 13.7, ⑯⑭, 7, 3,Ｊサウンドバリアｰ, 72,藤岡佑, 0.6, 73,   5,   6,10, 79.3, ⑦⑨
 8,11,Ｈサトノラｰク, 49,和田竜, 0.9, 52,  -3,  -8, 6, 27.2, ⑨⑨, 8, 4,Ｊマイネルフィエスタ, 39,和田竜, 2.7, 49,   9, -40, 8,143.2, ⑦⑧, 8, 2,Ｆシゲルハンベイ, 71,藤岡佑, 1.5, 66,   5,  -3,11, 64.1, ⑪⑩, 8, 2,Ｆペルレンケッテ, 79,浜中俊, 0.6, 73,  10,  -2, 1,  2.4, ③③
 9, 2,Ｄメイショウゲンキ, 53,藤岡佑, 0.9, 53,  -1,  -8, 7, 30.1, ⑧⑧, 9, 5,Ｇレジｰム, 44,幸英明, 3.4, 44,   9, -50, 6, 70.8, ⑩⑨, 9, 3,Ａサマｰハピネス, 79,川田将, 1.5, 67,* 12, -12, 1,  2.6, ①①, 9, 4,Ｋイセノスバル, 69,芹沢純, 0.7, 72,* 12,  -7,12,107.0, ①①
10, 8,Ｊキリノトップラン, 43,野元昭, 1.1, 49,  -5,  -7,10,146.4, ⑩⑬,10, 2,Ｌキャメロンロｰド, 30,太宰啓, 3.8, 40,* 15, -64, 9,150.3, ②②,10,11,Ｃゴｰゲッタｰ, 74,松田大, 1.6, 64,* 11, -12, 3,  6.2, ②②,10, 9,Ｈオメガホｰムラン, 74,川田将, 0.9, 71,  10,  -5, 3,  4.9, ④④
11, 6,Ｍテイエムデンゲキ, 30,松田大, 1.4, 48,   2, -16,12,171.6, ③⑥,11, 1,Ｋツｰエムワンダｰ, 32,小坂忠, 5.9,  8,   1, -69,12,422.8, ⑪⑫,11, 7,Ｏニホンピロエリナ, 61,酒井学, 2.0, 62,   0,  -1,14,149.2, ⑮⑯,11,11,Ｉエネアド, 73,福永祐, 1.1, 67,   1,   4, 5, 13.7, ⑫⑪
12, 1,Ｋシゲルツルザ, 40,小坂忠, 1.8, 46,   3, -21,11,166.6, ⑤④,12, 6,Ｅアグネスリズム, 58,浜中俊, 7.2,-12,  12, ---, 5, 39.8, ④⑤,12,14,Ｈキングブラｰボ, 70,幸英明, 2.0, 62,   9, -13, 7, 16.0, ⑦⑥,12,10,Ｇアドマイヤテンバ, 78,デムｰ, 1.2, 66,   9,  -7, 4, 11.8, ⑥⑤
13,12,Ｌナムラウンメイ, 38,熊沢重, 2.2, 41,  -5, -16,13,182.5, ⑫⑩,,,,,,,,,,,,,13, 4,Ｇオリｰブ, 70,芹沢純, 2.1, 62,   8, -12,15,250.3, ⑤⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｋナイトレイダｰ, 68,池添謙, 2.2, 60,   2,  -5,12, 89.6, ⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｍスズカヘリオス, 63,国分恭, 2.2, 62,  10, -15,13,120.8, ④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐリバｰチケット, 57,小林慎, 3.5, 51,   5, -19,16,371.5, ⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
単勝:730円 複勝:13=160円 04=110円 05=160円 枠連:470円,,,,,,,,,,,,単勝:330円 複勝:09=100円 03=100円 08=130円 枠連:170円,,,,,,,,,,,,"単勝:900円 複勝:16=310円 06=180円 13=700円 枠連:1,100円",,,,,,,,,,,,"単勝:1,870円 複勝:07=580円 05=630円 08=350円 枠連:3,140円",,,,,,,,,,,
馬連:560円 ワイド:04-13=240円 05-13=590円 04-05=230円,,,,,,,,,,,,馬連:170円 ワイド:03-09=110円 08-09=200円 03-08=170円,,,,,,,,,,,,"馬連:1,870円 ワイド:06-16=760円 13-16=3,550円 06-13=2,180円",,,,,,,,,,,,"馬連:16,830円 ワイド:05-07=3,900円 07-08=1,690円 05-08=1,940円",,,,,,,,,,,
"馬単:1,490円 3連複:940円 3連単:5,980円",,,,,,,,,,,,"馬単:510円 3連複:220円 3連単:1,210円",,,,,,,,,,,,"馬単:4,610円 3連複:11,930円 3連単:73,690円",,,,,,,,,,,,"馬単:30,010円 3連複:39,900円 3連単:323,580円",,,,,,,,,,,
