12年 6月23日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月23日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恵山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａエタｰナルムｰン, 50,木幡初,, 48,  -8,*  4, 4,  5.1, ④④, 1, 2,Ａミッキｰエｰル, 68,池添謙,, 68,  -2,* 12, 1,  2.5,③③②, 1, 7,Ａワｰルドエンド, 76,大野拓,, 74,*  5,   7, 1,  2.2, ①①, 1, 5,Ｈマイネヒメル, 65,津村明,, 74,* 10,   6, 8, 21.9,①①①
 2, 8, クリノチョモランマ,---,柴山雄, 0.0, 48,  -6,*  1, 3,  4.6, ③③, 2, 4,Ｅリキサンドラゴン, 59,藤田伸, 0.0, 69,* -1,*  9, 2,  3.4,①①①, 2,12,Ｂメイショウナナイロ, 73,古川吉, 0.0, 74,*  3,   8, 2,  5.3, ②②, 2,10,Ｅマイネルヴァルム, 73,丹内祐, 0.1, 76,*  9,   8, 4,  6.6,②②②
 3, 3, バトルレジナ,---,丸山元, 0.7, 40,*  5, -18, 1,  2.2, ①①, 3,10,Ｋティンタジェル, 44,吉田隼, 1.2, 58,  -2,   1, 7, 49.7,⑤⑤④, 3, 3,Ｃトウカイアストロ, 73,三浦皇, 0.1, 73,   0,*  9, 4,  8.0, ④③, 3, 1,Ａメイショウテッサイ, 79,吉田隼, 0.1, 77,   3,* 17, 1,  3.7,⑩⑩⑨
 4, 2,Ｅスリｰラグタイム, 25,池添謙, 1.1, 34, -19,   0, 8, 55.9, ⑧⑧, 4, 1,Ｄディアスピリトゥス, 60,柴山雄, 1.4, 58,  -3,   1, 6, 15.7,⑥⑥⑤, 4, 6,Ｈヒカリホクサイ, 66,丸田恭, 0.4, 69,  -3,*  9, 6, 14.3, ⑧⑥, 4, 9,Ｃナリタボルト, 74,川須栄, 0.2, 76,   5,* 15, 5,  8.3,⑨⑨⑩
 5, 1, コスモグランツ,---,三浦皇, 1.1, 34, -18,  -1, 7, 54.6, ⑦⑤, 5, 5,Ｉクレバｰブレｰド, 48,木幡初, 1.5, 59,* -1,  -2, 8, 51.5,②②③, 5, 2,Ｅカネトシファイタｰ, 68,秋山真, 0.7, 66,  -8,*  9, 5,  8.5, ⑩⑨, 5, 6,Ｂトニｰポケット, 74,秋山真, 0.5, 71,   7,   5, 6, 12.1,③③③
 6, 6,Ｃエルフショット, 37,古川吉, 1.1, 34, -12,  -6, 5, 23.1, ⑥⑦, 6, 9,Ｃキングモンブラン, 62,上村洋, 1.5, 60,  -2,   1, 4, 11.8,⑨⑦⑧, 6,11,Ｄオンワｰドセジｰル, 69,木幡初, 0.8, 66,  -2,   4, 8, 22.6, ⑦⑧, 6, 4,Ｉスタｰマイン, 60,川島信, 0.5, 74,   5,   9,10, 55.4,⑧⑧⑧
 7,10, ルｰナルｰチェ,---,川須栄, 1.7, 27,*  2, -28, 2,  3.9, ②②, 7, 6,Ｂトｰセンサミット, 66,四位洋, 1.6, 59,  -3,  -1, 3,  3.5,⑦⑧⑦, 7, 4,Ｇモルフェソングエル, 67,横山和, 1.1, 62,   0,  -1, 9, 50.6, ⑤④, 7, 7,Ｆダｰクマレイン, 70,藤田伸, 0.7, 69,   6,   3, 7, 17.7,⑥⑤④
 8, 5,Ｂマイネルヴェルディ, 46,丹内祐, 2.1, 22, -19, -12, 6, 51.0, ⑨⑩, 8,11,Ｆタマモショパン, 57,古川吉, 1.7, 55,  -5,   0, 5, 14.5,⑩⑪⑩, 8, 9,Ｆモリトブイコｰル, 67,丸山元, 1.3, 61,  -5,   1, 3,  6.7, ⑨⑩, 8, 3,Ｄショウナンマハ, 74,松田大, 1.1, 65,   6,  -1, 2,  3.9,⑦⑥⑥
 9, 4,Ｄカシノリュウセイ, 37,丸田恭, 2.4, 17, -21, -14, 9, 85.7, ⑩⑨, 9, 8,Ｇベルモントブレイク, 50,津村明, 1.9, 53,  -2,  -6,11,211.8,④④⑥, 9, 8,Ｊクレバｰアポロ, 64,勝浦正, 1.9, 54,  -1,  -7, 7, 18.7, ⑥⑦, 9, 8,Ｇハギノウィッシュ, 66,四位洋, 1.1, 64,   7,  -5, 3,  4.3,④④⑤
10, 7, カシノスペル,---,荻野琢, 2.8, 12, -11, -29,10,165.1, ⑤⑥,10, 3,Ｊビバドルドナ, 47,上野翔, 2.2, 55,  -4,  -2,10,206.7,⑧⑩⑪,10,10,Ｋピｰスオブキング, 60,的場勇, 2.0, 55,  -8,  -3,11,106.9, ⑪⑫,10, 2,Ｊオｰルヴォアｰル, 58,勝浦正, 1.3, 62,   5,  -2, 9, 37.7,⑤⑦⑦
,,,,,,,,,,,,11, 7,Ｈハルノスミエ, 49,丸山元, 2.8, 50,  -5,  -9, 9,161.2,⑪⑨⑨,11, 5,Ｉレグルスハｰト, 65,丹内祐, 2.3, 49, -11,  -4,10,101.8, ⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｌレアプラチナ, 50,川島信, 2.5, 48,   0, -13,12,163.1, ③⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
