12年10月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長岡京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａウリウリ, 63,浜中俊,, 68,   0,* -2, 1,  1.8, ④④, 1, 7, モズハリケｰン,,林満明,,,,, 5, 11.5,③②③, 1, 4,Ｃサカジロオｰ, 76,国分優,, 72,   4,*  9, 1,  2.4,⑥⑦⑦, 1, 7,Ｃシャイニｰホｰク, 80,藤田伸,, 78,   5,*  6, 3,  5.7, ⑦⑦
 2,12,Ｅシンジュボシ, 51,川田将, 0.3, 65,*  3, -11, 4, 12.9, ②②, 2, 2, アドバンスヘイロｰ,,平沢健,214.5,,,, 8, 30.9,②③①, 2,12,Ｈチェスナットバロン, 69,川須栄, 0.1, 71,   3,   7,12, 58.4,⑦⑥⑥, 2, 4,Ａウエストエンド, 83,和田竜, 0.0, 79,   8,   3, 1,  2.8, ③②
 3, 8,Ｃダンツカナリｰ, 54,太宰啓, 0.3, 63,*  3, -12, 3,  5.5, ①①, 3, 4, トウシンボルト,,中村将,215.6,,,, 4,  6.7,⑧⑦⑥, 3, 1,Ａマｰベラスバロン, 80,渡辺薫, 0.4, 72,   2,*  8, 3,  7.2,⑫⑪⑪, 3, 8,Ｆカイシュウコロンボ, 77,四位洋, 0.1, 77,   4,*  8, 6,  9.5, ⑨⑨
 4, 9,Ｂプランタンビジュｰ, 57,池添謙, 0.8, 58,  -1, -12, 2,  3.7, ⑤⑤, 4, 8, ディアプリンシパル,,北沢伸,216.1,,,, 2,  3.7,⑦⑧⑧, 4,15,Ｆサトノサウザｰ, 72,熊沢重, 0.5, 71,   2,   7, 7, 22.7,⑬⑬⑨, 4, 5,Ｊオメガホｰムラン, 70,川田将, 0.3, 76,   6,   1, 4,  7.1, ⑤⑥
 5,13,Ｌユキノプリシラ, 39,藤懸貴, 1.5, 52,  -9,* -6, 9, 80.6, ⑬⑬, 5, 1, マックスチャンプ,,熊沢重,216.2,,,,10, 45.9,⑤⑥⑤, 5, 7,Ｂスマｰトルシファｰ, 78,川田将, 0.5, 68,*  5,   3, 2,  3.4,④⑤④, 5, 3,Ｈサウンドバリアｰ, 75,藤岡佑, 0.3, 75,   4,   4, 9, 65.0, ⑧⑧
 6, 6,Ｄクインポルカ, 51,和田竜, 1.6, 49,*  2, -28, 5, 14.3, ③③, 6,10, アラタマポケット,,田村太,216.3,,,,13,186.3,⑩⑩⑩, 6,11,Ｍモンサンミｰティア, 65,太宰啓, 0.7, 67,*  5,  -1, 8, 26.6,①①①, 6, 6,Ｇナシュワンヒｰロｰ, 77,幸英明, 0.4, 76,*  9,  -4, 5,  8.6, ②③
 7,11,Ｈエミオン, 46,川須栄, 1.6, 50,  -5, -16, 7, 54.9, ⑩⑩, 7, 3, カネスラファｰル,,横山義,216.7,,,, 1,  3.6,①①②, 7,14,Ｊマヤノオントロジｰ, 69,藤懸貴, 0.7, 66,   0,*  9,15,177.3,⑮⑮⑮, 7,10,Ｉニンジャ, 74,鮫島良, 0.4, 74,   8,  -3, 7, 14.1, ④④
 8, 1,Ｋカミｰリア, 43,鮫島良, 1.8, 47,  -5, -19,12,237.4, ⑨⑨, 8,12, マｰブルジｰン,,今村康,217.3,,,,12, 92.5,⑨⑨⑨, 8, 8,Ｉキクタロウ, 69,酒井学, 0.7, 69,   4,   3,11, 48.5,⑨⑧⑧, 8, 1,Ｅトｰホウシンバル, 77,池添謙, 0.6, 71,   5,  -1, 8, 18.3, ⑥⑤
