12年 4月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1150m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,燧ヶ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａトウショウハマｰ, 61,中舘英,, 60,*  6,   4, 1,  2.0, ②②, 1,14,Ａフェデラルホｰル, 67,吉田隼,, 57, -17,* 19, 1,  1.3,⑥⑥⑥, 1, 3,Ｃスイｰトエスケｰプ, 73,武幸四,, 63,  -7,* 11, 1,  2.0, ⑨⑧, 1,10,Ｄコスモカンタｰビレ, 68,丹内祐,, 79,  -2,* 22, 6, 15.4,④③③
 2,14,Ｃヒカリホクサイ, 59,石神深, 0.3, 58,  -2,*  9, 3,  7.2, ⑥④, 2,12,Ｆコスモプランタン, 52,松山弘, 0.3, 54, -18,* 19, 2, 11.2,⑨⑨⑧, 2,10,Ａグランスカイ, 73,松田大, 0.2, 60,* -2,   5, 2,  4.9, ②②, 2, 8,Ｇダンシングムｰン, 65,丸田恭, 0.1, 77,*  0,  20, 4, 11.1,②②②
 3, 6,Ｄバブルジェット, 54,柴山雄, 0.4, 56,*  7,   0, 2,  4.8, ①①, 3, 9,Ｉクライマックス, 49,西村太, 0.6, 51, -17,  14,14,181.1,⑧⑧⑦, 3, 2,Ｋキングスウィｰプ, 61,山崎亮, 0.2, 59, -10,* 12, 8, 34.0, ⑬⑪, 3, 2,Ｅジョンブルクリス, 66,中舘英, 0.2, 75,* -1,  17, 3,  4.0,①①①
 4, 5,Ｆストリｰムライン, 46,鮫島良, 0.7, 55,  -5,*  8,14,112.3, ⑦⑦, 4, 5,Ｇプリンチペッサ, 51,丹内祐, 0.8, 48,*-15,   7, 7, 28.1,④④④, 4, 1,Ｉレグルスハｰト, 62,西田雄, 0.3, 58,  -9,  10,16,399.6, ⑪⑩, 4, 9,Ｂアラマサコマンダｰ, 71,松山弘, 0.2, 77,  -2,  21, 2,  3.2,⑧⑤⑥
 5, 7, エｰシンストｰリｰ,---,川島信, 1.1, 49,  -9,*  8, 9, 55.6, ⑩⑪, 5,13,Ｄコスモオアシス, 53,黛弘人, 0.8, 47,*-15,   7, 6, 20.9,⑤⑤⑤, 5, 4,Ｌセイコｰフジ, 61,吉田隼, 0.3, 58,  -4,   6, 3,  6.1, ④④, 5, 6,Ｃアテンボｰイ, 71,西田雄, 0.3, 78,  -4,* 22, 7, 20.4,⑥⑦⑧
 6,12,Ｅコスモゴウテン, 53,丹内祐, 1.4, 48,  -1,  -1, 5, 12.4, ⑤⑥, 6, 7,Ｐマサキセキ, 22,柴山雄, 0.8, 45,*-16,   5,11,128.0,③③③, 6,13,Ｆエルウェｰオｰジャ, 68,松山弘, 0.4, 58,  -9,  10, 4, 10.4, ⑮⑮, 6, 7,Ａウインシュｰルマン, 72,吉田隼, 0.3, 77,  -1,  20, 1,  2.6,③④④
 7,10,Ｇホｰホタル, 42,西田雄, 1.5, 47,   2,  -4, 7, 14.8, ③③, 7,16,Ｈヴェルｰテ, 51,藤懸貴, 0.9, 52, -20,* 17, 4, 17.5,⑭⑬⑬, 7,14,Ｏシンボリゾンネ, 42,木幡初, 0.5, 57,* -2,   2,13, 58.5, ③③, 7, 3,Ｈマｰジｰビｰト, 64,西村太, 0.4, 75,  -2,  19, 8, 43.4,⑦⑥⑤
 8, 2, ハワイアンミント,---,黛弘人, 1.8, 43,  -9,   3, 8, 52.4, ⑪⑩, 8, 2,Ｂルミナスレッド, 61,伊藤工, 1.0, 48, -20,  13, 3, 11.6,⑮⑪⑫, 8, 7,Ｅディレクシオン, 69,石神深, 0.5, 57, -12,* 11,11, 50.1, ⑯⑬, 8, 4,Ｆマルカゴクウ, 66,黛弘人, 1.4, 65,  -3,   8, 5, 14.9,⑤⑧⑦
