12年 3月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大寒桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｋクラウンカイザｰ, 23,水口優,,,,, 1,  3.5, ①①, 1, 7,Ｃテムジン, 63,高倉稜,, 60,   9,* -9, 1,  4.2, ⑬⑫, 1, 3,Ｃゴｰルドジェｰン, 70,高倉稜,,,,, 2,  3.8,①①①, 1, 9,Ａトｰセンホマレボシ, 75,吉田隼,, 70,* 22, -17, 1,  2.7,⑦③⑤
 2,15,Ａロｰドエストレｰラ, 65,吉田隼, 1.1,,,, 4,  7.0, ⑥⑥, 2,17,Ｂインクレセント, 67,中井裕, 0.3, 59,* 17, -24, 3,  5.0, ④④, 2,12,Ｄミラクルフラッグ, 70,吉田豊, 0.3,,,, 4,  8.2,⑥⑥⑤, 2, 3,Ｅウインフロレゾン, 69,大野拓, 0.1, 70,  20,*-14,10, 45.9,④⑨⑦
 3,16, シンプリｰラブ,---,国分優, 1.4,,,,13,180.8, ⑪⑪, 6,12,Ｅスピリテッドエアｰ, 62,松山弘, 0.4, 57,  14, -22, 6, 10.9, ⑦⑦, 3, 6,Ｅミリアム, 69,上村洋, 0.3,,,, 1,  2.5,③③③, 3, 4,Ｂマカハ, 70,吉田豊, 0.1, 67,* 23, -21, 4,  6.4,①①①
 4, 5,Ｄアｰスパイプ, 58,藤岡康, 1.5,,,, 2,  4.2, ②③, 3, 8,Ｊエリモフェアリｰ, 46,上村洋, 0.5, 55,   9, -16, 9, 50.4, ⑭⑬, 4, 7,Ｉアクロスザライト, 61,川須栄, 1.4,,,, 3,  4.6,④④④, 4, 5,Ｈロｰドアクレイム, 67,川須栄, 0.1, 70,* 22, -19, 2,  5.0,⑤②②
 5, 7,Ｆコスモダンケシェン, 52,丹内祐, 1.8,,,, 8, 33.5, ⑨⑧, 4, 4,Ａブルｰプルチェッラ, 71,吉田豊, 0.7, 52,  14, -26, 2,  4.2, ⑤⑤, 5, 2,Ｈヌチバナ, 62,松山弘, 1.6,,,, 8, 32.3,⑩⑩⑩, 5, 6,Ｊクロｰチェ, 65,松田大, 0.2, 68,  20,*-16, 6, 12.4,⑥⑦⑧
 6, 8, ペプチドエメラルド,---,武英智, 1.8,,,,14,207.1, ⑭⑮, 5,15,Ｉシンコｰムｰン, 50,国分優, 0.7, 54,  12, -22, 8, 23.6, ⑩⑩, 6,10,Ｇニホンピロエリナ, 64,菅原隆, 1.7,,,, 7, 27.0,②②②, 6, 2,Ｌレッドフォルツァ, 63,丸田恭, 0.3, 66,  21, -20, 3,  5.6,③⑥④
 7, 6, ナムラレアアｰス,---,宮崎北, 2.2,,,,10, 92.2, ⑫⑫, 7,18,Ｏパｰルイアリング, 36,平野優, 0.7, 52,   1,* -9,13,165.3, ⑱⑱, 7, 8,Ｌロブストニケ, 55,水口優, 1.7,,,, 6, 22.1,⑦⑧⑧, 7, 7,Ｆシンゼンレンジャｰ, 69,鮫島良, 0.4, 69,  18,*-13, 5,  9.4,⑨⑪⑪
 7, 1,Ｃトミケンウエスト, 59,大野拓, 2.2,,,, 6, 11.2, ⑧⑦, 8,10,Ｐメイショウヤギュウ, 31,古川吉, 0.8, 52,   6, -15,12,127.9, ⑯⑯, 8, 1,Ｊマイネロｰドナイト, 58,吉田隼, 2.2,,,,11, 86.6,⑪⑪⑪, 8, 8,Ｋヴァンガｰド, 64,藤岡康, 0.9, 63,  20, -24, 7, 16.3,⑧⑧⑨
 9, 2,Ｌシゲルキイチゴ, 20,中井裕, 2.4,,,,16,294.4, ⑮⑭, 9, 2,Ｈファンタビュラス, 53,大野拓, 0.9, 53,* 18, -33, 4,  6.2, ②②, 9,11,Ｂマイネフェリックス, 71,丹内祐, 2.7,,,, 5, 10.0,⑤⑤⑥, 9,12,Ｄコパノモｰニング, 69,国分優, 1.5, 60,  20, -31,11, 98.7,⑩⑩⑩
10,12,Ｅゼロレイテンシ, 54,丸田恭, 2.4,,,, 5,  7.3, ⑩⑩,10, 9,Ｍレオキングダム, 44,西田雄, 0.9, 51,   5, -17,15,215.5, ⑮⑮,10, 5,Ｆゴｰルドマッシモ, 68,横山和, 3.0,,,, 9, 56.7,⑨⑨⑨,10,11,Ｉセフティｰフライト, 67,高倉稜, 1.7, 58,  18, -27,12,237.5,⑫⑫⑫
11,11,Ｂパトリオット, 60,上村洋, 2.5,,,, 3,  4.9, ⑤⑤,11, 6, クラウンザショパン,---,丸田恭, 0.9, 51,  14, -28,10, 86.0, ⑥⑥,11, 9,Ｋアベマリア, 57,勝浦正, 3.0,,,,10, 77.4,⑧⑦⑦,11, 1,Ｇクリスマスマｰベル, 67,太宰啓, 1.7, 57,  21, -39, 9, 38.0,②⑤③
12, 3,Ｊタカラファンタジｰ, 32,松田大, 2.5,,,,12,167.2, ③②,12,13, タマモクロステッチ,---,水口優, 0.9, 52,  12, -24,17,358.9, ⑪⑪,,,,,,,,,,,,,12,10,Ｃキングクリチャン, 69,柴山雄, 2.0, 57,  21, -42, 8, 27.6,⑪④⑥
13,10,Ｇカネトシヴェルス, 50,高倉稜, 2.5,,,, 7, 17.9, ⑦⑨,13,11,Ｆバｰニングジｰル, 61,吉田隼, 1.0, 51,  13, -27, 5,  8.0, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
14, 4,Ｈカシノアゲｰト, 47,二本柳, 3.0,,,, 9, 34.5, ⑬⑬,14,16,Ｎコｰリンギデオン, 40,鈴来直, 1.1, 49,  12, -27,18,408.7, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,
15, 9,Ｉカンファｰマリア, 44,藤懸貴, 3.1,,,,11,105.6, ④④,15, 5,Ｇメイショウキヨヒメ, 58,藤岡康, 1.7, 43,   2, -20,16,250.2, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
16,13, クラウンミストラル,---,平野優, 3.4,,,,15,209.7, ⑯⑯,16,14,Ｄアｰトオブキング, 62,太宰啓, 1.7, 43,* 17, -42, 7, 11.7, ③③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 1,Ｌエｰシンクイッカｰ, 44,川須栄, 2.0, 40,   8, -33,11,102.9, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 3,Ｋツイストリボン, 44,田中博, 3.9, 22,* 18, -70,14,181.7, ①①,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:不良,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:不良,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:重(指数:6),,,,,,,,,,,
"単勝:350円 複勝:14=150円 15=260円 16=2,860円 枠連:870円",,,,,,,,,,,,"単勝:420円 複勝:07=170円 17=220円 08=1,240円 枠連:1,200円",,,,,,,,,,,,単勝:380円 複勝:03=140円 12=170円 06=110円 枠連:880円,,,,,,,,,,,,"単勝:270円 複勝:09=150円 03=900円 04=200円 枠連:5,620円",,,,,,,,,,,
"馬連:1,050円 ワイド:14-15=480円 14-16=6,590円 15-16=9,710円",,,,,,,,,,,,"馬連:1,280円 ワイド:07-17=520円 07-08=3,410円 08-17=4,560円",,,,,,,,,,,,"馬連:1,600円 ワイド:03-12=460円 03-06=190円 06-12=390円",,,,,,,,,,,,"馬連:7,910円 ワイド:03-09=1,920円 04-09=390円 03-04=2,540円",,,,,,,,,,,
"馬単:1,840円 3連複:39,930円 3連単:105,330円",,,,,,,,,,,,"馬単:2,080円 3連複:22,770円 3連単:88,280円",,,,,,,,,,,,"馬単:2,820円 3連複:810円 3連単:6,760円",,,,,,,,,,,,"馬単:11,370円 3連複:10,670円 3連単:73,500円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  芝1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
