12年 8月11日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月11日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｨﾘﾋﾟﾝﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃマイネルブルズアイ, 53,津村明,, 49,*-13,  -6, 3,  7.1,①①①, 1,12,Ａディアイレイザｰ, 74,勝浦正,, 75,*  5,*  9, 1,  1.3, ②②, 1,13,Ｂダノンジェラｰト, 78,三浦皇,, 82,   8,* 10, 1,  2.4,⑪⑪⑥, 1,13,Ｃツクバコガネオｰ, 75,古川吉,, 76,*  6,* 12, 2,  3.3,④④③
 2, 4,Ｂポイントキセキ, 55,秋山真, 0.2, 49, -15,  -5, 1,  1.4,③③④, 2, 4,Ｃザゲｰムイズオン, 58,岩田康, 1.0, 64,  -2,*  4, 2,  6.0, ⑦⑦, 2, 3,Ｃヒットメｰカｰ, 76,柴山雄, 0.3, 79,  11,   2, 5, 11.3,⑤⑦⑦, 2,12,Ｊペガサスフラッシュ, 66,丸山元, 0.3, 77,*  8,  10, 8, 17.6,②②②
 3, 7,Ｄジェイケイホｰム, 49,丸田恭, 0.2, 47,*-13,  -7, 4,  7.5,②②②, 3, 6,Ｂヴァップ, 58,的場勇, 1.0, 68,*  5,   0, 4, 12.1, ①①, 3, 7,Ｈスマｰトリバティｰ, 71,古川吉, 0.3, 79,   8,*  6, 6, 11.9,⑨⑩⑫, 3, 2,Ｄヤマチョウフェア, 75,津村明, 0.4, 75,   6,* 11, 3,  6.7,⑤⑤④
 4, 2,Ｅヴィラダイヤモンド, 47,丸山元, 0.3, 49, -18,* -2, 8, 59.0,⑤⑥⑥, 4, 3,Ｈサトノオラクル, 49,藤岡佑, 1.8, 57,  -9,   3, 6, 51.8, ⑩⑩, 4, 9,Ａタマモマｰブル, 79,丸山元, 0.4, 78,   6,*  8, 4,  8.6,⑬⑫⑬, 4, 5,Ａオｰバｰヘッド, 78,柴山雄, 0.4, 73,   5,* 12, 1,  3.2,⑬⑪⑧
 5, 6,Ｆマイネルゴスホｰク, 47,三浦皇, 0.4, 46, -15,  -7, 2,  6.4,④④③, 5, 5,Ｆアｰトオブパナシェ, 52,岩橋勇, 2.1, 53,  -1,  -7, 7, 69.5, ④③, 5, 8,Ｇコスモグレｰスフル, 71,津村明, 0.5, 73,* 13,  -7, 7, 17.3,④③②, 5, 4,Ｉセトブリッジ, 68,藤田伸, 1.0, 70,*  6,   3, 5, 10.8,①①①
 6, 8,Ｈクリノロｰガン, 41,柴山雄, 0.5, 47, -16,  -6, 5, 38.9,⑥⑤⑤, 6,10,Ｇエンドスケｰプ, 49,三浦皇, 2.6, 48,  -1, -11, 3,  9.5, ⑤⑤, 6,10,Ｆディアデラバンデラ, 73,岩田康, 0.6, 74,   9,  -1, 2,  5.4,⑩⑧⑧, 6, 3,Ｅゴｰルドルｰスタｰ, 73,三浦皇, 1.1, 70,   5,   7, 7, 16.9,⑩⑩⑥
 7,10,Ｉウインバｰディ, 40,丹内祐, 0.9, 43, -20,  -6, 9,122.7,⑦⑦⑦, 7, 9,Ｊブルｰアジェスタ, 44,五十嵐, 2.6, 48,  -6,  -7,12,255.4, ⑨⑨, 7, 4,Ｅコスモラングデン, 74,丹内祐, 0.6, 75,  12,  -6, 9, 27.6,⑥⑤③, 7, 8,Ｆサトノサウザｰ, 71,池添謙, 1.3, 68,   5,   4, 6, 13.5,⑥⑧⑦
 8, 9,Ｇコスモブルｰム, 42,五十嵐, 1.2, 40, -23,  -6, 7, 54.6,⑩⑧⑧, 8, 7,Ｋスノｰビアンコ, 43,菅原隆, 2.6, 47,  -6,  -8,11,224.7, ⑧⑧, 8, 5,Ｌソロデビュｰ, 62,上村洋, 0.8, 70,  12,  -8,13,382.6,⑦⑥④, 8, 1,Ｋトキノビスコンティ, 62,菱田裕, 1.9, 64,   5,  -1,13,208.2,⑧⑨⑤
