12年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,白秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａグッドラックミｰ, 51,北村宏,, 46,  -9,*  3, 1,  1.8, ⑥⑥, 1, 1, タイダルベイスン,---,秋山真,, 75,  -8,* 21, 1,  2.2,⑥⑨⑨, 1,12,Ｉルネッタアスｰル, 69,松岡正,, 85,  -4,  17, 5, 15.4,⑦⑤④, 1, 9,Ｃアドマイヤセプタｰ, 85,田辺裕,, 89,* -1,  18, 1,  3.1, ⑥④
 2, 9,Ｂウインプロスパｰ, 46,三浦皇, 0.1, 45,  -7,*  0, 2,  3.8, ④④, 2, 7, ロングシャドウ,---,内田博, 0.6, 65,  -7,   7, 3,  7.3,⑦⑥⑤, 2, 3,Ａジャングルクルｰズ, 81,横山典, 0.1, 83,  -4,  18, 2,  3.2,⑥⑦⑧, 2,14,Ｉゴｰハンティング, 80,石橋脩, 0.2, 89,  -6,* 22, 7, 21.2, ⑫⑪
 3, 4,Ｃダンディｰレイ, 42,高倉稜, 0.7, 41,  -8,  -4, 5, 19.9, ⑤⑤, 3, 9, サクセスカサノヴァ,---,蛯名正, 0.8, 63,* -5,   2, 2,  3.6,⑤④③, 3, 5,Ｄアルティスト, 75,二本柳, 0.1, 84,  -4,  18, 7, 23.9,⑨⑩⑨, 3,10,Ｋルリニガナ, 75,松岡正, 0.3, 85,*  1,  11,11, 82.6, ①①
 4, 5,Ｄショウブスタｰ, 35,柴田善, 1.3, 35,* -6, -12, 4, 12.7, ②②, 4, 3, ダイビングボｰド,---,北村宏, 1.0, 62,  -8,   5, 9, 37.6,⑧⑧⑧, 4,11,Ｇウィケットキｰパｰ, 73,蛯名正, 0.1, 84,  -4,  17, 4,  9.0,⑩⑧⑥, 4, 4,Ｇシルクドリｰマｰ, 80,田中勝, 0.3, 87,  -6,* 20, 6, 13.6, ⑩⑨
 5, 8,Ｅウエスタンカリｰナ, 32,田中勝, 1.4, 34, -11,  -7, 3,  5.8, ⑦⑦, 5,10, ツクバヒタチオｰ,---,柴田善, 1.0, 64,  -9,  10, 7, 21.6,⑩⑩⑩, 5,13,Ｋコスモユウチャン, 61,丹内祐, 0.3, 80,* -2,  11,12,171.5,④③③, 5, 5,Ａイチオクノホシ, 86,内田博, 0.4, 86,  -6,  19, 2,  3.7, ⑭⑫
 6, 2,Ｈウインマスカット, 23,嘉藤貴, 1.6, 34,  -7, -13,10,127.2, ③③, 6, 8, ディｰズリアン,---,三浦皇, 1.1, 61,  -7,   1,10, 57.9,⑨⑦⑥, 6, 8,Ｂグレｰトマｰシャル, 79,武士沢, 0.3, 83,  -6,* 20, 3,  4.6,⑬⑬⑫, 6,12,Ｊラインジェシカ, 78,吉田豊, 0.4, 84,  -3,  15, 9, 32.9, ⑨⑦
 7, 3,Ｆエクセルシｰド, 32,藤岡佑, 1.7, 34, -12,  -7, 8, 98.0, ⑨⑩, 7, 2, ペンロｰズ,---,石橋脩, 1.5, 57,  -8,  -2, 5, 16.8,②⑤⑦, 7,10,Ｊサトノプライマシｰ, 66,岩田康, 0.4, 77,* -3,  10, 1,  2.8,②②②, 7, 8,Ｂセイウンジャガｰズ, 86,北村宏, 0.4, 88,  -8,* 23, 8, 27.5, ⑬⑬
 8, 1,Ｇヤマタケハｰディ, 25,田辺裕, 2.0, 30,* -5, -19, 6, 21.1, ①①, 8, 5, エスユｰハリケｰン,---,田中勝, 1.9, 50,* -5, -15, 6, 20.6,③②②, 8, 6,Ｅスタｰトセンス, 73,勝浦正, 0.4, 84,  -7,* 22, 9, 54.9,⑪⑫⑬, 8,13,Ｌマイネルロガｰル, 74,丹内祐, 0.5, 82,* -1,  10,10, 76.9, ②②
 9,10,Ｉケツァルコアトル, 18,武士沢, 2.5, 28, -11, -15, 9,108.7, ⑩⑧, 9, 6, トウショウギブリ,---,吉田豊, 2.1, 48,  -7, -15, 4,  7.8,④③④, 9, 2,Ｃアサクサポイント, 76,内田博, 0.4, 81,  -5,  16, 6, 18.3,⑤⑥⑦, 9, 7,Ｈサザンスタｰディ, 80,武士沢, 0.6, 80,  -2,  11,12,163.8, ④⑤
10, 7,Ｊアウレオｰラ,-35,吉田豊, 2.5, 26, -12, -15, 7, 23.3, ⑧⑨,10,11, メイショウトラクマ,---,岩田康, 2.3, 45,* -4, -22, 8, 22.2,①①①,10, 4,Ｆベストアンサｰ, 73,柴田善, 0.8, 78,  -6,  13,10, 55.7,⑧⑨⑩,10,11,Ｅシルクウェッジ, 82,岩田康, 0.8, 81,  -8,  16, 5, 13.1, ⑪⑭
,,,,,,,,,,,,11, 4, ポッドスタｰ,---,丸山元,19.6,19.6---, -32, ---,11, 95.3,⑪⑪⑪,11, 1,Ｈトウショウレイザｰ, 72,吉田豊, 0.8, 72,* -2,   3, 8, 25.5,①①①,11, 3,Ｄマイネルエデン, 82,三浦皇, 0.9, 79,  -5,  11,13,166.0, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｍセイカペガサス, 52,田辺裕, 0.8, 74,  -4,   7,13,298.6,③④⑤,12, 6,Ｆサクラゴスペル, 81,横山典, 0.9, 76,* -1,   6, 4,  9.1, ③③
,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｌダノンフォレスト, 52,三浦皇, 1.4, 69,  -5,   3,11,105.8,⑫⑪⑪,13, 2,Ｍエネアド, 74,蛯名正, 0.9, 78,  -4,  10, 3,  4.0, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｎアラマサロｰズ, 73,勝浦正, 0.9, 78,  -3,   9,14,421.9, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,
単勝:180円 複勝:06=110円 09=120円 04=240円 枠連:260円,,,,,,,,,,,,単勝:220円 複勝:01=130円 07=160円 09=140円 枠連:410円,,,,,,,,,,,,"単勝:1,540円 複勝:12=250円 03=170円 05=460円 枠連:1,880円",,,,,,,,,,,,"単勝:310円 複勝:09=190円 14=610円 10=1,610円 枠連:2,370円",,,,,,,,,,,
馬連:260円 ワイド:06-09=160円 04-06=450円 04-09=540円,,,,,,,,,,,,馬連:830円 ワイド:01-07=280円 01-09=200円 07-09=430円,,,,,,,,,,,,"馬連:2,230円 ワイド:03-12=810円 05-12=2,850円 03-05=1,330円",,,,,,,,,,,,"馬連:3,220円 ワイド:09-14=1,260円 09-10=3,710円 10-14=14,460円",,,,,,,,,,,
"馬単:390円 3連複:1,080円 3連単:2,890円",,,,,,,,,,,,"馬単:1,400円 3連複:1,010円 3連単:3,930円",,,,,,,,,,,,"馬単:5,780円 3連複:12,890円 3連単:85,900円",,,,,,,,,,,,"馬単:4,390円 3連複:66,480円 3連単:225,370円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中牝馬ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｈキｰプインタッチ, 33,北村宏,, 51, -11,* 10, 4,  6.8, ⑤⑤, 1, 2,Ｉアルセｰヌシチｰ, 69,武士沢,, 72,  -2,* 12, 8, 23.4, ⑧⑩, 1,13,Ａプランスデトワｰル, 85,内田博,, 80,  -3,* 23, 1,  2.0, ⑪⑪, 1,14,Ｊマイネイサベル, 84,松岡正,, 92,  11,  26,10, 31.8,⑨⑨⑧
 2, 9,Ｅアンバｰドリｰム, 42,三浦皇, 0.1, 51, -11,* 10, 2,  3.3, ⑥⑥, 2, 9,Ｃディアイレイザｰ, 74,勝浦正, 0.1, 71,*  6,   3, 3,  6.5, ②②, 2, 1,Ｇレッドエレンシア, 75,三浦皇, 0.0, 80,   5,  13, 7, 14.7, ③③, 2, 8,Ｂスマｰトシルエット, 89,蛯名正, 0.1, 85,* 16,  13, 5, 10.0,③②②
 3, 2,Ｂコスモフェイト, 47,丹内祐, 0.1, 50,  -7,   3, 3,  6.3, ③③, 3, 3,Ａウインクロニクル, 75,石橋脩, 0.2, 70,*  7,   1, 4,  7.1, ①①, 3,14,Ｃハングリｰジャック, 79,蛯名正, 0.1, 79,  -2,* 20, 3,  6.9, ⑩⑩, 3,11,Ａドナウブルｰ, 92,内田博, 0.2, 87,  12,  21, 1,  2.8,④⑤⑤
 4, 7,Ｋビッグダｰジリン, 22,石橋脩, 0.4, 43,*  1, -18, 6, 12.1, ①①, 4,10,Ｈユｰスフル, 70,北村宏, 0.2, 70,   0,   8, 5, 10.4, ⑦⑧, 4,12,Ｊチャｰチクワイア, 71,北村宏, 0.2, 77,  -1,  16, 2,  6.1, ⑦⑦, 4,16,Ｌレインボｰダリア, 84,柴田善, 0.4, 88,   8,* 28, 9, 28.7,⑭⑮⑬
