12年10月27日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月27日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,きんもくせい特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅウインバｰディ, 49,大野拓,, 57,* -1,* -2, 6, 27.1,②②②, 1,10,Ａスマイリングムｰン, 75,菱田裕,, 72,*  0,* 10, 4, 10.3, ③④, 1,15,Ｄロｰドエアフォｰス, 75,嶋田純,, 75,*  9,  -2,11, 29.5, ①①, 1, 8,Ｂゴットフリｰト, 68,丸山元,, 67,  -9,* 20, 5,  8.4, ⑨⑨
 2, 6,Ｂモルダバイト, 55,宮崎北, 0.4, 53,  -3,* -3, 2,  8.1,③⑤④, 2, 9,Ｆサイズミックレディ, 69,柴山雄, 0.0, 72,*  1,   9, 9, 30.7, ②②, 2,10,Ｎマツリダジャパン, 70,宮崎北, 0.0, 77,*  8,   3,12, 33.8, ②②, 2, 6,Ｅマイネルホウオウ, 61,丹内祐, 0.0, 67,  -6,  16, 2,  5.6, ⑦⑦
 3, 4,Ａベリｰトゥベリｰ, 59,丸田恭, 0.4, 54,  -4,*  1, 1,  1.3,⑬⑩⑤, 3, 8,Ｂビッグヒｰロｰ, 74,中舘英, 0.1, 71,*  3,   6, 1,  2.3, ①①, 3, 9,Ｌインプレッシヴデイ, 71,勝浦正, 0.1, 77,   2,* 13,14, 66.9, ⑭⑮, 3, 7,Ｆバッドボｰイ, 60,中井裕, 0.2, 64,  -9,* 17,10, 45.2, ⑧⑧
 4, 3,Ｊアキレスバイオ, 41,村田一, 1.1, 51,  -5,* -3, 9, 97.3,⑩⑪⑩, 4, 4,Ｄマサノボラｰレビア, 71,丸山元, 0.2, 71,  -1,   9, 2,  5.2, ④③, 4, 2,Ｐレッドフォルツァ, 69,柴山雄, 0.1, 76,   4,   5, 5, 10.0, ⑧⑧, 4, 3,Ａタイセイドリｰム, 70,大野拓, 0.4, 59,  -5,   7, 1,  3.4, ④④
 5,12,Ｄスイングタキオン, 49,杉原誠, 1.5, 47,  -4,  -9, 3,  9.3,⑦⑧⑨, 5,11,Ｃショウナンスマイル, 72,大野拓, 0.4, 70,  -1,   8, 3,  5.7, ⑤⑥, 5, 7,Ｅマイネルコンキスタ, 75,津村明, 0.1, 74,   6,   4, 2,  4.8, ⑦⑦, 5, 4,Ｇサングブルｰ, 56,柴山雄, 0.4, 58,   3,  -6, 8, 10.1, ②②
 6, 7,Ｍアｰリｰボｰイ, 33,西村太, 2.0, 41,  -3, -16,11,138.3,④⑥⑦, 6, 3,Ｅキングダムキング, 69,丸田恭, 0.5, 68,  -3,   8,10, 44.8, ⑥⑤, 6, 4,Ｍグランマルシェ, 70,松田大, 0.2, 77,   0,* 14,10, 26.6, ⑰⑯, 6,10,Ｉボブキャット, 52,丸田恭, 0.4, 59,  -3,   5, 3,  6.3, ⑤⑤
 7,10,Ｈスリｰスペシャル, 46,松田大, 2.4, 40,* -1, -22, 7, 53.6,①①①, 7, 2,Ｈエｰルビスティｰ, 66,平野優, 0.7, 67, -11,* 13, 5, 11.4, ⑫⑪, 7,17,Ｈエパティック, 74,丸山元, 0.2, 75,   3,   7, 1,  3.3, ⑫⑫, 7, 9,Ｃシャスタｰデイジｰ, 65,吉田隼, 0.5, 58,  -2,   1, 7,  9.0, ③③
 8,14,Ｉザジャズダンス, 45,田中博, 2.6, 41,  -4, -18,15,283.8,⑫⑨⑪, 8, 6,Ｇユキノアイオロス, 67,吉田隼, 1.0, 63,  -6,   7, 6, 11.8, ⑩⑨, 8,18,Ｂアルトゥバン, 78,黛弘人, 0.2, 77,   5,   5, 9, 24.2, ⑨⑪, 8, 1,Ｄアポロカｰネル, 61,勝浦正, 0.7, 58,  -7,   7, 6,  8.8, ⑥⑥
 9, 8,Ｃゲンキチタチカゼ, 53,嶋田純, 2.6, 40,  -6, -14, 5, 13.7,⑧⑬⑬, 9, 5,Ｌマンボマンボ, 57,鮫島良, 1.6, 60, -10,   5,11, 90.2, ⑬⑫, 9, 3,Ｒエクセレントブルｰ, 54,西村太, 0.3, 74,   3,   7,17,187.0, ⑩⑨, 9, 5,Ｈサンガヴィｰノ, 55,川島信, 0.7, 60,  -9,  10, 4,  7.9, ⑩⑩
10, 2,Ｆヴォルドニュイ, 48,吉田隼, 2.7, 38,* -2, -23, 4, 12.5,⑤③⑧,10,15,Ｊカノヤミノリ, 64,勝浦正, 1.7, 58,  -2,  -3, 7, 15.4, ⑦⑦,10, 8,Ｃルｰナピエｰナ, 77,横山和, 0.3, 74,   5,   4,15, 96.0, ⑪⑩,10, 2,Ｊバイオレットムｰン, 50,鮫島良, 1.4, 45,* 12, -38, 9, 26.8, ①①
11, 9,Ｌセイウンコダシ, 38,津村明, 3.1, 39,* -1, -26,10,102.9,⑮④③,11, 7,Ｋフランベルジェ, 63,津村明, 2.1, 54, -10,   1, 8, 25.5, ⑭⑭,11,14,Ｉサトノオリオン, 73,的場勇, 0.3, 77,   2,  10,16,180.9, ⑬⑭,,,,,,,,,,,,
12,13,Ｇダイメイホｰム, 47,西田雄, 3.3, 36,  -5, -21,13,234.3,⑨⑫⑫,12,13,Ｉメイショウマサシゲ, 64,中井裕, 2.1, 56,  -4,  -5,12,109.0, ⑧⑧,12,13,Ｆアロヒラニ, 74,丸田恭, 0.3, 74,   1,* 12, 4,  9.2, ⑯⑰,,,,,,,,,,,,
13, 1,Ｎブリリアントダンス, 30,丹内祐, 3.5, 35,  -3, -26, 8, 92.8,⑥⑦⑥,13,14,Ｏシンデンアラタ, 51,西田雄, 2.2, 53,  -8,  -2,15,300.8, ⑪⑬,13, 6,Ｏユｰスティティア, 70,大野拓, 0.4, 74,   0,* 11,13, 43.6, ⑱⑱,,,,,,,,,,,,
14, 5,Ｏハｰトビｰト, 24,中井裕, 5.1, 29,  -7, -34,12,139.2,⑪⑭⑭,14,12,Ｎナｰゴナｰゴサユリ, 52,藤懸貴, 2.9, 45, -13,  -3,13,230.5, ⑮⑮,14,12,Ａマイファｰストラヴ, 80,菱田裕, 0.4, 71,*  7,  -4, 8, 21.9, ④④,,,,,,,,,,,,
15,15,Ｋカラダサンキュｰ, 40,横山和, 5.3, 25,  -8, -32,14,239.8,⑭⑮⑮,15, 1,Ｍガｰディアンケイコ, 54,菅原隆, 4.2, 35,  -7, -21,14,271.1, ⑨⑩,15,11,Ｊビｰムライフル, 73,中舘英, 0.8, 67,*  7, -11, 3,  6.4, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｋチャｰドリｰ, 71,吉田隼, 0.9, 66,   5,  -6, 7, 20.9, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｇアスｰルアラテラ, 74,杉原誠, 1.0, 70,   2,   0, 6, 12.5, ⑮⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｑメジロソフィア, 66,中井裕, 2.4, 50,   6, -30,18,277.8, ⑤⑤,,,,,,,,,,,,
