12年12月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａロｰレルアルトス, 68,蛯名正,, 52,  -7,*  4, 1,  1.9,⑥⑨⑨, 1, 2, ネオレボルｰション,,五十嵐,,,,, 1,  1.6,③③④, 1, 1,Ｍタプロｰム, 50,嘉藤貴,, 69,   2,*  8,14, 84.3, ⑩⑧, 1,11,Ｃサクラクロｰバｰ, 84,横山典,, 85,  20,  -2, 4,  7.2,⑩⑦⑥
 2,15,Ｌマグネイト, 38,柴田善, 0.1, 49,  -8,*  3, 5, 11.3,⑬⑩⑦, 2, 5, アイアムイチバン,,山本康,195.9,,,, 2,  4.6,④④③, 2,12,Ａメイショウユウダチ, 75,飯田祐, 0.0, 76,* 15,  -3, 1,  2.9, ①①, 2, 7,Ｄフルアクセル, 81,石橋脩, 0.0, 89,  12,* 14, 3,  5.4,⑭⑭⑭
 3, 6,Ｊテルミニスト, 41,木幡初, 0.4, 46,* -6,  -3, 9, 23.9,①①①, 3,13, トレノユｰボウ,,横山義,196.0,,,, 4, 11.8,⑦⑥⑤, 3,13,Ｂレギス, 71,北村宏, 0.2, 71,  11,  -1, 4,  7.3, ④④, 3,14,Ｊラロメリア, 76,田辺裕, 0.0, 88,  17,*  7, 5, 13.1,⑪⑫⑫
 4,14,Ｂギンザマｰシャル, 52,三浦皇, 0.5, 46,* -7,  -3, 3,  9.7,④④③, 4, 9, モエレジンダイコ,,大江原,196.1,,,, 5, 13.9,②①①, 4, 2,Ｅスズヨストラ, 67,石橋脩, 0.4, 68,   6,   1, 2,  4.8, ⑦⑦, 4, 8,Ｈセイウンジャガｰズ, 79,北村宏, 0.0, 86,  18,   3,10, 22.7,⑫⑩⑩
 5,11,Ｄアキレスバイオ, 51,大野拓, 1.1, 42,  -8,  -6, 6, 15.3,⑤⑤⑤, 5,12, スマイルフォンテン,,高嶋活,196.8,,,,10,117.0,⑧⑦⑦, 5, 4,Ｉジェイケイホｰム, 59,村田一, 0.7, 62,   0,*  4, 7, 16.3, ⑫⑩, 5, 3,Ｆムクドク, 80,大野拓, 0.2, 84,  15,   5,13, 56.1,⑨⑪⑪
 6,10,Ｅソウルオブロック, 48,武士沢, 1.3, 45, -10,  -2,14,138.8,⑯⑭⑫, 6, 8, マテンロウカフェ,,草野太,197.3,,,, 8, 46.8,①②②, 6, 9,Ｄチェリｰサタｰン, 68,武士沢, 1.0, 59,  -3,*  3,13, 69.9, ⑮⑮, 6,10,Ｎミヤビファルネｰゼ, 70,田中勝, 0.3, 84,  13,*  7, 6, 14.4,⑬⑬⑬
 7,13,Ｆショウナンパンチ, 48,北村宏, 1.3, 40,* -6, -10, 4,  9.9,②②②, 7, 6, ロｰドギフテッド,,平沢健,197.5,,,, 9,112.1,⑫⑨⑨, 7, 8,Ｃイｰサンヘイロｰ, 70,大野拓, 1.3, 57,   0,  -1, 5, 10.7, ⑭⑭, 7, 2,Ａサザンスタｰディ, 84,武士沢, 0.8, 76,  22, -16,15,106.9,⑥④④
 8, 2,Ｃニュｰトロンスタｰ, 52,松岡正, 1.4, 42, -10,  -3, 8, 18.6,⑩⑫⑩, 8,11, ランブリングロｰズ,,石神深,197.9,,,, 7, 35.2,⑤⑤⑥, 8,15,Ｎクリスタルカイザｰ, 48,津村明, 1.5, 61,* 12, -15, 3,  6.2, ②②, 8, 6,Ｏバウンシｰチュｰン, 67,中谷雄, 0.9, 78,  11,   3,14, 81.7,⑮⑮⑮
 9, 4,Ｎブラゾン, 36,石橋脩, 1.8, 40,* -7, -13, 2,  7.1,③③④, 9,10, スパイクウッド,,浜野谷,198.0,,,,13,203.1,⑨⑧⑧, 9, 7,Ｇグランデタマ, 62,木幡初, 1.6, 58,  11, -14, 9, 32.0, ③③, 9,12,Ｋコスモソｰンパｰク, 76,柴田大, 1.0, 76,* 23, -20, 2,  4.4,④③③
10,12,Ｏマイネルルビウス, 34,柴田大, 1.8, 39,  -9,  -8,10, 50.5,⑪⑪⑪,10, 7, マｰニｰ,,高野和,198.6,,,,12,150.3,⑬⑪⑪,10, 6,Ｏコトブキゴｰルド, 46,蛯名正, 1.8, 56,   8, -12,11, 37.3, ⑤⑤,10,15,Ｉエチゴイチエ, 77,津村明, 1.1, 74,  20, -18,12, 46.1,⑧⑨⑧
11, 1,Ｇケイジｰタイタン, 47,伊藤工, 1.9, 37,  -9, -11, 7, 16.3,⑧⑦⑧,11,14, ホクテンリンダ,,江田勇,198.6,,,,14,315.1,⑪⑩⑩,11,10,Ｈラピスブラオ, 60,田辺裕, 1.8, 56,   7, -12,10, 32.4, ⑥⑥,11, 5,Ｂナシュワンヒｰロｰ, 84,松岡正, 1.1, 76,  21, -17, 1,  3.6,⑦⑧⑨
