12年 3月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はなのき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａフレンチトｰスト, 71,藤懸貴,,,,, 1,  2.1, ①①, 1, 8,Ｂミラクルムｰン, 62,吉田隼,, 52,* -3, -18, 3,  7.7, ③③, 1,11,Ｋマンボダンサｰ, 62,長谷川,,,,, 4,  9.2,⑥⑥⑤, 1,12,Ｄアグネスハビット, 70,高倉稜,, 68,  -7,   5, 3,  7.6, ⑧⑧
 2,16,Ｅアポロパレス, 56,菅原隆, 1.3,,,, 7, 19.4, ②②, 2,17,Ｏエリモヴィエント, 40,太宰啓, 0.1, 47, -20,* -3, 9, 51.5, ⑯⑯, 2,12,Ｉスプリングシｰズン, 67,勝浦正, 0.0,,,, 2,  4.2,①①①, 2,13,Ｃトランドネｰジュ, 71,柴山雄, 0.2, 65, -10,   5, 1,  2.7, ⑨⑨
 3, 9,Ｇロｰザロッチェ, 53,藤岡康, 1.7,,,, 8, 20.7, ⑧⑧, 3, 2,Ｇクロコサイレンス, 55,古川吉, 0.1, 48, -16,* -6, 7, 17.3, ⑬⑬, 3, 9,Ｊベルモントメジャｰ, 65,横山和, 0.4,,,,11,125.4,③④④, 3,10,Ｆロｰレルエナジｰ, 66,宮崎北, 0.2, 65,  -3,  -1, 9, 21.5, ⑤⑤
 4, 3,Ｋゲンパチラヴダンス, 47,岩部純, 1.9,,,,14,126.0, ⑥⑤, 4,15,Ｅアラカメジョウ, 57,吉田稔, 0.2, 48,  -6, -18, 6, 16.2, ⑥⑤, 4, 1,Ｃオｰヴァｰジョイド, 74,丸田恭, 0.6,,,, 1,  2.6,⑧⑦⑥, 4, 3,Ｎツヨシノブルｰム, 53,上村洋, 0.2, 67, -16,* 11, 7, 15.6, ⑭⑭
 5, 1,Ｌダンツスウィフト, 47,上村洋, 1.9,,,,11, 59.4, ③③, 5,13,Ｌロｰレルイニシオ, 45,高倉稜, 0.3, 44, -14, -11, 8, 23.2, ⑫⑫, 5, 6,Ｈバンブｰチェルシｰ, 67,松田大, 0.8,,,, 8, 18.1,⑤⑤⑦, 5,18,Ｂバクシンクリチャン, 74,松山弘, 0.3, 64, -10,   4, 5, 11.2, ⑩⑩
 6,11,Ｈダイゴミ, 52,杉原誠, 2.4,,,, 6, 15.1, ⑤⑥, 6, 7,Ｆヤサカオディｰル, 57,大野拓, 0.3, 47,  -9, -15, 5, 10.5, ⑦⑧, 6, 7,Ｆアポロストｰム, 70,丹内祐, 1.0,,,, 6, 15.3,④③③, 6, 7,Ａカノヤミノリ, 76,丸田恭, 0.4, 63, -14,   6, 2,  4.8, ⑪⑪
 7, 8,Ｆヴォワドランジュ, 55,松田大, 2.4,,,, 9, 33.0, ⑪⑩, 7,16,Ｍクレバｰアストレア, 42,丹内祐, 0.4, 45, -17,  -8,16,217.2, ⑮⑭, 7, 4,Ｂクオリティタイム, 74,太宰啓, 1.5,,,, 7, 15.3,⑬⑬⑫, 7,15,Ｏカシノエルフ, 53,西田雄, 0.5, 63, -16,   8,16,182.2, ⑬⑬
 8,14,Ｃラプタｰフィリｰ, 61,川須栄, 2.5,,,, 2,  5.5, ⑩⑪, 8, 6,Ａラニカイツヨシ, 67,上村洋, 0.5, 43, -14, -14, 1,  2.7, ⑨⑩, 8, 8,Ｍヤマイチタイキ, 53,西田雄, 1.5,,,, 9, 28.8,②②②, 8, 6,Ｅサクラエミネント, 70,川須栄, 0.6, 60,*  2, -11, 6, 11.6, ②②
 9, 6,Ｉインプロｰジョン, 50,吉田隼, 2.5,,,, 5, 12.1, ⑨⑨, 9, 4,Ｄサラロｰサ, 58,藤岡康, 0.8, 39, -13, -18,11, 75.5, ⑪⑪, 9, 3,Ｄバイオレントナイト, 73,松山弘, 1.5,,,, 5, 10.9,⑦⑧⑧, 9,14,Ｍメイショウフォロｰ, 53,太宰啓, 0.7, 58,*  3, -14,10, 37.4, ①①
10,12,Ｂシニスタｰクイｰン, 64,太宰啓, 2.7,,,, 3,  7.5, ⑫⑫,10, 3,Ｈパｰティブロッサム, 55,佐藤哲, 0.9, 39, -10, -23, 2,  3.6, ⑧⑥,10, 2,Ａエｰシンテュポｰン, 74,川須栄, 1.7,,,, 3,  6.0,⑩⑩⑨,10, 9,Ｋタマモキャッツアイ, 58,村田一, 0.8, 60, -24,* 11,12, 42.4, ⑯⑯
11, 7,Ｏエンダレ, 38,高倉稜, 2.7,,,,12, 87.3, ⑬⑬,11, 5,Ｃディｰプランマ, 59,勝浦正, 0.9, 38,  -8, -24, 4,  8.0, ⑤⑦,11,10,Ｅスタｰサイクル, 72,菅原隆, 2.0,,,,10, 40.6,⑨⑨⑩,11, 5,Ｈアブシンベル, 63,伊藤工, 1.2, 59, -34,* 17,11, 37.7, ⑱⑱
12, 4,Ｄトウカイセレッソ, 58,大野拓, 2.9,,,, 4,  9.3, ⑭⑭,12, 9,Ｎケンブリッジスワン, 41,中井裕, 1.0, 40, -29,* -5,10, 54.2, ⑰⑰,12, 5,Ｇアテンボｰイ, 68,黛弘人, 2.4,,,,13,288.9,⑪⑪⑪,12,11,Ｉノゾミカイソク, 62,大畑雅, 1.2, 55, -22,   5,14,118.4, ⑰⑰
13,10, スリｰベルクイン,---,中井裕, 3.4,,,,15,177.6, ⑯⑯,13,14,Ｉピットシｰル, 54,杉原誠, 1.3, 33, -11, -27,17,336.9, ⑩⑨,13,13,Ｌシンワカントリｰ, 62,中井裕, 3.3,,,,12,254.1,⑫⑫⑬,13,17, ゴｰルドフレンド,---,国分優, 1.2, 53, -15,  -3,17,238.1, ⑫⑫
14, 5,Ｎトｰアライチョウ, 44,西村太, 3.6,,,,13,106.7, ④④,14,18,Ｐマテルナ, 38,国分優, 1.3, 34, -19, -19,14,140.2, ⑭⑮,,,,,,,,,,,,,14, 1,Ｊツｰオブアス, 61,藤岡康, 1.4, 50,* -1, -19, 8, 19.7, ④③
15,13,Ｍテンショウゴッデス, 46,丹内祐, 3.9,,,,10, 37.7, ⑦⑦,15,12,Ｑショウナンマジック, 38,平野優, 1.4, 34,* -1, -38,12, 79.7, ②①,,,,,,,,,,,,,15,16,Ｐキタルファ, 50,黛弘人, 1.4, 51,*  1, -20,13, 65.6, ③④
16,15,Ｊブルジュハリファ, 49,柴山雄, 4.6,,,,16,222.0, ⑮⑮,16, 1,Ｊシゲルコウギョク, 47,村田一, 1.5, 31,  -6, -34,13,108.5, ④④,,,,,,,,,,,,,16, 8,Ｌメイショウアキシノ, 55,丹内祐, 2.0, 43,  -5, -21,18,321.9, ⑦⑦
,,,,,,,,,,,,17,11,Ｋベネノチョｰジョ, 47,松山弘, 2.3, 23,* -2, -48,15,161.5, ①②,,,,,,,,,,,,,17, 4, ハンドスタｰ,---,吉田稔, 2.2, 40, -24,  -6,15,174.8, ⑮⑮
,,,,,,,,,,,,18,10,Ｒトウカイサンゴ, 37,西村太, 4.7,-24, -37, -44,18,397.2, ⑱⑱,,,,,,,,,,,,,18, 2,Ｇブランダムｰル, 66,古川吉, 2.3, 39,  -4, -26, 4, 10.6, ⑥⑥
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:8),,,,,,,,,,,
"単勝:210円 複勝:02=120円 16=410円 09=390円 枠連:1,980円",,,,,,,,,,,,"単勝:770円 複勝:08=290円 17=1,210円 02=570円 枠連:4,870円",,,,,,,,,,,,"単勝:920円 複勝:11=300円 12=230円 09=2,580円 枠連:1,690円",,,,,,,,,,,,単勝:760円 複勝:12=220円 13=160円 10=430円 枠連:860円,,,,,,,,,,,
"馬連:1,770円 ワイド:02-16=830円 02-09=730円 09-16=4,030円",,,,,,,,,,,,"馬連:17,300円 ワイド:08-17=4,140円 02-08=2,020円 02-17=9,130円",,,,,,,,,,,,"馬連:2,360円 ワイド:11-12=1,050円 09-11=8,230円 09-12=7,960円",,,,,,,,,,,,"馬連:1,230円 ワイド:12-13=470円 10-12=2,280円 10-13=1,450円",,,,,,,,,,,
"馬単:3,000円 3連複:9,970円 3連単:41,680円",,,,,,,,,,,,"馬単:25,980円 3連複:81,580円 3連単:452,220円",,,,,,,,,,,,"馬単:5,900円 3連複:64,980円 3連単:358,510円",,,,,,,,,,,,"馬単:2,840円 3連複:8,550円 3連単:46,200円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａブリスコｰラ, 66,大野拓,,,,, 1,  2.3,⑨⑨⑥, 1, 2,Ｂアドマイヤバラｰド, 66,川須栄,, 71,  12,*  2, 1,  1.2,⑧⑨⑥, 1,13,Ｃキングロンシャｰプ, 70,田中博,, 78,   4,* 17, 4,  7.5, ⑬⑫, 1, 6,Ｇメイショウゾウセン, 75,吉田隼,, 87,* 23,   3,12, 39.9,①①①
 2,12,Ｋタマモデザイア, 53,太宰啓, 0.8,,,,14,245.0,③③③, 2, 9,Ｍマイネルアイザック, 47,藤懸貴, 0.4, 68,* 13,  -6, 7, 47.2,③⑤③, 2, 9,Ｆハンタｰワディ, 68,佐藤哲, 0.2, 77,   7,  12, 7, 11.6, ⑩⑪, 2, 9,Ｄタガノザイオン, 77,川須栄, 0.2, 86,  15,* 16, 1,  4.9,⑩⑪⑪
 3, 8,Ｂニライジンク, 61,松山弘, 1.0,,,, 2,  3.8,①①①, 3, 6,Ａダノンキャスケｰド, 70,藤岡康, 0.6, 68,  10,*  2, 2,  6.3,⑨⑮⑯, 3,14,Ｂダンスラナキラ, 72,上村洋, 0.2, 77,   8,   9, 2,  6.6, ⑥⑦, 3, 2,Ｂラヴィンライフ, 80,松山弘, 0.2, 85,  16,* 13, 7, 15.6,⑫⑩⑩
 4, 5,Ｅアポロヴァリアント, 58,西田雄, 1.7,,,, 5, 16.9,⑤⑤⑤, 4, 1,Ｈオウケンプレスリｰ, 56,佐藤哲, 0.6, 67,  12,  -4, 6, 22.7,⑭⑪⑩, 4, 1,Ｉパワフルキリシマ, 66,川須栄, 0.2, 77,   4,* 16, 8, 12.4, ⑫⑭, 4, 1,Ｅトゥザサミット, 76,上村洋, 0.3, 85,  14,* 16, 2,  5.0,⑬⑫⑬
 5, 4,Ｇブｰドゥｰロア, 56,吉田稔, 1.7,,,, 3,  4.5,④④④, 5, 7,Ｅサチノコイノボリ, 59,国分優, 0.7, 66,* 13, -10, 3, 19.2,⑯④⑤, 5, 8,Ｌクリノドスコイ, 61,西田雄, 0.4, 74,   1,* 17,13, 69.7, ⑰⑱, 5, 5,Ｍブルｰモｰリシャス, 66,国分優, 0.9, 78,  19,  -2,13, 43.3,⑤④③
 6, 9,Ｈメイデイ, 56,荻野琢, 2.0,,,, 6, 18.3,⑩⑩⑧, 6,10,Ｃシルクハｰデスト, 62,上村洋, 0.7, 66,  12,  -6, 4, 22.2,⑬⑧⑨, 6,11,Ｋアドマイヤクｰガｰ, 62,高倉稜, 0.6, 73,   9,   3,10, 15.9, ④④, 6, 8,Ａシルヴァｰノ, 83,丸田恭, 1.0, 75,  14,   6, 3,  6.4,⑨⑬⑫
 7,11,Ｊカプリッチレット, 55,上村洋, 2.3,,,,12,178.6,⑭⑪⑪, 7,13,Ｉサトノジュビリｰ, 52,高倉稜, 1.2, 60,  11, -10, 8, 74.1,⑮⑬⑫, 7, 2,Ｅロｰドエアフォｰス, 69,藤岡康, 0.7, 71,   8,   3, 1,  4.6, ⑦⑤, 7, 3,Ｊクレｰンズラヴァｰ, 72,高倉稜, 1.1, 75,  12,   6,11, 34.1,⑭⑭⑭
 8, 6,Ｆショウナンハッブル, 56,平野優, 2.8,,,, 9, 54.6,②②②, 8, 5,Ｏマイネルレジェｰル, 43,丹内祐, 1.4, 58,* 13, -23,14,223.6,②②②, 8, 5,Ｄロジハｰツ, 69,村田一, 0.9, 69,  10,  -2, 5,  8.2, ③③, 8,11,Ｌマツリダガッツ, 67,横山和, 1.1, 74,* 22,  -9,10, 23.2,②②②
 9, 7,Ｄレジェンドスズラン, 59,横山和, 3.0,,,,11,133.1,⑫⑬⑬, 9,14,Ｇサムシングエルス, 58,丸田恭, 1.6, 56,  10, -14,10,103.9,⑫⑯⑮, 9,18,Ｊトキメキセイコｰ, 63,平野優, 1.0, 71,* 22, -19,12, 66.7, ①①, 9,12,Ｈセニョリｰタ, 75,大野拓, 1.4, 73,  19,  -9, 6,  8.7,③③④
10, 2,Ｃカテキンパワｰ, 60,宮崎北, 3.3,,,, 8, 32.0,⑧⑫⑫,10, 8,Ｌミヤコデラックス, 50,吉田稔, 1.7, 57,   8, -11,16,288.4,⑰⑰⑰,10, 6,Ａサトノペガサス, 72,丸田恭, 1.1, 67,   8,   0, 6,  9.9, ⑧⑧,10, 4,Ｆダブルレインボｰ, 75,藤岡康, 2.0, 65,  16, -12, 4,  6.8,⑪⑨⑨
11,14,Ｎスｰトスペｰド, 33,丹内祐, 3.7,,,,10, 91.7,⑬⑧⑩,11,17,Ｄヒノクニフォｰス, 60,横山和, 2.0, 54,  12, -24,12,137.1,⑦⑦⑧,11,15,Ｈブリｰジｰデイズ, 67,吉田隼, 1.1, 67,   8,  -1, 9, 14.2, ⑪⑨,11,10,Ｉタイキエイワン, 73,太宰啓, 2.0, 63,  16, -13, 5,  8.5,⑦⑧⑦
12,10,Ｉゴｰゴｰクリス, 55,中井裕, 4.0,,,, 4,  9.8,⑥⑦⑨,12,11,Ｊグラスマテリアル, 52,平野優, 3.1, 46,  11, -37,17,494.5,⑥⑩⑪,12,16,Ｇピｰスフルアｰス, 67,太宰啓, 1.2, 65,   8,  -3, 3,  7.0, ⑤⑥,12,14,Ｃハギノアスラン, 80,鮫島良, 2.0, 66,  19, -16, 9, 18.7,⑧⑤⑤
