12年11月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白菊賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂアチｰヴ, 56,幸英明,, 64,  -2,*  5, 4,  6.3, ⑩⑨, 1, 2, ダイシングロウ,,西谷誠,,,,, 2,  4.1,①①①, 1, 7,Ｊタマモトッププレイ, 64,福永祐,, 79,* 11,   0, 3,  6.3, ①①, 1, 5,Ｃディアマイベイビｰ, 66,川田将,, 71,*  9, -11, 3,  4.4, ①①
 2, 5,Ｃウイングリｰト, 56,松山弘, 0.4, 62,   4,  -6, 2,  4.3, ⑥⑥, 2, 6, ユウタｰチェイサｰ,,金子光,215.4,,,,13,124.5,⑥⑥⑤, 2,13,Ａアドマイヤコリン, 78,松山弘, 0.1, 80,   2,* 17, 1,  3.4, ⑯⑮, 2, 4,Ｆマイネチャｰム, 59,川須栄, 0.1, 70,   1,*  1, 7, 37.3, ⑦⑧
 3, 6,Ｏトゥルｰピｰス, 34,川田将, 0.5, 61,   1,  -3, 7, 24.9, ⑨⑦, 3, 3, マｰベラスカイザｰ,,熊沢重,215.4,,,, 1,  3.2,⑤④③, 3, 9,Ｆカロッサル, 68,国分恭, 0.1, 79,   5,*  9, 5,  6.8, ⑩⑨, 3, 2,Ｅシャスタｰデイジｰ, 60,松山弘, 0.2, 66,   5,  -8, 5, 16.6, ②②
 4,14,Ｉシゲルリブラ, 45,高倉稜, 1.1, 55,  -6,*  0,11, 94.1, ⑭⑫, 4,11, アスカノバッハ,,植野貴,215.5,,,, 3,  4.7,⑧⑧⑧, 4, 1,Ｎセフティオリビエト, 62,幸英明, 0.3, 77,*  9,  -1, 7, 13.1, ③④, 4, 7,Ｄタンスチョキン, 61,国分恭, 0.3, 66,   1,  -3, 8, 42.7, ⑧⑦
 5, 8,Ｄミラクルルｰマｰ, 53,川須栄, 1.4, 55,*  6, -18, 3,  6.3, ②①, 5, 1, ブチカマシ,,黒岩悠,216.4,,,, 8, 30.7,⑦⑦⑦, 5, 3,Ｋマルデデルマ, 64,川須栄, 0.4, 77,   4,   7,15,127.2, ⑬⑫, 5, 8,Ｂウリウリ, 67,幸英明, 0.4, 66,   5, -10, 2,  2.6, ④④
 6,13,Ｇメイショウラムダ, 49,花田大, 1.4, 54,   5, -17,10, 77.0, ⑤⑤, 6, 9, スズマｰシャル,,浜野谷,216.5,,,,14,184.9,③②②, 6, 4,Ｇタガノグｰフォ, 66,鮫島良, 0.4, 76,   6,   3,10, 41.7, ⑨⑧, 6, 3,Ｈバリロｰチェ, 51,福永祐, 0.4, 65,   2,  -7, 4,  9.0, ⑤⑤
 7,15,Ｎシャインエタニティ, 34,太宰啓, 1.8, 50,  -3, -10, 9, 54.5, ⑪⑪, 7, 4, ロｰレルレヴァｰタ,,小坂忠,216.7,,,, 6, 14.9,②③④, 7, 8,Ｌスイｰトブライアｰ, 63,太宰啓, 0.4, 76,   8,   0, 9, 37.0, ⑥⑥, 7, 1,Ａサトノネネ, 68,和田竜, 0.6, 63,   2, -10, 1,  2.6, ⑥⑥
 8,12,Ａハンドリング, 65,水口優, 2.3, 47,   5, -25, 1,  2.2, ④④, 8,13, モルエラン,,草野太,217.1,,,, 9, 32.6,④⑤⑥, 8,12,Ｄメイショウシレトコ, 72,渡辺薫, 0.5, 75,   3,   8, 8, 33.2, ⑭⑭, 8, 6,Ｇロジウエスト, 56,中舘英, 1.1, 57,   5, -21, 6, 26.9, ③③
 9, 2,Ｍテイエムオオワシ, 35,鮫島良, 2.4, 45,  -7, -11,15,237.6, ⑮⑬, 9, 5, メジロサンノウ,,高嶋活,217.2,,,, 7, 28.6,⑪⑩⑩, 9, 2,Ｂバハドゥｰル, 76,田辺裕, 0.5, 76,   1,* 12, 2,  5.6, ⑱⑰,,,,,,,,,,,,
10, 4,Ｋバンブｰデルピエロ, 40,和田竜, 2.4, 46,   1, -21, 6, 17.9, ⑦⑩,10, 7, トウシンボルト,,中村将,217.3,,,, 4,  6.2,⑩⑪⑪,10, 6,Ｏゼログラヴィティｰ, 62,川田将, 0.5, 75,* 11,  -5, 6, 10.6, ④③,,,,,,,,,,,,
11, 1,Ｅクラウンシュバルツ, 52,国分優, 2.6, 45,*  6, -28, 8, 30.8, ①②,11,10, エイユｰブラッサム,,今村康,217.4,,,,10, 42.7,⑬⑬⑫,11,14,Ｃオリｰブジュエル, 74,菱田裕, 0.6, 72,* 11,  -9, 4,  6.5, ②②,,,,,,,,,,,,
