12年11月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霊山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａランドクイｰン, 66,西村太,, 57,*  7,* -2, 4,  7.3, ①①, 1,15,Ｊマイネルディｰン, 66,伊藤工,, 83,  15,* 12, 7, 11.3,⑧⑧⑥, 1,15,Ｆシャイニｰダンディ, 74,古川吉,, 75,   9,   6,12, 52.1,⑩⑨⑦, 1, 3,Ｇロジダンス, 70,丸田恭,, 78,   2,* 15, 8, 21.7,⑦⑦⑦
 2,12,Ｍエリモフェザｰ, 29,津村明, 0.0, 59,   5,*  1, 8, 44.6, ⑤③, 2,10,Ｉクリビツテンギョ, 68,川須栄, 0.2, 81,  12,* 15, 9, 15.1,⑪⑩⑨, 2, 1,Ｂヴァンヘルシング, 77,菱田裕, 0.0, 76,   8,*  8, 3,  6.3,⑨⑩⑨, 2, 7,Ｅカンタベリｰナイト, 72,西田雄, 0.3, 79,   0,* 18,11, 40.4,⑪⑪⑪
 3, 3,Ｂアスカブランシュ, 61,嶋田純, 0.2, 56,*  6,  -3, 2,  3.8, ②②, 3, 3,Ｂルナ, 84,横山和, 0.4, 75,* 20,  -6, 2,  4.7,①①①, 3, 7,Ｋアプレレクｰル, 68,丸田恭, 0.2, 73,   8,   6,11, 50.6,⑫⑪⑩, 3, 9,Ｂルミナスレッド, 74,宮崎北, 0.6, 72,*  4,   3, 4, 10.3,③③③
 4, 6,Ｅフルｰツガｰデン, 45,柴山雄, 0.7, 48,  -1,* -1, 7, 30.4, ⑩⑥, 4, 1,Ｄベンジャミン, 75,菱田裕, 0.4, 76,  18,   1, 8, 12.7,③④③, 4, 5,Ａスタｰノエル, 83,吉田隼, 0.3, 70,* 14,  -6, 1,  2.0,①①①, 4, 1,Ｈリッカタキシｰド, 69,吉田隼, 0.6, 75,   1,  11, 5, 15.3,⑨⑨⑨
 5,14,Ｏミエナイツバサ, 13,西田雄, 1.3, 43,  -2,  -5,15,239.8, ⑫⑩, 5,11,Ｇプレミアムテｰスト, 68,松山弘, 0.5, 78,  11,* 15, 6, 11.2,⑫⑫⑫, 5, 2,Ｇレイテッド, 74,松田大, 0.3, 72,   7,*  7, 9, 34.0,⑪⑫⑪, 5,10,Ｋアラマサコマンダｰ, 68,大野拓, 0.6, 73,   3,   6,12, 57.6,⑥⑥⑥
14, 4,Ｈディアアスペン, 39,丸田恭, 1.3, 44,   3,  -9,10, 48.9, ⑧⑤, 6, 5,Ｃコスモユッカ, 77,中井裕, 0.5, 75,* 19,  -5, 1,  4.2,④②②, 6, 4,Ｍトウショウギフト, 67,岩部純, 0.7, 69,   8,  -1,10, 38.1,⑧⑧⑤, 6,12,Ａバンスタンウォルツ, 82,柴山雄, 0.7, 72,*  4,   3, 1,  1.7,⑤④⑤
 6,13,Ｋバンビアイ, 32,黛弘人, 1.4, 41,  -4,  -5, 6, 22.8, ⑭⑮, 7, 8,Ｌエルヴィスバロｰズ, 66,吉田隼, 1.0, 74,   9,* 12, 4,  9.3,⑭⑭⑭, 7,12,Ｊロｰジｰライト, 71,村田一, 0.8, 69,   7,   3, 8, 30.8,⑬⑬⑫, 7, 8,Ｌロｰリングストｰン, 66,木幡初, 0.7, 74,   0,  13,10, 29.0,⑫⑫⑫
 7, 5,Ｆトウカイクッキｰ, 44,大野拓, 1.5, 41,  -4,  -5, 5, 13.0, ⑬⑭, 8,12,Ａアイファｰファルコ, 85,藤懸貴, 1.1, 70,  16,  -6, 5,  9.3,⑥⑥⑤, 8, 6,Ｃペガサスフラッシュ, 75,中舘英, 0.8, 69,* 13,  -6, 2,  6.0,④③③, 8, 2,Ｆタイキプレミアム, 71,川須栄, 0.8, 72,   1,   7, 2,  8.0,⑧⑧⑧
 8,16,Ｊキャロルツリｰ, 32,杉原誠, 2.0, 37,  -1, -12,16,255.3, ⑪⑫, 9, 7,Ｆドリｰムキャプテン, 70,丸山元, 1.2, 69,  15,  -5, 3,  5.4,⑦⑦⑦, 9, 9,Ｎロックシンガｰ, 66,嶋田純, 0.9, 69,   2,*  9,14,195.1,⑮⑮⑮, 9, 5,Ｊクリｰンメタボ, 68,丸山元, 1.0, 70,   1,   6, 3,  8.8,⑩⑩⑩
 9,10,Ｇエチュｰド, 41,丸山元, 2.2, 34,  -9,  -6,11, 49.5, ⑯⑯,10, 6,Ｅアイドルバイオ, 73,村田一, 1.2, 71,  12,   2,12, 73.9,⑩⑪⑩,10, 8,Ｈマイネルラピド, 72,川須栄, 1.1, 68,  10,  -7, 7, 20.3,⑤④④,10, 4,Ｍクリフパレス, 63,松山弘, 1.0, 68,*  4,  -1, 9, 27.4,④⑤④
10,15,Ｃラノララク, 51,嘉藤貴, 2.4, 36,*  6, -22, 1,  2.5, ③④,11, 2,Ｍディｰプスノｰ, 63,中舘英, 1.3, 69,  14,  -3,10, 35.3,⑨⑨⑪,11,10,Ｌマイネルハｰトレｰ, 67,中井裕, 1.7, 67,   6,  -4,13, 56.8,⑭⑭⑬,11,13,Ｄオｰルタｰゲット, 72,松田大, 1.0, 69,*  4,  -4, 6, 18.3,②②②
11, 1,Ｉメイショウホワイト, 36,木幡初, 3.0, 29,   2, -23, 9, 47.4, ⑦⑧,12,13,Ｋコｰディリア, 66,小林徹, 1.7, 67,   9,   2,11, 42.5,⑮⑮⑮,12,11,Ｉヴェルデグリｰン, 72,津村明, 1.9, 63,   9, -10, 4, 11.3,⑥⑦⑧,12, 6,Ｉカシマパフュｰム, 69,中谷雄, 1.4, 70,   0,   6,13,108.0,⑬⑬⑬
12,11,Ｐシュヴァン, 13,田中博, 3.2, 26,  -7, -17,13,203.0, ⑮⑬,13, 9,Ｈセルリアンディンゴ, 68,西田雄, 2.0, 61,  16, -19,15,379.9,⑤⑤⑧,13, 3,Ｅシルクフラッシュ, 75,藤懸貴, 1.9, 59,* 13, -18, 5, 12.3,②②②,13,11,Ｃイクシカナイダロウ, 74,杉原誠, 1.7, 63,*  4, -14, 7, 18.6,①①①
13, 8,Ｎツキノピラミッド, 15,丹内祐, 3.3, 26,  -1, -23,14,203.5, ⑨⑪,14,14,Ｎハギノバロンドｰル, 62,杉原誠, 2.5, 60,  11, -13,14,141.8,⑬⑬⑬,14,14,Ｄケイアイプログレス, 75,大野拓, 2.0, 60,   9, -13, 6, 18.5,⑦⑤⑥,,,,,,,,,,,,
15, 7,Ｄパティキュラリｰ, 46,中井裕, 4.4, 20,   5, -39, 3,  5.4, ④⑦,15, 4,Ｏベルウッドホルン, 58,中谷雄, 3.5, 48,* 19, -45,13, 93.8,②③④,15,13,Ｏコウズシャイン, 61,平野優, 3.2, 55,   9, -23,15,342.3,③⑥⑭,,,,,,,,,,,,
16, 9,Ｌフクノアルナイル, 32,長岡禎, 4.6, 16,   4, -39,12, 89.7, ⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
"単勝:730円 複勝:02=230円 12=1,030円 03=150円 枠連:9,860円",,,,,,,,,,,,"単勝:1,130円 複勝:15=330円 10=440円 03=150円 枠連:2,770円",,,,,,,,,,,,"単勝:5,210円 複勝:15=1,060円 01=240円 07=1,080円 枠連:2,970円",,,,,,,,,,,,"単勝:2,170円 複勝:03=690円 07=610円 09=380円 枠連:17,370円",,,,,,,,,,,
"馬連:21,180円 ワイド:02-12=4,950円 02-03=420円 03-12=2,670円",,,,,,,,,,,,"馬連:8,860円 ワイド:10-15=2,560円 03-15=1,170円 03-10=1,740円",,,,,,,,,,,,"馬連:15,270円 ワイド:01-15=3,930円 07-15=13,150円 01-07=3,670円",,,,,,,,,,,,"馬連:44,620円 ワイド:03-07=8,610円 03-09=2,060円 07-09=3,320円",,,,,,,,,,,
"馬単:48,010円 3連複:22,120円 3連単:229,150円",,,,,,,,,,,,"馬単:18,350円 3連複:14,370円 3連単:118,680円",,,,,,,,,,,,"馬単:51,000円 3連複:117,240円 3連単:1,232,030円",,,,,,,,,,,,"馬単:77,450円 3連複:99,030円 3連単:743,280円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,みちのくｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
