12年10月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩船特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄマイネルガブリエル, 49,津村明,, 54,  -2,* -9, 9, 24.1,⑥④④, 1, 8,Ｄサトノティアラ, 69,菱田裕,, 74,*  8,*  3, 5,  5.7,③④③, 1,11,Ｇグッドカフェ, 71,藤懸貴,, 79,  10,*  4, 9, 25.1, ⑭⑭, 1, 9,Ｃホッコｰブレｰヴ, 77,丸田恭,, 78,   2,* 18, 2,  7.1,⑬⑫⑪
 2, 4,Ｂキンショｰタイム, 59,松山弘, 0.0, 52,*  0, -11, 1,  1.8,②②②, 2, 7,Ｅラブミｰニキｰタ, 67,大野拓, 1.5, 64,   5,  -4, 7, 23.3,⑨⑩⑨, 2, 1,Ｅベルニｰニ, 72,菱田裕, 0.3, 77,  10,*  1, 5,  7.1, ⑫⑫, 2, 1,Ａシャドウバンガｰド, 79,荻野琢, 0.1, 77,   5,* 12, 1,  2.8,⑧⑧⑧
 3,14,Ｃコスモデスタン, 50,丹内祐, 0.5, 50,* -1, -15, 3,  8.3,④③③, 3, 2,Ｃサンマルリジイ, 71,中井裕, 1.5, 67,   7,  -9, 2,  4.1,④⑤⑤, 3, 8,Ｈラスリｰズ, 69,横山和, 0.3, 76,  10,*  0, 6, 11.0, ⑬⑬, 3, 3,Ｊコスモユッカ, 68,中井裕, 0.2, 76,   6,   6, 8, 15.1,⑥⑥⑤
 4, 7,Ａカリスマサンタイム, 59,水口優, 0.8, 48,  -6,* -8, 6, 19.2,⑨⑨⑨, 4, 9,Ａアプレレクｰル, 72,丸田恭, 1.6, 62,   7,  -8, 3,  4.5,⑧⑥⑥, 4,13,Ｂティボリペガサス, 75,水口優, 0.5, 72,* 16, -19, 3,  5.9, ③②, 4,13,Ｄウインフロレゾン, 76,大野拓, 0.2, 76,   3,* 13, 3,  7.6,⑩⑩⑩
 5, 1,Ｈケイアイキャンサｰ, 44,柴山雄, 1.1, 43,*  0, -22,10, 34.3,①①①, 5, 3,Ｆオンザスロｰン, 67,柴山雄, 1.8, 61,   8, -11, 6, 12.2,⑦③④, 5, 7,Ｋアｰルデュラン, 66,平野優, 0.5, 74,  10,  -3, 4,  6.6, ⑨⑪, 5, 6,Ｆトウカイクオｰレ, 70,柴山雄, 0.6, 70,*  9,  -9, 4,  7.7,①①①
 6,10,Ｅウインコサｰジュ, 48,川島信, 1.3, 45,  -7,*-10, 4,  8.8,⑮⑪⑩, 6, 1,Ｂホワイトジュエル, 72,西村太, 2.4, 56,   7, -14, 8, 27.2,⑥⑦⑦, 6, 6,Ａスズカチャンプ, 76,中井裕, 0.7, 70,  14, -16, 1,  3.8, ④④, 6,12,Ｂルミナスレッド, 77,宮崎北, 0.6, 72,*  7,  -4, 6,  9.2,③③③
 7, 3,Ｋシスタｰエアｰ, 43,西村太, 1.4, 41,  -6, -14,12,170.3,⑩⑥⑥, 7, 5,Ｇエｰシンジェネシス, 66,松山弘, 2.5, 57,*  9, -20, 4,  5.6,①①①, 7, 5,Ｌカフェディｰン, 63,伊藤工, 0.9, 70,  11, -12, 7, 12.2, ⑧⑩, 7, 2,Ｈメイショウタフ, 68,川島信, 0.7, 71,   5,   0, 9, 26.7,⑤⑤⑦
 8, 2,Ｆオリバｰバロｰズ, 48,大野拓, 1.8, 41,  -3, -22, 8, 21.2,⑤⑤⑤, 8,10,Ｈネオスペチアｰレ, 65,水口優, 3.3, 52,*  8, -26, 9, 64.9,②②②, 8, 4,Ｃキャニオンシンザン, 73,原田和, 1.0, 68,  11, -13,13, 74.0, ⑥⑦, 8, 4,Ｌドラゴネッティ, 65,吉田隼, 0.9, 68,   5,  -2, 7, 10.3,⑦⑦⑥
 9,11,Ｏクリノサガルマｰタ, 29,古川吉, 2.6, 38,  -8, -17,11,115.8,⑭⑭⑬, 9, 4,Ｉサイレントクロップ, 58,吉田隼, 3.9, 47,   6, -26, 1,  4.0,⑩⑧⑧, 9,10,Ｊハンサムボｰイ, 68,長岡禎, 1.4, 65,  11, -19,12, 59.9, ⑩⑨, 9,14,Ｅマイネルテンクウ, 75,丹内祐, 0.9, 68,*  7,  -8, 5,  8.1,④④④
10, 9,Ｇエリンジュｰム, 45,吉田隼, 2.6, 35,  -4, -25, 2,  6.3,③⑦⑦,10, 6,Ｊセラｰナ, 51,村田一, 4.9, 43,   6, -34,10,123.9,⑤⑨⑩,10,12,Ｆハシルヨミテテ, 72,西村太, 1.4, 64,  14, -24, 8, 21.0, ⑦⑥,10,11,Ｉシンボリアミアン, 68,中舘英, 1.2, 67,   5,  -4,14, 95.1,⑫⑨⑨
11, 8,Ｎグリｰンヴィジョン, 30,大庭和, 2.7, 38,  -8, -19,13,216.1,⑬⑬⑭,,,,,,,,,,,,,11, 9,Ｄオｰクヒルパｰク, 72,荻野琢, 1.6, 61,  12, -25, 2,  5.4, ⑪⑧,11,10,Ｍハギノバロンドｰル, 63,津村明, 1.2, 66,   2,   2,11, 57.1,⑪⑬⑫
12, 6,Ｊスマイルユｰ, 43,上村洋, 3.1, 35,  -6, -26, 5, 16.9,⑧⑩⑪,,,,,,,,,,,,,12,14,Ｍマイオリオン, 53,菅原隆, 2.7, 54,* 16, -52,11, 41.0, ①①,12, 7,Ｋヘリオスフィア, 67,松田大, 1.6, 62,*  9, -21,12, 79.8,②②②
