12年10月20日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月20日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇケイアイレオｰネ, 39,幸英明,, 57,   2,*  1, 3,  8.0, ④④, 1,11, アグネスハイヤｰ,,北沢伸,,,,, 2,  4.2,⑥④④, 1, 5,Ｆリュクスメジャｰ, 70,熊沢重,, 82,*  9,*  7, 3,  5.3, ③②, 1, 5,Ａアドマイヤラクティ, 86,デムｰ,, 84,  11,* 12, 1,  2.4,⑧⑧⑧
 2, 1,Ｆティズトレメンダス, 43,藤岡佑, 0.2, 56,  -1,*  3, 1,  1.8, ⑧⑥, 2, 5, クレバｰキング,,植野貴,198.3,,,, 9, 57.6,⑧⑤⑤, 2, 7,Ｃヴィクタシア, 75,藤岡佑, 0.6, 76,   5,*  6, 6,  9.4, ⑦④, 2, 7,Ｇヴィクトリｰスタｰ, 80,小牧太, 0.0, 85,  11,* 11, 2,  2.6,⑤⑥⑦
 3,10,Ｊシゲルアンドロメダ, 33,国分優, 1.2, 49,*  5, -12, 7, 19.7, ①①, 3,14, ゴｰカイフォンテン,,金子光,198.4,,,, 7, 24.9,③③①, 3,14,Ｄメイショウユメゴゼ, 73,小牧太, 1.3, 70,   6,  -1, 4,  6.1, ⑥⑥, 3, 3,Ｅタガノキャプテン, 82,国分恭, 0.3, 80,  12,   2, 6, 18.7,③④④
 4, 6,Ｋエｰシンエポナ, 27,デムｰ, 1.8, 41,   0, -13, 4,  9.0, ⑦⑤, 4, 2, メイショウタｰビン,,難波剛,198.6,,,, 6, 16.2,⑨⑦⑥, 4, 9,Ｂキクノフレヴァン, 76,和田竜, 1.6, 68,   8,  -6, 2,  4.2, ④③, 4, 4,Ｃフミノヤマビコ, 83,国分優, 0.4, 82,  11,   8, 8, 34.8,⑨⑨⑨
 5, 3,Ｌクラウンボｰスロン, 24,川須栄, 1.8, 44,   0, -12,11,193.9, ⑥⑦, 5, 3, ノンパッサｰレ,,石神深,198.6,,,,10, 94.2,②②②, 5, 1,Ａタオ, 77,浜中俊, 1.7, 66,* 13, -12, 1,  4.0, ①①, 5, 2,Ｄセイカプレスト, 82,和田竜, 0.4, 81,  11,   5, 7, 28.7,⑦⑦⑥
 6,11,Ｂセトノプロミス, 51,和田竜, 1.9, 43,   2, -16, 6, 17.9, ③③, 6,13, リアルブラック,,林満明,199.4,,,, 4,  4.9,⑤⑧⑧, 6, 2,Ｅキタサンウンリュｰ, 70,武幸四, 1.7, 68,  -1,   1, 5,  8.8, ⑨⑨, 6, 6,Ｉウォｰクラウン, 78,メンデ, 0.6, 78,  12,  -1, 9, 53.8,⑥⑤⑤
 7, 8,Ｅホッコｰジョイフル, 45,飯田祐, 1.9, 41,  -3, -10, 9, 57.9, ⑩⑪, 7,10, アイアンセラヴィ,,今村康,199.4,,,,13,156.5,⑩⑨⑨, 7,13,Ｏリッカスウィｰプ, 58,幸英明, 1.8, 65,   3,  -3,13,141.3, ⑧⑦, 7, 8,Ｈメイショウサミット, 79,藤岡佑, 0.8, 76,* 16, -17, 4,  9.6,②①①
 8, 5,Ｃロイヤルレイド, 47,渡辺薫, 2.0, 42,  -2, -12, 8, 32.5, ⑨⑨, 8, 7, アイノレグルス,,小坂忠,199.5,,,, 1,  3.4,④⑥⑦, 8, 8,Ｉコｰリングオブラブ, 66,酒井学, 1.8, 65, -10,*  9,12,122.2, ⑭⑬, 8,10,Ｂシルクランスロット, 84,四位洋, 1.2, 73,  13, -12, 3,  6.7,④③③
 9, 2,Ａクリノコトノオｰ, 53,国分恭, 2.1, 39,  -4, -11, 2,  4.8, ⑪⑩, 0, 4, タマモアルプス,,西谷誠,200.7,,,, 3,  4.6,①①③, 9,11,Ｎマナウス, 59,丸山元, 2.4, 59, -14,*  8,10, 40.3, ⑯⑯, 9, 1,Ｆエドノヤマト, 80,幸英明, 1.5, 72,  13, -18, 5, 17.3,①②②
10, 7,Ｉハｰフウェイ, 35,酒井学, 2.7, 37,  -4, -13,12,276.7, ⑫⑫, 9,12, ヒカリサｰベル,,森一馬,202.5,,,, 8, 30.5,⑪⑪⑪,10, 6,Ｋタツショウワ, 62,池添謙, 2.5, 58,  -6,   0, 8, 22.4, ⑪⑪,10, 9,Ｊブルｰスタｰキング, 74,酒井学, 1.8, 69,   9,  -9,10,101.3,⑩⑩⑩
11,12,Ｄオリエンタルサン, 46,小牧太, 2.9, 34,*  3, -25, 5, 15.0, ②②,10, 9, トキメキセイコｰ,,山本康,204.0,,,,12,117.8,⑦⑩⑩,11,16,Ｇザプレジデント, 69,秋山真, 2.7, 57,  -8,   0,11,115.0, ⑬⑭,,,,,,,,,,,,
12, 9,Ｈドリｰムクラｰク, 36,熊沢重, 3.0, 34,   1, -24,10,100.7, ⑤⑧,11, 8, ホクテンリンダ,,浜野谷,206.9,,,,14,210.1,⑬⑬⑬,12, 3,Ｊブライティアアネル, 66,花田大, 2.7, 56,  -8,   0,16,311.7, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,12, 6, レッドグロリア,,五十嵐,207.6,,,,11,109.4,⑫⑫⑫,13,10,Ｈレスタｰビｰト, 68,国分優, 2.8, 57,   8, -16,15,152.7, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｍマコトヴィルッキオ, 60,川田将, 3.0, 54, -11,   0, 9, 35.1, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｐコルドバ, 55,川須栄, 3.7, 48,  -2, -15,14,146.3, ⑩⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｌテイエムアモｰレ, 61,国分恭, 4.3, 43,   8, -31, 7, 18.5, ②⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,
単勝:800円 複勝:04=230円 01=110円 10=340円 枠連:630円,,,,,,,,,,,,"単勝:420円 複勝:11=190円 05=1,340円 14=620円 枠連:5,170円",,,,,,,,,,,,"単勝:530円 複勝:05=220円 07=260円 14=250円 枠連:1,890円",,,,,,,,,,,,単勝:240円 複勝:05=120円 07=120円 03=260円 枠連:250円,,,,,,,,,,,
"馬連:690円 ワイド:01-04=400円 04-10=1,360円 01-10=710円",,,,,,,,,,,,"馬連:11,740円 ワイド:05-11=3,420円 11-14=1,260円 05-14=8,550円",,,,,,,,,,,,"馬連:2,280円 ワイド:05-07=1,230円 05-14=860円 07-14=1,300円",,,,,,,,,,,,馬連:280円 ワイド:05-07=160円 03-05=670円 03-07=610円,,,,,,,,,,,
"馬単:1,810円 3連複:2,720円 3連単:18,330円",,,,,,,,,,,,"馬単:18,120円 3連複:77,450円 3連単:359,160円",,,,,,,,,,,,"馬単:4,640円 3連複:5,790円 3連単:30,300円",,,,,,,,,,,,"馬単:580円 3連複:1,250円 3連単:4,190円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,室町ｽﾃｰｸｽ,,,,,,,,,,
