12年 2月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ2100m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  芝3100m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾋﾔｼﾝｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃトニｰポケット, 62,蛯名正,, 67,* -2,*  7, 1,  2.8,①①①, 1,14, アグネスラナップ,,北沢伸,,,,, 3,  7.3,⑥③③, 1,10,Ｇハタノゼフィロス, 74,柴山雄,, 73,* 10,   2, 7, 15.9, ①①, 1, 6,Ｄフリｰトストリｰト, 76,岩田康,, 77,   6,  12, 1,  2.5, ⑥⑥
 2,15,Ｇミヤビエスペランサ, 59,福永祐, 0.1, 67,* -3,*  8, 3,  5.7,⑥⑤④, 2, 9, ショウナンサミット,,平沢健,209.8,,,,13,134.5,③④④, 2,13,Ａトルバドゥｰル, 79,田辺裕, 0.0, 73,*  9,   2, 2,  4.0, ②②, 2,15,Ｉゲンテン, 71,福永祐, 0.1, 79,   2,* 19, 8, 28.5, ⑮⑮
 3, 7, オパｰルパワｰ,---,木幡初, 0.3, 65,* -2,   5,11, 88.1,②②②, 3, 3, バイヨン,,穂苅寿,209.8,,,, 2,  5.5,⑩⑧⑦, 3,14,Ｄガルビスティｰ, 76,北村宏, 0.1, 73,   8,   4, 3,  5.6, ⑥⑥, 3, 4,Ｃメイスンキャプテン, 76,武士沢, 0.1, 80,   3,* 16, 7, 18.2, ⑫⑪
 4, 1,Ｅオｰルキャスト, 61,後藤浩, 0.5, 65,* -3,   6, 4,  8.6,③③⑤, 4, 2, ボンジュｰルヒカリ,,山本康,210.0,,,,10, 40.4,①①①, 4,11,Ｎモンク, 63,クウィ, 0.2, 73,   8,   3,14, 64.0, ⑤⑤, 4,12,Ｆトミケンユｰクアイ, 73,木幡初, 0.2, 76,*  7,   9,13, 98.7, ④④
 5, 5,Ｈカムイビスティｰ, 58,小牧太, 0.8, 65,  -4,   6, 6, 12.6,⑯⑯⑨, 5, 1, リアルヴィクトリｰ,,中村将,210.1,,,, 8, 20.4,⑦⑪⑪, 5, 9,Ｅテンゲントッパ, 75,武士沢, 0.3, 75,   5,*  8, 1,  3.4, ⑭⑩, 5, 7,Ｇアメリカンウィナｰ, 72,吉田豊, 0.2, 75,   6,  10,14,112.0, ⑤⑤
 6,10,Ｂレッドアヴァロン, 64,吉田豊, 0.9, 63,  -5,*  7, 7, 13.5,⑮⑮⑬, 6,11, ハクサン,,石神深,210.2,,,, 4, 11.9,②②②, 6,16,Ｂメイショウドレイク, 77,小島太, 0.3, 72,*  9,   1, 9, 21.4, ④④, 6, 1,Ｅメジャｰアスリｰト, 74,内田博, 0.4, 75,*  9,   5, 3,  6.3, ①①
 7, 3,Ｋディアスピリトゥス, 57,江田照, 1.0, 61,* -3,   1,14,127.4,④⑥⑥, 7,10, スズマｰシャル,,鈴木慶,210.3,,,,12,101.3,⑨⑥⑤, 7, 3,Ｈダテノスイミｰ, 74,蛯名正, 0.6, 71,   4,*  6, 5, 11.2, ⑬⑫, 7, 8,Ｊプｰラヴィｰダ, 70,柴田善, 0.5, 77,   6,   8, 9, 32.4, ⑦⑦
 8, 4,Ａイルポスティｰノ, 72,クウィ, 1.0, 61,* -3,   2, 2,  4.6,⑦⑦⑦, 8,13, ファイトシｰン,,植野貴,210.4,,,, 7, 19.2,⑪⑩⑨, 8, 8,Ｊニシノオウガイ, 72,吉田豊, 0.6, 69,   4,*  5, 6, 14.8, ⑫⑪, 8, 3,Ａキズマ, 80,蛯名正, 0.5, 74,*  8,   5, 2,  4.5, ②②
 9,14,Ｄベニノアロｰ, 62,津村明, 1.3, 61,  -4,   3,10, 53.4,⑩⑩⑪, 9,12, サトノバロン,,横山義,210.8,,,, 1,  1.9,⑧⑦⑧, 9, 1,Ｉベルモントスコッチ, 72,内田博, 0.8, 69,   5,   1,10, 36.5, ⑪⑧, 9,10,Ｂキングオブロｰ, 78,松岡正, 0.8, 74,   3,  10, 4, 11.5, ⑬⑫
10,13,Ｊコメックス, 58,丸田恭, 2.1, 55,  -5,  -2, 8, 21.5,⑬⑫⑮,10, 6, ビヨンドマックス,,西谷誠,210.9,,,, 6, 17.8,④⑤⑥,10,12,Ｏヒラボクソング, 51,デムｰ, 1.0, 67,   7,  -3,13, 51.6, ⑦⑦,10, 5,Ｈマシュマロ, 72,デムｰ, 1.3, 68,*  7,   0, 5, 11.7, ③③
11,11,Ｌダニｰボｰイ, 55,丸山元, 2.4, 52,* -3, -12,15,130.9,⑤④③,11, 4, レンディル,,五十嵐,211.0,,,, 5, 15.8,⑤⑨⑩,11, 2,Ｆニシノサンタロウ, 75,柴田善, 1.2, 68,   2,   3, 8, 20.8, ⑩⑭,11,13,Ｌタイセイスティング, 69,横山典, 1.4, 67,   4,   3,11, 52.7, ⑨⑧
12,12,Ｍシャイニｰパルス, 54,大野拓, 2.7, 50,  -6,  -8,13,117.0,⑨⑪⑭,12, 8, ボストンプラチナ,,草野太,211.7,,,,11, 91.4,⑭⑭⑭,12, 4,Ｃロジサイレンス, 77,後藤浩, 1.5, 64,   6,  -5, 4,  9.1, ⑨⑨,12, 9,Ｍダノンクリエｰタｰ, 66,石橋脩, 1.6, 68,   2,   4,15,130.3, ⑭⑭
13,16,Ｎショウナンカンパク, 54,平野優, 2.8, 51,  -5,  -9,16,180.4,⑫⑬⑫,13, 7, コアレスアルダン,,大江原,212.0,,,,14,142.3,⑫⑫⑫,13, 6,Ｋテルバイク, 67,松岡正, 1.8, 63,   4,  -3,12, 50.6, ⑮⑬,13, 2,Ｐクレバｰデステニｰ, 59,田辺裕, 1.8, 66,   3,   3,12, 69.7, ⑪⑬
14, 6,Ｆボンジュｰルエｰル, 60,三浦皇, 2.9, 50,* -3, -14, 5, 11.6,⑧⑧⑧,14, 5, アイティゴｰルド,,高野和,212.9,,,, 9, 24.6,⑬⑬⑬,14,15,Ｌデルマクリシュナ, 67,田中博, 1.8, 61,*  9, -13,11, 49.0, ③③,14,14,Ｋヴェアリアスムｰン, 70,三浦皇, 1.9, 66,   5,  -2,10, 48.8, ⑧⑨
15, 8,Ｏタイセイデステニｰ, 52,横山典, 3.2, 47,  -5, -14, 9, 30.9,⑪⑨⑩,,,,,,,,,,,,,15, 5,Ｐホウショウキング, 45,丸山元, 3.3, 53,   0, -11,15,212.0, ⑧⑮,15,11,Ｏシェアｰスマイル, 62,丸山元, 2.1, 65,   1,   2,16,130.9, ⑯⑯
16, 9,Ｉトｰセンオウジ, 58,田中博, 3.4, 47,  -6, -11,12, 99.7,⑭⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｎジョウノバッカス, 65,小牧太, 3.0, 58,   5, -11, 6, 12.1, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,
"単勝:280円 複勝:02=150円 15=190円 07=2,250円 枠連:640円",,,,,,,,,,,,"単勝:730円 複勝:14=310円 09=4,780円 03=230円 枠連:11,390円",,,,,,,,,,,,"単勝:1,590円 複勝:10=370円 13=210円 14=200円 枠連:370円",,,,,,,,,,,,"単勝:250円 複勝:06=150円 15=570円 04=410円 枠連:1,030円",,,,,,,,,,,
