12年 4月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3100m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1600m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｱｼｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄアポロパレス, 58,北村宏,, 74,*  7,   0, 5, 24.0, ①①, 1, 9, ルｰルプロスパｰ,,白浜雄,,,,, 1,  1.9,②①①, 1, 6,Ｂハイクラウン, 74,内田博,, 80, -11,* 18, 1,  2.2, ④③, 1,12,Ｂナムラタイタン, 95,太宰啓,, 90,* 13,* 15, 3,  5.8, ③③
 2,15,Ｂサウンドレｰサｰ, 64,福永祐, 0.2, 72,   1,*  5, 1,  1.8, ⑤⑤, 2, 3, ハクサン,,石神深,209.2,,,, 5, 14.3,③④④, 2, 3,Ｈダイワフェリス, 59,北村友, 0.0, 77,* -8,* 14, 6, 24.1, ①①, 2, 6,Ｅスタッドジェルラン, 92,北村友, 0.6, 88,* 13,  12, 6, 10.6, ⑤⑤
 3, 8,Ｃサクシナイト, 61,横山典, 1.0, 64,   1,  -2, 2,  2.8, ④④, 3, 1, パゴダ,,高野和,209.4,,,,13, 90.0,④②②, 3, 9,Ｃタツストロング, 70,安藤勝, 0.6, 71, -12,  11, 3,  5.5, ③④, 3,15,Ｉアドマイヤロイヤル, 89,高倉稜, 0.6, 87,  10,* 15, 5,  8.4, ⑨⑨
 4, 5,Ｆヘアｰオブザドッグ, 56,内田博, 1.0, 62,  -9,* 11, 3,  7.1, ⑯⑯, 4,10, ボストンプラチナ,,草野太,210.0,,,, 9, 30.4,⑫⑪⑫, 4, 7,Ａアンアヴェンジド, 76,横山典, 0.8, 68, -13,   9, 2,  4.0, ⑤⑤, 4, 8,Ｇゴｰルデンチケット, 91,横山典, 0.6, 86,   8,* 19, 7, 16.8, ⑭⑬
 5, 1,Ａコスモイズモ, 64,三浦皇, 1.6, 58,  -3,  -1, 6, 24.5, ⑨⑨, 5, 7, アイティゴｰルド,,平沢健,210.3,,,,12, 84.8,⑥⑥⑥, 5, 2,Ｄカフェコンセｰル, 69,田中勝, 1.1, 65, -15,   8, 4,  5.6, ⑨⑨, 5, 3,Ａバｰディバｰディ, 96,三浦皇, 0.6, 87,  10,* 15, 1,  3.7, ⑦⑦
 6, 2,Ｈジャンピングタワｰ, 53,山崎亮, 1.9, 55,  -7,   1,10,169.8, ⑭⑬, 6, 2, アラタマポケット,,難波剛,210.4,,,, 7, 20.2,⑨⑧⑨, 6,10,Ｆグッドスタｰ, 65,本橋孝, 1.2, 64, -14,   5, 8, 34.3, ⑥⑦, 6,13,Ｄエｰシンウェズン, 92,内田博, 1.0, 84,  11,  11, 4,  6.5, ⑧⑧
 7, 6,Ｇエンゼルアｰチスト, 55,田中勝, 2.0, 54,  -5,  -2, 7, 38.8, ⑫⑪, 7,13, メジロサンノウ,,大江原,210.5,,,, 3, 10.9,⑦⑦⑦, 7, 4,Ｅアドマイヤリリｰフ, 65,北村宏, 1.3, 65, -16,   8, 5, 14.9, ⑩⑩, 7, 2,Ｈヒラボクワイルド, 91,藤岡佑, 1.1, 85,   9,  13, 8, 18.7, ⑩⑪
 8, 7,Ｉヒミノオオワシ, 53,太宰啓, 2.5, 50,  -7,  -5, 9,107.5, ⑮⑭, 8, 5, サｰストンムｰン,,江田勇,210.9,,,,11, 72.8,⑧⑨⑧, 8, 8,Ｇカシノアポロン, 63,杉原誠, 1.5, 57, -11,  -5, 7, 31.4, ②②, 8, 4,Ｆナニハトモアレ, 92,北村宏, 1.1, 83,   8,  14,10, 28.7, ⑫⑩
