12年 7月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知床特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａアメｰジングムｰン, 65,四位洋,, 60,* -4,*  0, 1,  1.3, ②②, 1, 9,Ｉマヤノオントロジｰ, 53,柴山雄,, 62,  -5,* 10, 6, 15.8,⑧⑧⑨, 1, 7,Ａロイヤルインパクト, 76,秋山真,, 69,*  7,   5, 1,  2.1,⑦②①, 1,10,Ｊニシノボレロ, 64,藤田伸,, 79,*  6,* 14, 3,  6.2,④④③
 2, 8,Ｂクリノタカラチャン, 57,三浦皇, 0.2, 58,  -6,*  1, 4, 18.0, ⑤⑤, 2,11,Ｂマウントゼンノエ, 64,丸田恭, 0.3, 61,  -6,* 10, 3,  5.3,⑪⑩⑧, 2,10,Ｄラヴフェアリｰ, 74,川島信, 0.0, 72,   2,* 14, 7, 18.4,⑫⑪⑧, 2, 6,Ａマイネルマｰク, 77,三浦皇, 0.0, 80,*  6,* 14, 2,  4.9,③③②
 3, 6,Ｃティンホイッスル, 56,柴山雄, 0.6, 51,  -5,  -6, 2,  6.1, ③③, 3,10,Ａダッシュファイアｰ, 66,三浦皇, 0.5, 57,  -5,   3, 1,  2.9,⑥⑥⑤, 3, 9,Ｉオンザスロｰン, 65,柴山雄, 1.0, 63,   1,   7,10,111.6,⑪⑩⑩, 3,15,Ｄロｰドエフォｰル, 71,柴山雄, 0.2, 79,   2,* 19, 8, 16.5,⑮⑪⑨
 4, 1,Ｄマジカルビアンカ, 51,藤田伸, 0.6, 52,* -2,  -9, 3,  9.3, ①①, 4, 5,Ｌマイネマキアｰジュ, 48,伊藤工, 0.6, 58,* -2,   0, 8, 37.0,②②②, 4, 6,Ｃシンワウォッカ, 74,菱田裕, 1.1, 62,   2,   3, 2,  4.4,⑨⑨⑥, 4, 3,Ｌプレミアムタイム, 63,横山典, 0.3, 76,   4,  12, 7, 12.2,⑤⑤④
 5, 3,Ｅマイネジュリエッタ, 48,丹内祐, 0.7, 51, -12,  -1, 6, 29.2, ⑧⑧, 5, 3,Ｃデルマボサツ, 63,吉田隼, 0.8, 54,  -3,   0, 4,  7.8,④④④, 5, 2,Ｈニシノテキｰラ, 66,丸山元, 1.1, 63,   5,  -1, 9, 47.1,④③④, 5, 8,Ｈスマｰトリバティｰ, 68,古川吉, 0.6, 75,   3,  11, 4,  8.8,⑩⑨⑤
 6, 5,Ｇスタｰボウ, 38,藤岡佑, 0.8, 49,  -8,  -6, 9,134.3, ⑥⑥, 6, 6,Ｈポケットピｰス, 53,川島信, 1.0, 55,* -2,  -3,11, 98.1,③③③, 6, 3,Ｆサトノティアラ, 67,藤田伸, 1.2, 63,   5,  -2, 6, 17.8,③④②, 6, 1,Ｅテラノコブラ, 70,丸田恭, 0.7, 72,   3,  11,11, 50.1,⑧⑧⑦
 7, 2,Ｆエキゾチックロｰズ, 40,吉田隼, 0.9, 47,  -9,  -6, 5, 21.4, ⑦⑦, 7,12,Ｅクレバｰブレｰド, 61,丹内祐, 1.4, 53,  -4,  -4, 7, 21.1,⑨⑦⑥, 7, 5,Ｇシルクシンフォニｰ, 66,吉田隼, 1.6, 56,   4,  -4, 8, 26.4,⑥⑦⑤, 7, 2,Ｃアルジェンタム, 73,吉田隼, 0.8, 71,   3,   6, 1,  3.4,⑥⑦⑩
 8, 4,Ｉケイツｰネイト, 29,川島信, 0.9, 51,  -6,  -8, 8,120.3, ④④, 8, 8,Ｆディアカメリア, 53,丸山元, 1.4, 56,  -6,   0,12,227.2,⑦⑨⑩, 8, 8,Ｅアプレレクｰル, 72,藤岡佑, 1.8, 58,   5,  -6, 3,  6.7,⑤⑤③, 8,12,Ｆヴァｰチュスタｰ, 70,藤岡佑, 1.1, 67,*  8,  -9, 5,  9.3,①①①
 9, 9,Ｈマイネシャッツ, 32,津村明, 3.1, 20, -11, -31, 7, 77.6, ⑨⑨, 9, 1,Ｇキタノハヤブサ, 53,五十嵐, 1.4, 53,  -7,   1, 9, 43.1,⑩⑫⑪, 9,11,Ｋソロデビュｰ, 61,上村洋, 1.9, 57,   1,  -1,12,174.4,⑬⑬⑪, 9,13,Ｍロッセ, 62,秋山真, 1.1, 71,   0,  10,15,135.0,⑬⑬⑬
,,,,,,,,,,,,10, 4,Ｊガｰンディｰヴァ, 52,黛弘人, 1.5, 49,* -2,  -9,10, 71.0,①①①,10,12,Ｍフュｰジョン, 51,荻野琢, 1.9, 58,   1,  -1,13,230.1,⑩⑫⑫,10, 7,Ｉマイネルハｰシェル, 64,丹内祐, 1.2, 70,   1,   6, 9, 30.3,⑨⑫⑪
,,,,,,,,,,,,11, 7,Ｄアメイズリｰ, 61,菱田裕, 1.9, 48,  -5,  -8, 5, 14.2,⑤⑤⑦,11, 1,Ｊマｰメイドティアラ, 63,宮崎北, 2.3, 54,   3,  -7, 5, 14.8,⑧⑧⑨,11, 5,Ｂアンサンブル, 74,荻野琢, 1.3, 68,  -1,  11,14, 96.9,⑭⑮⑮
,,,,,,,,,,,,12, 2,Ｋモジュラｰフォｰム, 50,横山典, 3.2, 39,  -7, -15, 2,  3.0,⑫⑪⑫,12,13,Ｂアポロパレス, 75,菅原隆, 4.3, 40,   4, -27, 4,  7.7,②⑥⑬,12, 4,Ｇフロｰリストライフ, 68,黛弘人, 1.4, 65,   4,  -3,12, 50.3,⑦⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｌタマモチャチャチャ, 53,横山和, 6.0, 29,*  8, -49,11,124.1,①①⑦,13,11,Ｋオｰルヴォアｰル, 63,五十嵐, 1.6, 65,  -1,   5,13, 70.5,⑪⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｏファルスタｰ, 42,四位洋, 2.3, 57,   1, -11, 6,  9.4,⑫⑩⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｎヴァンガｰド, 53,丸山元, 4.7, 37,*  5, -55,10, 34.5,②②⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
