12年12月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山大障害,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄショウナンダイラ, 57,蛯名正,, 60,* -2,* -3, 2,  3.6,①①①, 1,10,Ｂカフェリュウジン, 61,ムｰア,, 46,   2, -14, 2,  3.4,④⑤④, 1, 7,Ａナムラグｰテン, 78,横山典,, 76,  12,*  7, 1,  4.0,⑦⑧⑧, 1, 5, マｰベラスカイザｰ,,熊沢重,,,,, 3,  9.5,③③②
 2, 3,Ｏダノンアイガｰ, 37,田辺裕, 0.6, 55,* -3,  -6, 8, 23.3,③②②, 2, 2,Ａダイワフォｰス, 62,北村宏, 0.2, 45,   1, -15, 1,  3.0,⑥⑥⑦, 2, 6,Ｄタケルハヤテ, 72,ムｰア, 0.0, 79,  12,*  8, 8, 17.2,⑪⑨⑦, 2,14, バアゼルリバｰ,,小坂忠,289.3,,,, 2,  6.1,⑦⑤④
 3,10,Ｃモルダバイト, 57,内田博, 0.6, 55,* -3,  -6, 1,  3.5,④④③, 3, 7,Ｅエアセノｰテ, 45,内田博, 0.2, 45,  -2, -11, 5, 11.5,⑦⑧⑨, 3,10,Ｃセンキ, 74,松岡正, 0.1, 77,  13,   3, 2,  4.1,⑥④③, 3, 9, マジェスティバイオ,,山本康,289.4,,,, 1,  1.4,⑧⑦⑥
 4, 8,Ａレオアクシス, 63,江田照, 1.5, 50,  -7,  -8, 3,  6.0,⑮⑩⑦, 4, 3,Ｐエイデンヒｰロｰ, 29,大野拓, 0.4, 43, -10,*  0, 9, 30.4,⑯⑯⑮, 4,16,Ｈミヤビエスペランサ, 69,田中勝, 0.3, 74,  12,   2, 9, 26.3,⑨⑦⑤, 4, 3, スプリングゲント,,白浜雄,289.8,,,, 7, 43.2,②①①
 5, 9,Ｂトキメキボｰイ, 59,北村宏, 1.6, 49,  -4, -12, 6, 14.4,⑪⑤④, 5, 5,Ｆシンボリパソドブレ, 45,柴田善, 0.4, 43,  -6,* -5,10, 30.7,⑮⑭⑭, 5,14,Ｅシベリアンファクト, 72,丸山元, 0.7, 75,   8,*  8, 7, 17.2,⑭⑭⑫, 5,12, アグネスラナップ,,北沢伸,289.8,,,, 4, 17.8,⑩⑩⑩
 6,11,Ｆマグネイト, 53,柴田善, 2.1, 46,  -6, -14, 4,  6.9,⑨⑦⑤, 6,11,Ｏジプシｰスウィング, 31,蛯名正, 0.5, 41,   0, -18, 4,  7.6,⑧⑦⑤, 6, 9,Ｆデルマエビス, 72,石橋脩, 0.8, 74,  11,   3, 6, 10.9,⑬⑬⑪, 6, 1, トウシンボルト,,中村将,290.1,,,, 8, 46.9,④④⑤
 7,13,Ｐポッドスタｰ,-136,嶋田純, 2.1, 47, -12,* -3,14,139.9,⑯⑮⑬, 7,16,Ｄデンカノホウトウ, 45,田中博, 0.5, 41,*  4, -25, 8, 27.2,⑤③③, 7,11,Ｂケイジｰシオン, 75,丸田恭, 1.1, 70,  11,  -1, 3,  6.1,⑩⑩⑩, 7,16, トｰセンオｰパス,,江田勇,290.3,,,, 6, 38.2,⑨⑨⑧
 8, 7,Ｉギンザマｰシャル, 50,三浦皇, 2.3, 44,  -7, -14, 7, 16.4,⑬⑨⑧, 8,14,Ｉアムｰルバニヤン, 38,丸田恭, 0.8, 37,  -1, -19,13,132.5,⑫⑨⑩, 8, 1,Ｍゴｰルドゲッタｰ, 60,木幡初, 1.9, 64,* 15, -15,14, 94.3,①①①, 8, 8, メルシｰエイタイム,,横山義,290.6,,,, 5, 20.6,⑤⑥⑦
