12年 7月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■10R  ダ1700m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羊蹄山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａレギス, 57,丸田恭,, 56,   7,  -3, 2,  2.9, ②②, 1,13,Ａメイショウヤギュウ, 66,菱田裕,, 69,*  7,* -2, 4, 13.5,②②②, 1, 6,Ｆアドマイヤパｰシア, 73,丸山元,, 82,*  8,   3, 6, 12.4,①①①, 1, 9,Ｅホクセツダンス, 77,池添謙,, 78,  10,   6, 1,  3.3,⑤⑤③
 2, 4,Ｃパッション, 53,三浦皇, 0.3, 53,   4,  -2, 1,  2.2, ④③, 2, 4,Ｄクニコチャン, 61,宮崎北, 1.0, 61,*  6,  -9, 2,  6.4,④③③, 2, 5,Ａアクアブルｰフライ, 78,勝浦正, 1.7, 84,  -4,* 21, 1,  3.0,⑦⑤⑤, 2, 2,Ｄマンボダンサｰ, 78,長谷川, 0.3, 81,   6,* 10, 4,  6.2,⑩⑩⑩
 3, 2,Ｆラピスブラオ, 44,宮崎北, 0.3, 50,  -1,*  2,10, 54.6, ⑥⑥, 3, 1,Ｂランフォｰライフ, 65,荻野琢, 1.2, 62,   1,* -2, 1,  1.7,⑧⑦⑤, 3, 1,Ｄウイニングサルｰト, 75,藤田伸, 1.9, 78,  -2,  13, 5,  8.7,②②②, 3,12,Ｆヤマノサファイア, 76,丸山元, 0.9, 74,   8,   2, 5, 13.0,⑨⑦⑦
 4, 1,Ｇヒュウガミズキ, 43,横山典, 0.5, 53,* 10,  -9, 3,  7.7, ①①, 4,10,Ｃダイコクイモン, 63,丸田恭, 1.4, 57,*  7, -14, 3,  6.4,①①①, 4, 3,Ｉロッセ, 68,秋山真, 2.1, 81,  -3,  17, 9, 48.1,④⑥⑥, 4,13,Ｈキタサンハナミチ, 75,木幡初, 1.0, 72,   5,   6,11, 79.3,⑪⑫⑬
 5, 9,Ｅソウキュウ, 44,蛯名正, 1.2, 40, -20,*  5, 6, 16.8, ⑪⑪, 5, 3,Ｅケイエスファントム, 60,藤岡佑, 2.0, 57,  -1,  -5, 6, 16.3,⑪⑫⑦, 5, 7,Ｂクリノメダリスト, 76,柴山雄, 2.2, 77,  -2,  12, 3,  6.6,⑤④④, 5, 8,Ｉコスモイｰチタイム, 75,柴田大, 1.0, 71,   7,   3, 7, 19.7,⑧⑨⑧
 6, 5,Ｄスピリットレイク, 44,四位洋, 1.3, 43,   3, -12, 5, 11.7, ⑤⑤, 6,11,Ｍメイショウアマクサ, 47,秋山真, 2.4, 52,   4, -16,10, 50.1,⑥⑤④, 6,11,Ｃガッテンキャンパス, 75,横山和, 2.2, 83,  -6,* 23, 8, 30.8,⑧⑧⑧, 6, 5,Ｂルロワ, 80,三浦皇, 1.0, 71,   9,   0, 6, 14.3,⑥⑥⑥
 7,10,Ｊディアアスペン, 39,藤岡佑, 1.5, 36, -12,  -3, 8, 46.4, ⑩⑧, 7, 5,Ｌハナゾノ, 52,池添謙, 2.4, 53,   2, -13, 9, 32.9,⑦⑧⑥, 7, 9,Ｇアルジェンタム, 73,三浦皇, 2.3, 75,  -2,   9, 2,  3.1,③③③, 7, 7,Ｋサンレイハスラｰ, 74,伊藤工, 1.1, 71,   4,*  7,13,229.6,⑫⑬⑪
 8, 3,Ｋファンタスキｰ, 25,黛弘人, 2.3, 27, -12, -11,11,217.3, ⑧⑩, 8, 7,Ｉボルドレ, 54,三浦皇, 3.4, 46,   0, -18, 8, 31.3,⑨⑨⑫, 8, 4,Ｈアテンボｰイ, 71,木幡初, 2.6, 74,  -5,  12, 7, 27.3,⑥⑦⑦, 8, 1,Ｌホワイトショウフク, 72,古川吉, 1.1, 72,   6,   4,12,204.4,⑬⑪⑫
