12年 7月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月 7日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賢島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａクラウンビション, 51,酒井学,, 42,* -1, -11, 2,  3.6, ①①, 1, 5, レｰガン,,黒岩悠,,,,, 3,  4.9,①①①, 1,16, フィエロ,---,浜中俊,, 66,  -3,*  8, 4,  8.7,⑨⑩⑩, 1,10,Ｅウインドジャズ, 78,渡辺薫,, 84,   7,* 24, 9, 26.2, ⑬⑬
 2, 5,Ｃシゲルホウオウザ, 48,松山弘, 0.3, 35,  -8,* -9, 3,  9.3, ⑦⑦, 2, 9, メイショウルシェロ,,今村康,204.1,,,, 2,  4.0,②②②, 2, 1,Ｃロｰドガルｰダ, 63,小牧太, 0.0, 67,   0,*  3, 1,  1.7,⑤⑤⑤, 2,15,Ｃデンコウジュピタｰ, 82,武豊  , 0.0, 84,   5,* 26, 4,  6.9, ⑯⑮
 3, 6,Ｇシゲルワシザ, 32,国分恭, 0.5, 33,  -5, -14, 6, 46.9, ⑥⑤, 3, 2, フレッドバロｰズ,,林満明,204.3,,,, 6, 14.6,③④④, 3, 9,Ｇレイズワｰク, 59,佐藤哲, 0.2, 63,*  3,  -5, 7, 40.2,③②③, 3,17,Ｈゴｰルデンムｰン, 75,浜中俊, 0.1, 82,   9,* 20, 1,  2.7, ⑩⑪
 4, 1,Ｅカシノパシオン, 35,渡辺薫, 0.8, 30,  -4, -19, 8, 60.5, ⑤④, 4, 3, ドラゴンハンタｰ,,五十嵐,205.2,,,, 1,  2.9,⑥⑤⑤, 4,14,Ｅバルダメンテ, 61,松山弘, 0.5, 58,*  1,  -7, 6, 15.5,④④④, 4, 9,Ａタツミリュウ, 83,高倉稜, 0.5, 77,  11,  11, 2,  5.7, ⑦⑦
 5, 3,Ｈテワヒポウナム, 13,高倉稜, 1.0, 27, -12, -14, 7, 53.8, ⑧⑧, 5,10, グロｰバルチャｰジ,,北沢伸,205.6,,,, 4,  6.7,④③③, 5, 4,Ｆナリタプリムロｰズ, 60,太宰啓, 0.6, 59,  -2,   0,12,232.8,⑧⑧⑧, 5,13,Ｇタマモコントラバス, 76,松山弘, 0.6, 76,* 15,   6, 6, 14.6, ③⑤
 6, 4,Ｂカノヤベンチャｰ, 50,和田竜, 1.1, 27,* -3, -24, 1,  1.4, ②②, 6, 6, リスキｰプラン,,田村太,208.7,,,,10, 62.0,⑧⑧⑧, 6, 7,Ｂワタシマッテルワ, 64,北村友, 0.6, 59,  -1,  -3, 3,  7.5,⑦⑦⑦, 6,14,Ｑマルモセｰラ, 68,北村友, 0.7, 74,* 16,   2, 5, 11.1, ②②
 7, 7,Ｄクｰルナミ, 39,国分優, 1.3, 26,  -5, -23, 4, 24.8, ③⑥, 7, 4, キンショｰオトヒメ,,森一馬,208.9,,,, 7, 27.8,⑨⑥⑥, 7,10,Ｊキャニオンリンダ, 54,酒井学, 0.9, 56,  -2,  -5, 9, 72.4,⑩⑨⑨, 7, 2,Ｍサクラベル, 72,佐藤哲, 0.9, 74,  10,   9,10, 34.9, ⑨⑧
 8, 8,Ｆサンマルマズル, 34,幸英明, 1.7, 20,* -3, -32, 5, 43.7, ④③, 8, 7, テンシノマズル,,中村将,210.1,,,, 5,  6.8,⑤⑦⑦, 8, 2,Ｈサンライズマハティ, 57,藤懸貴, 1.0, 55,  -4,  -4, 8, 67.0,⑫⑫⑫, 8, 8,Ｄハンタｰワディ, 81,酒井学, 1.0, 72,   6,  13, 7, 16.6, ⑭⑭
