12年11月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,2012ﾌﾟﾛﾐﾈﾝﾄ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａサルバドｰルハクイ, 69,松岡正,, 64,  -3,*  5, 1,  2.0, ⑤⑥, 1,10, カミノタサハラ,---,蛯名正,, 66, -19,* 15, 2,  3.8,⑥⑥④, 1, 1,Ｄロゴタイプ, 64,デムｰ,, 75,   1,*  7, 4,  5.6, ③④, 1, 8,Ｃサトノパンサｰ, 85,パｰト,, 90,  13,* 11, 6,  9.8,⑥⑦⑧
 2, 4,Ｇナムラビジン, 50,横山典, 0.0, 64,  -4,*  6, 9, 33.4, ⑥⑦, 2, 2, ロンギングゴｰルド,---,デムｰ, 0.3, 64, -20,* 16, 3,  4.1,⑩⑩⑩, 2,16,Ｌマンボネフュｰ, 52,蛯名正, 0.2, 76,   0,*  9, 5,  8.7, ⑧⑧, 2, 2,Ａノｰステア, 89,池添謙, 0.0, 88,  14,   7, 4,  8.3,⑤⑤⑤
 3,11,Ｈタｰゲットゾｰン, 50,ルメｰ, 0.5, 60,  -3,   0, 8, 30.8, ⑧⑤, 3, 1, フルグラン,---,スミヨ, 0.6, 57,*-18,   4, 1,  3.1,①①①, 3, 8,Ｋユキノユウダン, 55,江田照, 0.9, 67,   1,  -2,16,199.5, ⑦⑥, 3,13,Ｆヴィクトリｰスタｰ, 83,スミヨ, 0.3, 87,  11,*  9, 1,  3.5,⑨⑨⑩
 4, 7,Ｅドラゴンビュｰティ, 54,武士沢, 0.7, 60,  -9,*  6, 6, 25.8, ⑬⑬, 4, 8, ゼンノゼフィロス,---,武豊  , 1.0, 54, -19,   2, 4,  5.7,⑧⑤⑥, 4, 7,Ｆレッドジャイヴ, 58,ルメｰ, 0.9, 68,  -1,   0, 1,  3.1, ⑩⑨, 4, 5,Ｂアドマイヤブルｰ, 89,柴田善, 0.3, 86,  12,   5, 2,  3.8,⑧⑧⑦
 5,10,Ｄウインプロスパｰ, 55,ムｰア, 0.7, 59,* -2,  -4, 2,  3.3, ③③, 5, 6, エクスブルグ,---,ビュイ, 1.1, 51,*-17,  -2, 9, 40.0,②②②, 5, 3,Ｇメイショウオオゼキ, 58,池添謙, 1.1, 65,  -4,   1, 2,  5.0, ⑪⑫, 5, 3,Ｄツルミプラチナム, 85,デムｰ, 0.4, 85,  11,* 10, 3,  6.9,⑬⑭⑭
 6, 5,Ｌトゥユアハｰト, 45,田中勝, 0.8, 58,*  0,  -6,12,103.8, ①①, 6, 5, タイセイゴディス,---,柴田善, 1.2, 53, -20,   2, 5, 12.9,⑦⑧⑨, 6,10,Ａタイセイドリｰム, 68,石橋脩, 1.1, 64,*  3, -11, 3,  5.5, ④③, 6, 7,Ｇピュアブリｰゼ, 83,内田博, 0.5, 82,* 17,  -8, 7, 19.3,①①①
 7, 3,Ｆトｰセンハクオウ, 54,吉田豊, 1.2, 54,* -2,  -8, 4, 10.9, ②②, 7, 3, ラルゴスパｰダ,---,ムｰア, 1.3, 50, -19,  -2, 6, 18.9,③③⑤, 7,13,Ｃガチバトル, 65,田中勝, 1.1, 66,  -4,   2, 8, 21.0, ⑮⑬, 7, 6,Ｍヤマニンシャスｰル, 78,浜中俊, 0.6, 83,  11,   4,14,106.7,⑪⑪⑨
 8, 2,Ｃトキメキボｰイ, 57,北村宏, 1.2, 56, -11,*  5, 5, 21.6, ⑮⑯, 8, 9, ダテノソコヂカラ,---,田中勝, 1.5, 46, -19,  -7, 8, 38.9,④④③, 8,14,Ｎノｰブルジュピタ, 50,吉田豊, 1.3, 64,  -5,   2,12, 93.3, ⑭⑭, 8, 1,Ｅトウカイオｰロラ, 84,ムルタ, 0.6, 81,* 15,  -6, 5,  8.5,④③③
 9,15,Ｂカミナリコゾウ, 59,三浦皇, 1.5, 53,  -6,  -5, 3,  8.5, ⑪⑧, 9, 7, ウイントレジャｰ,---,大野拓, 1.9, 42, -22,  -7,11,101.4,⑤⑦⑧, 9, 9,Ｐリュウツバメ, 46,パｰト, 1.4, 59,*  4, -18,14,131.9, ①①, 9, 4,Ｈエナｰジバイオ, 81,シュタ, 0.7, 84,  10,   7,13, 85.6,⑭⑬⑫
10,16,Ｊジェネスヘイロｰ, 46,石橋脩, 1.7, 52, -10,  -1,13,140.2, ⑯⑮,10,11, レッドヘリオス,---,吉田豊, 3.1, 28, -22, -21, 7, 26.0,⑨⑨⑪,10, 5,Ｂアポロオラクル, 65,北村宏, 1.4, 62,  -1,  -7, 7, 20.3, ⑫⑩,10,14,Ｊメイショウジンム, 79,ムｰア, 0.8, 83,  10,   6,11, 39.1,⑫⑫⑬
11,12,Ｉディアバイブル, 50,蛯名正, 1.7, 51,  -8,  -5, 7, 30.1, ⑩⑨,11, 4, カズチョウサン,---,内田博, 5.6, -6, -19, -65,10, 55.1,⑪⑪⑦,11, 2,Ｈパッション, 57,ウィリ, 1.5, 57,*  4, -17, 9, 31.8, ②②,11,12,Ｎエスピナアスｰル, 75,ウィリ, 0.9, 77,* 15,  -9, 8, 28.0,③④④
12, 6,Ｎパトロクロス, 43,柴山雄, 2.5, 45, -10,  -8,15,241.1, ⑫⑭,,,,,,,,,,,,,12,12,Ｅハニｰムｰナｰ, 61,横山典, 1.6, 62, -12,*  9, 6, 16.7, ⑯⑯,12,11,Ｋアロマカフェ, 79,蛯名正, 1.7, 71,  11, -12,12, 42.7,⑦⑩⑪
13, 8,Ｋマイネルヴェルディ, 46,柴田大, 2.9, 42,  -9, -14,14,152.4, ⑨⑪,,,,,,,,,,,,,13, 4,Ｉマイネルイルミナル, 55,柴田大, 1.6, 60,  -3,  -9,11, 65.4, ⑨⑪,13,15,Ｉチュウワプリンス, 80,ビュイ, 1.9, 71,  15, -19, 9, 32.7,⑩⑥⑥
14, 1,Ｐマジックゲｰム, 33,原田和, 3.1, 40,  -2, -24,10, 63.6, ④④,,,,,,,,,,,,,14, 6,Ｏファンアットコｰト, 49,松岡正, 1.7, 60,   0, -13,13,123.8, ⑥⑦,14,10,Ｏシンボリボルドｰ, 71,山口勲, 1.9, 71,   9,  -6,15,112.1,⑮⑮⑮
15, 9,Ｏカンタベリｰリュウ, 36,木幡初, 4.4, 30,  -9, -27,16,376.3, ⑦⑫,,,,,,,,,,,,,15,11,Ｍニシノレゾネ, 52,勝浦正, 1.8, 56,   2, -19,15,166.2, ⑤⑤,15, 9,Ｌシルクランスロット, 78,岩田康, 2.3, 64,* 17, -33,10, 37.0,②②②
16,13,Ｍラストチャンス, 44,江田照, 4.5, 29,  -8, -29,11, 90.9, ⑭⑩,,,,,,,,,,,,,16,15,Ｊグレイトエンブレム, 55,藤岡佑, 2.0, 57,  -5,  -9,10, 44.5, ⑬⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
