12年 1月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■10R  芝2000m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,寿ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂタマモクララ, 62,浜中俊,, 69,*  1,*  2, 1,  1.8,①①①, 1,10, スイｰトジュエリｰ,---,四位洋,, 63,* -2,   0, 1,  2.0, ④③, 1, 5,Ａベンジャミン, 82,熊沢重,, 79,   6,   6, 9, 28.3,⑦⑦⑤, 1, 2,Ｍスイｰトマトルｰフ, 72,浜中俊,, 80,   6,   4,11, 61.1,③④③
 2,10,Ｊウインミｰティア, 48,藤岡佑, 0.8, 64,  -2,*  2, 3,  7.3,⑨⑨⑥, 2, 2, アンバルブライベン,---,北村友, 0.0, 63,*  1,  -2, 2,  4.8, ①①, 2, 1,Ｂコウエイオトメ, 81,四位洋, 0.0, 81,   4,* 12,10, 28.4,⑭⑬⑬, 2, 4,Ａアナバティック, 86,四位洋, 0.1, 79,   5,*  7, 1,  2.6,⑥⑦⑥
 3, 9,Ｍステラｰフェアリｰ, 40,鮫島良, 1.6, 60,  -1,  -7,15,370.4,⑦⑤③, 3,16, タガノカプリッチョ,---,和田竜, 0.9, 54, -15,*  5, 6, 17.5, ⑫⑪, 3, 6,Ｌヒラボクビクトリｰ, 71,岩田康, 0.2, 76,*  9,  -3,11, 29.3,②②②, 3, 8,Ｅカワキタフウジン, 83,北村友, 0.1, 79,   4,*  9, 5,  9.3,⑨⑨⑩
 4, 2,Ｄクイｰンパワｰ, 58,和田竜, 2.0, 54,*  0, -12, 7, 20.5,③②②, 4, 1, オンジェム,---,勝浦正, 1.1, 53,  -2,  -9, 9, 34.5, ⑤④, 4, 4,Ｆトップサンダｰ, 78,和田竜, 0.3, 76,*  8,  -7, 8, 25.9,①①①, 4, 7,Ｎテイエムクレナイ, 70,古川吉, 0.2, 76,*  9,  -4,14,187.6,①①①
 5,15,Ｇシゲルリンゴ, 51,国分優, 2.3, 53,  -3,  -9,12,218.5,⑪⑪⑦, 5, 7, スジャウムンキン,---,長谷川, 1.2, 52,  -8,  -5,14,152.8, ⑧⑨, 5, 2,Ｃマコトサンパギｰタ, 80,池添謙, 0.4, 76,*  8,  -5, 2,  5.0,③③③, 5,11,Ｂタガノエルシコ, 85,岩田康, 0.3, 78,   4,*  8, 2,  4.8,⑫⑪⑪
 6, 6,Ｅダンツレアリティ, 56,川田将, 2.4, 52,  -4,  -9, 6, 16.6,⑫⑫⑫, 6, 6, エリモマッロｰネ,---,佐藤哲, 1.9, 45,*  0, -18, 7, 25.5, ②②, 6, 7,Ｄコアレスドラｰド, 79,武豊  , 0.4, 76,   6,   1, 3,  5.1,⑩⑧⑧, 6, 6,Ｃエドノヤマト, 84,幸英明, 0.4, 77,   2,*  7, 8, 21.2,⑪⑫⑫
 7, 7,Ｈロングカリス, 49,渡辺薫, 2.7, 50,  -2, -14,14,231.7,⑩⑩⑧, 7,14, レジオンドヌｰル,---,川田将, 1.9, 46,  -8, -11, 5, 16.8, ⑨⑦, 7, 9,Ｅスマッシュスマイル, 78,幸英明, 0.5, 76,   3,*  8, 6, 12.5,⑬⑭⑭, 7, 3,Ｈゴｰルドブライアン, 78,小牧太, 0.6, 76,   3,   6, 9, 35.4,⑬⑬⑬
 8,13,Ｌニコニコマｰク, 42,幸英明, 2.8, 51,  -3, -11,10, 72.1,⑬⑬⑬, 8,12, ラインレベッカ,---,岩田康, 1.9, 46, -12,  -7, 3,  7.5, ⑩⑩, 8,11,Ｈジャニアリシックス, 75,藤田伸, 0.5, 77,   5,   5, 4,  6.1,⑫⑫⑫, 8, 5,Ｄマルカボルト, 83,福永祐, 0.8, 71,   5,  -4, 3,  6.3,④⑥⑦
 9,14,Ｏメッセｰジ, 39,熊沢重, 3.1, 48,  -1, -20,13,229.7,④④④, 9, 8, マサノスペシャル,---,芹沢純, 2.1, 44,  -7, -14, 4, 11.6, ⑦⑧, 9, 8,Ｇタマモグランプリ, 76,浜中俊, 0.5, 77,   8,  -4, 7, 14.6,④⑤④, 9,10,Ｋレジェンドブルｰ, 77,藤岡佑, 0.9, 71,*  8, -13,13, 71.3,②②②
10, 5,Ａパレスメダｰリア, 65,田嶋翔, 3.2, 48,  -6, -10, 5, 13.8,⑯⑮⑮,10,15, アｰクイクシオン,---,浜中俊, 2.3, 43, -29,*  6,11, 40.4, ⑮⑮,10, 3,Ｋカネトシマｰシャル, 74,国分優, 0.6, 74,   6,  -1,13, 74.8,⑨⑩⑨,10, 1,Ｆシルクアｰネスト, 82,池添謙, 0.9, 71,   4,  -2, 6, 13.8,⑧⑩⑨
