12年11月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆダブルファンタジｰ, 46,福永祐,, 60,*  3,* -7, 1,  2.9, ①①, 1,10,Ｃセレブリティモデル, 61,デムｰ,, 62, -10,*  3, 4,  7.1,⑦⑦⑦, 1, 2,Ａキクノフレヴァン, 76,幸英明,, 73,*  6,*  8, 5, 12.5, ③③, 1, 5,Ｄエアソミュｰル, 82,武豊  ,, 93,   0,  21, 1,  2.3,⑤⑤④
 2,13,Ｂアサケゴマ, 58,幸英明, 0.6, 54,   1, -10, 3,  4.9, ③③, 2, 7,Ａクレスコモア, 62,ルメｰ, 0.1, 61,* -9,  -1, 3,  6.1,④④④, 2, 7,Ｅスランジバｰル, 73,福永祐, 0.3, 70,   3,*  8, 1,  3.0, ⑧⑨, 2, 3,Ａメイショウカドマツ, 85,藤岡佑, 0.2, 90,*  2,  15, 4,  7.4,②②②
 3, 3,Ａアルボナンザ, 58,四位洋, 0.9, 52,  -3,* -7, 2,  3.0, ⑧⑪, 3, 1,Ｅオクタｰブユニゾン, 54,藤岡佑, 0.2, 61, -10,  -1, 8, 88.2,⑥⑥⑥, 3,11,Ｏカジキ, 58,ルメｰ, 0.5, 68,   4,   4, 4,  7.4, ④④, 3, 7,Ｈエｰシンミラｰジュ, 80,ルメｰ, 0.2, 92,  -1,* 23, 3,  4.7,⑧⑧⑧
 4, 5,Ｃジュｰヌフルｰル, 53,藤岡佑, 1.3, 49,*  1, -17, 6, 17.7, ②②, 4, 5,Ｇミッキｰサクセス, 48,福永祐, 0.4, 60, -13,*  2, 2,  4.1,⑧⑧⑧, 4, 4,Ｆタオ, 72,佐藤哲, 0.6, 67,   3,   4, 3,  5.8, ⑤⑤, 4,12,Ｋアドマイヤブルｰ, 77,福永祐, 0.3, 89,   0,  17, 2,  4.6,⑥⑥⑥
 5,10,Ｉヒシダイヤ, 43,国分恭, 1.3, 47,  -5,  -9, 7, 26.0, ⑪⑨, 5,11,Ｄラッキｰマンボ, 57,国分恭, 0.5, 54,* -9, -10, 7, 35.1,②②②, 5,15,Ｄメイショウユメゴゼ, 73,武豊  , 0.6, 68,*  7,   1, 2,  4.5, ②②, 5, 6,Ｊタニノエポレット, 78,酒井学, 0.3, 91,  -1,  21, 9, 68.4,⑦⑦⑦
 6, 2,Ｊハヤブサユウサン, 38,秋山真, 1.5, 46,  -2, -14, 9, 68.7, ⑥⑧, 6, 8,Ｆヒルノドンカルロ, 51,藤田伸, 0.5, 58, -12,  -1, 5, 10.9,⑨⑨⑨, 6, 3,Ｋスプリングオスロ, 69,国分恭, 0.7, 66,   3,   4,13, 64.0, ⑦⑦, 6,10,Ｆフミノヤマビコ, 81,国分優, 0.4, 93,  -2,* 24, 7, 27.0,⑫⑫⑫
 7, 8,Ｄクインポルカ, 49,太宰啓, 1.5, 47,   1, -17, 4,  7.7, ④④, 7, 4,Ｂサンマルホｰム, 62,佐藤哲, 0.6, 59, -12,*  1, 1,  1.9,⑪⑩⑪, 7, 8,Ｂナイトレイダｰ, 75,デムｰ, 0.8, 63,  -1,*  7, 8, 22.1, ⑭⑧, 7,11,Ｂトラストワン, 84,デムｰ, 0.4, 89,  -1,  20, 5,  9.5,⑨⑨⑨
 8,12,Ｌマイネラヴァリｰノ, 26,川島信, 1.6, 45,  -8,* -6,13,172.4, ⑬⑫, 8,12,Ｈフレイム, 48,武豊  , 0.7, 51,* -7, -14, 6, 34.4,①①①, 8, 6,Ｃシゲルハンベイ, 74,秋山真, 0.8, 65,  -1,*  7,10, 37.6, ⑬⑮, 8, 9,Ｇセイカプレスト, 80,太宰啓, 0.6, 90,  -2,  22, 8, 67.8,⑪⑩⑩
 9, 1,Ｋサンミッシェル, 37,熊沢重, 1.6, 46,  -4, -12,11,149.3, ⑩⑩, 9, 9,Ｌスタｰリｰワンダｰ, 40,幸英明, 0.8, 53,* -9, -11, 9,103.9,⑤⑤⑤, 9, 5,Ｊゼロワンシンジロｰ, 70,酒井学, 0.8, 67,  -1,*  7, 6, 16.1, ⑫⑭, 9, 2,Ｅタガノキャプテン, 81,国分恭, 0.7, 83,*  2,  10, 6, 21.9,④③⑤
10, 9,Ｅペプチドアメジスト, 47,酒井学, 2.0, 43,  -1, -19,12,155.2, ⑤⑤,10, 6,Ｉティボリハｰモニｰ, 46,国分優, 0.9, 51,* -9, -13,12,393.6,③③③,10,13,Ｍネオエピック, 61,国分優, 0.9, 66,   1,   5,16,333.7, ⑪⑬,10, 4,Ｌドリｰムセｰリング, 72,秋山真, 0.8, 81,*  3,   6,11, 78.2,①①①
11, 6,Ｇクリノアマダブラム, 45,国分優, 2.1, 42,  -2, -18, 8, 29.8, ⑦⑥,11, 2,Ｋマッシヴビクトリｰ, 42,熊沢重, 1.0, 55, -13,  -5,10,109.3,⑫⑪⑩,11, 1,Ｐコロカムイ, 56,小林徹, 0.9, 68,*  9,  -3, 7, 16.6, ①①,11, 1,Ｃエナｰジバイオ, 84,幸英明, 0.8, 84,   1,  10,12,182.2,③④③
12, 7,Ｈミラクルラヴィ, 44,佐藤哲, 2.2, 41,  -3, -19, 5, 15.2, ⑨⑦,12, 3,Ｊマヤノチャクリ, 45,渡辺薫, 3.6, 25, -15, -36,11,189.0,⑩⑫⑫,12,14,Ｌマルカリョウマ, 67,四位洋, 1.1, 63,  -2,   5, 9, 25.8, ⑮⑩,12, 8,Ｉウォｰクラウン, 80,佐藤哲, 0.9, 85,  -1,  15,10, 76.9,⑩⑪⑪
13,11,Ｍポンドゥレｰヴ, 17,水口優, 3.0, 33,  -8, -20,10, 83.6, ⑫⑬,,,,,,,,,,,,,13,12,Ｇサルココッカ, 72,藤田伸, 1.2, 64,   4,  -1,12, 54.4, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｉオリｰブ, 70,太宰啓, 1.8, 57,   1,  -4,11, 46.2, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｎプルｰフポジティブ, 60,森一馬, 2.4, 51,   1,  -9,15,218.6, ⑨⑫,,,,,,,,,,,,
