12年 4月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,橘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃシニスタｰクイｰン, 61,太宰啓,, 61,   2,  -2, 5, 13.1, ⑥④, 1,10, マｰベラスカイザｰ,,小坂忠,,,,, 1,  2.1,⑫⑥④, 1, 5,Ｂネクタル, 76,岩田康,, 74,  11,*  1, 1,  1.4,⑨⑧⑤, 1, 4,Ｃガンジス, 77,藤岡佑,, 81,  10,   2, 1,  3.6, ⑦⑨
 2,15,Ａナムラアピア, 64,小牧太, 0.2, 58, -13,* 10, 1,  1.8, ⑬⑪, 2,14, シゲルジュウヤク,,中村将,216.2,,,, 3,  7.3,①①①, 2, 2,Ｆアルディエス, 72,横山典, 0.3, 72,  10,   0, 2,  7.8,⑦⑦⑥, 2,11,Ｍメジャｰアスリｰト, 64,和田竜, 0.0, 81,  11,   1,11, 29.2, ⑧⑧
 3,10,Ｂサクラルモンド, 62,浜中俊, 0.2, 58,*  6,  -8, 4,  7.5, ②②, 3, 3, カワキタトップ,,金子光,216.5,,,,11,112.8,②②②, 3, 4,Ｇヴォｰグトルネｰド, 70,福永祐, 0.3, 76,   9,*  3, 5, 20.5,⑩⑫⑨, 3,13,Ｊニシノスタイル, 69,小牧太, 0.1, 77,   1,* 13, 9, 25.9, ⑯⑯
 4, 4, ペプチドエメラルド,---,武英智, 0.2, 58,   0,  -2, 9, 51.3, ⑧⑧, 4, 1, クリノテンペスタ,,大江原,216.7,,,, 7, 32.8,⑥⑤③, 4, 1,Ｃコウエイチャンス, 75,内田博, 0.3, 74,   9,*  3, 6, 24.6,⑬⑩⑦, 4, 7,Ｉオコレマルｰナ, 70,福永祐, 0.2, 79,  11,   0, 2,  4.4, ⑨⑦
 5, 1,Ｅツバキ, 57,幸英明, 0.3, 57,   0,  -3, 7, 29.1, ⑦⑦, 5, 9, オンワｰドシェルタ,,難波剛,217.2,,,, 5, 19.8,⑧⑧⑥, 5, 6,Ａハイランドジャガｰ, 77,藤岡康, 0.5, 72,* 12,  -7, 7, 25.5,③③②, 5, 6,Ｆマコトナワラタナ, 73,藤岡康, 0.3, 76,   7,   4, 6, 13.0, ⑬⑭
 6,13, ピラミッド,---,岩田康, 0.3, 56, -15,* 11, 3,  7.3, ⑭⑭, 6, 5, プライドイズハｰト,,山本康,217.3,,,,12,165.9,⑦③⑤, 6, 3,Ｍリアライズナマステ, 49,小牧太, 0.6, 72,* 14,  -9,13,153.2,②①①, 6, 5,Ｐタマラマ, 61,川須栄, 0.4, 74,   5,   4,12, 50.4, ⑭⑬
 7, 5,Ｈステップワイズ, 51,藤岡康, 0.5, 56,  -6,   2, 8, 46.3, ⑩⑩, 7,13, アドマイヤテンクウ,,西谷誠,217.4,,,, 2,  2.8,⑩⑪⑨, 7, 7,Ｊアズマリュウセイ, 67,国分優, 1.5, 65,   9,  -8,10, 68.1,⑪⑪⑧, 7, 3,Ｏヒシワイルド, 63,藤田伸, 0.4, 76,   9,   0,13, 60.9, ⑪⑪
 8, 8,Ｄテイエムキュウベエ, 60,和田竜, 0.8, 53,*  8, -15, 2,  4.8, ①①, 8, 2, ヤマイチコマンド,,黒岩悠,217.9,,,, 8, 36.8,⑤⑦⑧, 8,12,Ｄキクタロウ, 73,川田将, 1.6, 65,  10, -10, 3,  9.5,⑥⑨⑩, 8,10,Ｅファインチョイス, 73,池添謙, 0.5, 76,* 14,  -9, 4,  9.9, ④③
