12年 6月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇシンコｰムｰン, 52,国分恭,, 65,* -2,*  3, 3,  7.5,③③③, 1, 7, ユウｰジラソｰレ,,植野貴,,,,, 4,  7.3,①①①, 1, 8,Ｊカシノインカロｰズ, 69,渡辺薫,, 78,  -8,* 19, 6,  8.3, ⑮⑮, 1,15,Ｆニシオドリｰム, 83,福永祐,, 84,* 10,  12, 2,  2.6, ②②
 2,16, フェアリｰダンス,---,ウィリ, 0.2, 65,* -1,   0, 2,  7.4,②②②, 2, 2, モエレジンダイコ,,高嶋活,201.2,,,, 6, 11.5,②③③, 2, 4,Ｃスイｰトジュエリｰ, 74,和田竜, 0.2, 74,*  7,   3, 2,  5.0, ②②, 2,10,Ｐゴｰイングパワｰ, 69,和田竜, 0.3, 81,* 12,   7,12, 43.4, ①①
 3, 8,Ｂプリティホワイト, 62,武豊  , 0.5, 61,  -4,*  1, 1,  2.0,⑦⑥④, 3, 5, ニホンピロキリバス,,黒岩悠,201.2,,,, 3,  4.8,⑤②②, 3,14,Ｅデンファレ, 73,福永祐, 0.2, 75,   5,   4, 7, 14.4, ⑤⑤, 3,16,Ｈキングオブヘイロｰ, 82,小牧太, 0.4, 80,*  8,  10,11, 40.4, ④③
 4, 3,Ｄドナメジャｰ, 57,浜中俊, 1.1, 58,  -5,  -1, 4,  8.9,⑩⑧⑦, 4, 1, コブラボｰル,,横山義,202.0,,,, 5, 10.1,⑥④④, 4,16,Ｋラベンダｰカラｰ, 69,藤岡康, 0.3, 74,   4,   6,11, 36.3, ⑦⑦, 4, 1,Ｉエｰシンハダル, 80,岩田康, 0.5, 79,  -3,* 20,10, 29.2, ⑫⑩
 5, 5,Ａカシノチャｰム, 62,小坂忠, 1.6, 53,  -5,  -6, 5,  9.4,⑤⑦⑥, 5, 3, スズカマジェスタ,,北沢伸,202.3,,,, 1,  2.3,④⑤⑤, 5,13,Ａワイキキブリｰズ, 76,藤懸貴, 0.3, 71,*  6,   3, 5,  8.3, ③③, 5, 3,Ａトｰホウプリンセス, 85,ウィリ, 0.6, 79,   4,  12, 1,  2.5, ⑥⑥
 6,11,Ｌシゲルマスカット, 47,幸英明, 1.7, 54,  -8,   0,12,139.5,⑭⑭⑫, 6,11, ミスタｰロックマン,,江田勇,204.3,,,, 7, 58.9,⑩⑧⑦, 6,11,Ｄブロッケン, 73,川田将, 0.4, 73,   4,   4, 4,  8.0, ⑥⑥, 6, 5,Ｌキョウエイカルラ, 79,鮫島良, 0.7, 78,   7,   8,15,223.3, ③④
 7, 9,Ｆホッコｰピｰチ, 53,飯田祐, 1.7, 52,* -1, -14, 7, 16.3,①①①, 7,12, クリノビッグスカイ,,草野太,204.7,,,,10,111.5,③⑥⑥, 7,10,Ｇダンスインザスカイ, 72,国分恭, 0.5, 71,  -7,* 13,12, 40.8, ⑯⑫, 7,14,Ｍムスタングリｰダｰ, 78,武豊  , 0.7, 78,  -6,* 21,13, 50.2, ⑭⑮
 8, 7,Ｊベラルｰナ, 48,渡辺薫, 2.3, 55,  -6,  -8, 9, 60.8,⑪⑫⑩, 8, 9, ミヤコデラックス,,五十嵐,205.4,,,, 9,109.5,⑦⑦⑧, 8,12,Ｂエｰシンパナギア, 75,岩田康, 0.5, 71,*  9,  -2, 1,  4.8, ①①, 8, 4,Ｂエｰシンポルックス, 85,太宰啓, 0.9, 76,  -4,  17, 4, 15.9, ⑬⑬
