12年 8月25日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月25日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,積丹特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄユキカゼ, 47,吉田隼,, 46,*-11,  -8, 2,  3.9,①①①, 1, 6,Ｄカルブンクルス, 62,勝浦正,, 65,   2,   0, 5, 11.0, ③③, 1, 1,Ｄシニスタｰクイｰン, 72,菱田裕,, 77,*  4,* 13, 4, 13.0,②②②, 1,14,Ｆスマｰトリバティｰ, 75,武幸四,, 77,*  4,  11, 4,  9.4,①①①
 2, 2,Ｆシャトルダンサｰ, 45,丹内祐, 0.0, 49, -13,  -3, 6, 15.0,③③③, 2,10,Ａハクユウリリｰ, 68,吉田隼, 0.1, 65,   5,  -2, 4,  8.6, ②②, 2, 8,Ａパｰルブロッサム, 78,秋山真, 0.0, 78,*  5,* 13, 1,  1.9,①①①, 2, 1,Ａダノンキャスケｰド, 80,三浦皇, 0.1, 79,   1,* 18, 3,  6.1,⑩⑨⑥
 3, 5,Ｇマヤノラムダ, 39,古川吉, 0.1, 48, -16,* -1, 7, 65.4,⑦⑦⑥, 3, 2,Ｊヤワタサイレンス, 49,津村明, 0.1, 66,*  7,  -4, 8, 52.7, ①①, 3, 4,Ｂオｰシュペｰル, 76,吉田隼, 0.3, 76,   1,* 17, 2,  3.0,⑨⑨③, 3, 9,Ｄアドマイヤバラｰド, 79,岩田康, 0.1, 74,*  2,  10, 1,  2.0,③③③
 4, 3,Ｃヴィラダイヤモンド, 49,丸山元, 0.1, 46, -14,  -6, 1,  3.5,⑤⑤⑤, 4, 1,Ｇサクラアクティブ, 55,丸山元, 0.7, 57,  -8,   0, 6, 14.2, ⑦⑥, 4, 7,Ｅシンワウォッカ, 71,岩田康, 1.3, 69,   2,   7, 3,  7.1,⑥⑤⑥, 4, 8,Ｅアルジェンタム, 76,吉田隼, 0.3, 75,*  3,  11, 6, 14.1,⑦⑤④
 5, 1,Ｅドミンゴ, 46,三浦皇, 0.2, 46, -15,  -5, 5,  6.9,⑥⑥⑦, 5, 5,Ｅロｰドパルジファル, 61,三浦皇, 0.9, 54, -13,*  2, 2,  6.5, ⑨⑩, 5, 6,Ｉオンザスロｰン, 66,柴山雄, 1.5, 68,   1,   7, 8, 48.4,⑩⑧⑦, 5, 2,Ｋダノンフェニックス, 65,四位洋, 0.3, 78,   2,* 14, 9, 32.0,⑧⑪⑨
 6, 8,Ａホオポノポノ, 49,津村明, 0.6, 39,*-12, -13, 3,  4.0,②②②, 6,12,Ｂザゲｰムイズオン, 66,岩田康, 1.0, 53,  -7,  -4, 1,  1.6, ⑧⑧, 6, 9,Ｇサンタンジェロ, 68,丸山元, 2.1, 66,  -2,   6, 7, 45.5,⑫⑪⑩, 6, 3,Ｂロッセ, 80,秋山真, 0.4, 75,*  3,   9,10, 61.5,⑪⑥⑤
 7, 6,Ｂリッシュレｰヴ, 49,小林慎, 0.6, 40, -14, -11, 4,  4.5,④④④, 7, 9,Ｉプリンセスカナ, 54,松田大, 1.0, 53,  -4,  -5, 9, 53.7, ⑥⑦, 7, 5,Ｋピュアダイヤモンド, 62,黛弘人, 2.1, 61,   2,  -3,12,136.1,④④④, 7, 6,Ｊヴァｰチュスタｰ, 70,松田大, 0.4, 73,*  4,   5, 7, 23.5,②②②
 8, 4,Ｈレイトライザｰ,-63,荻野琢, 3.6,  9, -26, -30, 8, 80.6,⑧⑧⑧, 8, 7,Ｃバブルジェット, 65,柴山雄, 1.2, 52,   1, -10, 3,  7.6, ⑤④, 8, 3,Ｈホワイトアルバム, 67,小林徹, 2.3, 66,  -1,   1, 9, 62.1,⑧⑩⑪, 8,12,Ｉモネロ, 72,古川吉, 0.5, 75,   0,* 15, 8, 30.5,⑫⑬⑩
