12年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃシゲルサクランボ, 58,村田一,,,,, 7, 48.2,⑫⑪⑩, 1,13,Ａエックスマｰク, 68,福永祐,, 69,  -7,*  8, 1,  1.6,⑨⑧⑨, 1,13,Ｆフェアリｰレイ, 70,藤懸貴,, 82,*  5,* 10,10, 24.2,①①①, 1, 1,Ｃトウカイパラダイス, 85,柴山雄,, 90,  18,* 21, 4, 10.7,④⑦⑥
 2,12,Ｅホシニイノリヲ, 56,平野優, 0.0,,,, 4,  9.0,①①①, 2, 6,Ｂフェデラルホｰル, 67,吉田隼, 0.0, 69,  -8,* 10, 4, 11.0,⑪⑫⑩, 2, 9,Ｇエｰブフウジン, 69,和田竜, 1.3, 71,*  3,  -2, 8, 19.5,④④④, 2, 6,Ｇジェントルマン, 82,浜中俊, 0.0, 90,  19,  17, 3,  6.7,⑤⑤③
 3, 4,Ｇラルシュドｰル, 50,松山弘, 0.0,,,, 2,  2.9,④④④, 3,17,Ｄトウショウバラｰド, 62,吉田豊, 0.1, 61,  -5,   1, 3,  5.5,④④④, 3,16,Ｉコウユｰタイセイ, 69,菅原隆, 1.5, 69,   0,*  2,12, 89.8,⑨⑩⑩, 3,11,Ｅウォｰクラウン, 84,川田将, 0.3, 85,* 20,   9, 8, 32.5,②②②
 4, 2,Ｄステラｰフェアリｰ, 56,国分優, 0.1,,,, 8, 70.1,⑥⑤⑤, 4, 4,Ｃザグレｰス, 65,藤岡佑, 0.4, 70, -10,* 11, 5, 11.1,⑯⑯⑯, 4, 5,Ａスマｰトリバティｰ, 78,武幸四, 1.7, 70,  -2,*  7, 4,  8.2,⑱⑰⑯, 4, 9,Ｂダコｰル, 85,福永祐, 0.5, 86,  18,  16, 1,  2.0,⑧⑧⑧
 5, 6,Ｆカプリッチレット, 54,藤岡佑, 0.4,,,, 6, 35.0,⑧⑥⑥, 5, 8,Ｅレッドプレイヤｰ, 61,浜中俊, 0.7, 59,  -7,  -4, 2,  5.3,⑧⑨⑧, 5, 8,Ｋチャｰリｰポイント, 67,山崎亮, 1.9, 64,*  3, -10,15,156.0,③③③, 5, 2,Ａサトノパンサｰ, 91,和田竜, 0.6, 86,  17,  17, 2,  4.9,⑨⑨⑨
 6, 9,Ａガンセ, 67,大野拓, 0.4,,,, 1,  2.7,⑬⑩⑦, 6, 2,Ｆベルウッドワンキｰ, 60,柴山雄, 0.8, 57,  -7,  -6,12,165.5,⑦⑦⑥, 6,17,Ｂテンペル, 75,福永祐, 2.0, 65,  -1,  -2, 3,  5.2,⑭⑫⑭, 6, 3,Ｆアロマカフェ, 83,武豊  , 0.9, 82,  20,   8, 5, 11.5,③④⑤
 7, 1,Ｂタニセンヴォイス, 64,武豊  , 0.6,,,, 3,  3.5,③③③, 7,12,Ｋヴェルｰテ, 49,藤懸貴, 1.0, 52,* -2, -17,14,206.0,①①①, 7, 3,Ｄゴｰルデングロｰブ, 73,藤岡佑, 2.0, 66,   2,  -9, 1,  3.5,⑧⑦⑥, 7, 4,Ｈゴｰルドブライアン, 78,吉田隼, 1.0, 82,  16,  16,10, 46.6,⑩⑪⑩
 8,11,Ｊハクユウマンボ, 42,水口優, 0.6,,,,12,211.7,⑨⑨⑧, 8,11, メイショウタｰビン,---,池添謙, 1.2, 55,  -9,  -3, 8, 97.2,⑮⑬⑮, 8, 7,Ｍアドマイヤパｰシア, 66,小牧太, 2.0, 64,   0,  -5, 5, 10.2,⑩⑪⑨, 8, 8,Ｄシャイニｰブラウン, 84,藤岡佑, 1.2, 79,  19,   0, 6, 12.7,⑥③④
 9,13,Ｉセカンドペガサス, 48,黛弘人, 1.3,,,, 5, 23.6,②②②, 9, 9,Ｈコスモプランタン, 55,ピンナ, 1.2, 50,  -7, -12, 6, 62.3,⑥⑥⑦, 9,10,Ｌクｰルエレガンス, 66,平野優, 2.1, 62,   1, -11, 2,  4.7,⑦⑧⑦, 9, 7,Ｉブルｰスタｰキング, 76,松山弘, 2.0, 72,  14,   5,11,138.1,⑪⑩⑪
10, 8,Ｋシゲルデリシャス, 36,吉田隼, 1.7,,,,10,148.8,⑩⑫⑪,10,10,Ｍイマジンジョン, 46,西田雄, 1.5, 51,  -8, -10,17,590.7,⑩⑪⑪,10,12,Ｃトｰセンマルス, 74,吉田豊, 2.4, 60,  -2,  -2,11, 30.3,⑯⑯⑰,10,10,Ｊマイネオｰチャｰド, 75,ピンナ, 2.0, 70,  18,  -6, 7, 21.0,⑦⑥⑦
11, 3,Ｈジャイロプレｰン, 50,松田大, 2.5,,,,11,183.3,⑦⑦⑨,11, 3,Ｉウォｰタｰレオ, 53,武幸四, 1.7, 50,  -9, -10,11,157.9,⑭⑮⑭,11,15,Ｊカシマパフュｰム, 69,西田雄, 2.5, 61,   0, -11,17,201.1,⑪⑨⑪,11, 5,Ｋヴィクトリアロｰズ, 70,大野拓, 2.6, 66,* 21, -22, 9, 39.9,①①①
12, 5,Ｍビップパティエンス, 11,田中博, 3.5,,,, 9,148.2,⑪⑬⑬,12, 1,Ｊフリザンテ, 52,武豊  , 2.0, 43,  -6, -24, 7, 85.2,⑤⑤⑤,12, 1,Ｅベストアンサｰ, 71,川田将, 2.5, 61,  -4,  -2, 7, 18.5,⑰⑱⑱,,,,,,,,,,,,
13, 7,Ｌドラベッラ, 34,和田竜,11.3,,,,13,213.7,⑤⑧⑫,13,14,Ｌカｰステンボッシュ, 47,田中博, 2.5, 39,  -8, -24,13,169.6,⑬⑩⑫,13,11,Ｏマヤリッシュ, 62,渡辺薫, 2.7, 58,  -1, -11,16,183.2,⑫⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 7,Ｐメイショウジプシｰ, 35,国分優, 2.8, 39, -10, -21,16,439.1,⑰⑰⑰,14,14,Ｈニシノジャブラニ, 69,松山弘, 2.8, 55,*  3, -21, 6, 14.0,⑤⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,15,15,Ｇボクノタカラモノ, 55,平野優, 2.8, 36,  -5, -37,10,136.5,③③③,15, 2,Ｐノｰティカルスタｰ, 62,浜中俊, 3.7, 49,  -1, -26, 9, 19.7,⑬⑭⑫,,,,,,,,,,,,
,,,,,,,,,,,,16, 5,Ｏアニマｰト, 40,横山和, 3.1, 34,  -9, -30,15,278.7,⑫⑭⑬,16, 4,Ｑクサナギノツルギ, 60,ピンナ, 3.9, 47,  -2, -24,14,146.1,⑮⑮⑮,,,,,,,,,,,,
