12年 7月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾆｾｺ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂアポロカｰネル, 45,津村明,, 56, -12,*  0, 5, 19.5,⑦⑥④, 1, 3,Ｉキクノエクレｰル, 46,川島信,, 69,   0,* 12, 9, 68.2,⑥⑥③, 1,13,Ｂフィｰルザラブ, 75,横山典,, 75,* 12,*  2, 1,  2.8,③②②, 1, 3,Ｂバｰトラムガｰデン, 73,津村明,, 73,*  7,   2, 1,  2.7, ②②
 2, 4,Ｆメイショウアカフジ, 31,勝浦正, 0.1, 54, -10,  -7, 3, 10.4,⑤④⑤, 2, 5,Ｂイッツガナハプン, 63,荻野琢, 0.0, 69,   1,  10, 3,  4.3,④④②, 2,10,Ｄスタｰライラック, 72,藤田伸, 0.2, 76,* 12,* -1, 2,  3.7,①①①, 2, 2,Ｇコマノスクアｰロ, 64,池添謙, 0.0, 75,  -2,* 11, 8, 29.6, ⑩⑪
 3, 6,Ｄモズダイコ, 39,荻野琢, 0.5, 52, -15,* -1, 6, 43.9,⑧⑧⑦, 3, 4,Ｈロｰドギフテッド, 53,池添謙, 1.2, 61,   1,  -1, 4, 15.5,③③⑤, 3, 1,Ｊシニスタｰクイｰン, 66,菱田裕, 0.9, 70,  11,  -4, 7, 22.9,②④④, 3, 8,Ｌブランダムｰル, 62,横山典, 0.1, 73,  -1,   8, 3,  8.1, ⑨⑩
 4, 7,Ａダブルファンタジｰ, 48,秋山真, 0.6, 46,  -8, -19, 1,  1.2,③③③, 4, 8,Ｇヴィンドランダ, 56,黛弘人, 2.2, 54,*  2, -11, 7, 25.6,②②①, 4,12,Ｋネオザスティング, 65,秋山真, 1.1, 70,   9,  -1,10, 28.8,⑦⑧⑩, 4, 1,Ｍセイウンシェンロン, 61,勝浦正, 0.1, 73,   5,   3, 7, 23.6, ⑤④
 5, 5,Ｃトｰセンエジンバラ, 44,丸山元, 0.6, 46,* -7, -20, 4, 18.7,②②②, 5, 9,Ｅキョウワアｰク, 59,津村明, 2.8, 51,   1, -14, 8, 45.7,⑦⑤⑥, 5, 8,Ｈスリｰアルテミス, 67,柴山雄, 1.3, 66,  11,  -7,12, 44.5,⑥⑤⑦, 5,15,Ａユｰルフェスト, 77,上村洋, 0.3, 69,   6,  -1, 2,  2.7, ④⑥
 6, 1,Ｅマイネルヴォル, 38,三浦皇, 0.8, 43,* -7, -24, 2,  7.4,①①①, 6, 6,Ｊピエナエポナ, 42,上野翔, 3.5, 49,  -1, -12,10,202.5,⑨⑧⑦, 6, 4,Ｆマルデデルマ, 69,蛯名正, 1.4, 69,   7,  -1, 6, 21.6,⑬⑫⑨, 6, 4,Ｈアルドワｰズ, 64,藤岡佑, 0.3, 72,   5,   1,13, 58.3, ⑥⑤
 7, 8,Ｇジョｰココロ, 29,古川吉, 0.9, 44,  -9, -18, 7,112.5,⑥⑤⑥, 7,10,Ｄメイショウピッケル, 59,四位洋, 3.7, 48,  -2, -12, 6, 19.0,⑤⑨⑧, 7, 6,Ｉクラヴィコｰド, 66,丸山元, 1.5, 68,  10,  -7,13, 49.6,⑤⑥⑥, 7,12,Ｄヤマニンシバルリｰ, 67,柴山雄, 0.3, 70,  -3,   9,12, 49.2, ⑫⑫
 8, 2,Ｈトｰセンベイビｰ, 17,菅原隆, 1.9, 35, -15, -21, 8,160.1,④⑦⑧, 8, 7,Ａザッツフォエヴァｰ, 66,藤岡佑, 4.1, 45,*  2, -28, 2,  4.2,①①④, 8, 9,Ｃフォｰミｰ, 74,五十嵐, 1.7, 64,* 12, -13, 4,  8.6,④③③, 8,14,Ｆモンサンジュピタｰ, 65,丸山元, 0.3, 70,*  7,  -2,10, 39.5, ③③
