12年 4月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2100m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鎌倉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂモンサンジュピタｰ, 58,丸山元,, 65,*  0,   0, 3,  5.3, ②②, 1,11, ブルｰデザフィｰオ,,大庭和,,,,, 5,  8.2,③③③, 1, 3,Ｅアｰルシネマスタア, 71,内田博,, 78,   1,* 21, 1,  2.9,⑤⑤⑤, 1,14,Ｃガンマｰバｰスト, 86,大庭和,, 86,   6,  19, 3,  6.2, ⑥⑤
 2, 1,Ｃワイルドアイザック, 57,柴田善, 0.3, 63,  -4,*  2, 1,  2.4, ④⑥, 2,14, ジュヌドラゴン,,山本康,208.2,,,, 9, 26.6,②②②, 2, 9,Ｂリキサンヒｰロｰ, 74,江田照, 0.3, 75,*  2,  16, 6, 22.4,④③③, 2,12,Ｆスノｰドラゴン, 83,蛯名正, 0.0, 85,*  8,  16, 2,  4.9, ③③
 3, 8,Ｅフクノサンデｰ, 53,田中勝, 0.3, 62,  -7,*  6, 9, 42.7, ⑩⑨, 3, 9, トｰセンドンファン,,石神深,208.5,,,, 8, 25.7,⑤⑦⑧, 3, 5,Ｉブライトジェム, 68,田中勝, 0.7, 74,   0,* 17, 4,  7.3,⑨⑩⑩, 3,13,Ａサイオン, 87,内田博, 0.2, 84,   4,* 20, 1,  2.6, ⑩⑩
 4, 4,Ａニロティカス, 64,江田照, 0.6, 59,*  2,  -6, 2,  4.9, ①①, 4, 7, スｰパｰティチャｰ,,草野太,208.6,,,, 7, 14.7,⑥⑤⑤, 4,13,Ａテンペル, 77,横山典, 1.0, 73,  -1,  17, 2,  3.5,⑬⑪⑪, 4, 3,Ｇウォｰタｰルルド, 83,柴田善, 0.4, 83,   6,  16, 7, 19.6, ⑤⑥
 5, 5,Ｄクリノハナミチ, 53,大庭和, 0.7, 60,  -2,  -4, 5, 11.8, ③③, 5, 1, クリスマドンナ,,金子光,208.8,,,,10, 57.0,④④④, 5, 4,Ｃテｰオｰダンシング, 73,小林慎, 1.1, 70,   0,  11, 3,  5.1,⑥⑥⑥, 5,15,Ｉトキノエクセレント, 82,三浦皇, 0.5, 83,  -1,* 23, 4,  7.3, ⑯⑯
 6,16,Ｉジュドポｰム, 49,内田博, 0.7, 59,  -5,   0, 4,  8.1, ⑪⑧, 6,13, フェバリットアワｰ,,横山義,208.9,,,, 2,  4.0,①①①, 6,14,Ｇヤマニンティグル, 70,津村明, 1.4, 69,   0,  11,10, 43.5,⑧⑧⑧, 6, 4,Ｋヤマノサファイア, 81,西村太, 0.6, 81,   1,* 20,13, 52.9, ⑭⑬
 7, 9,Ｋパシュｰト, 46,吉田豊, 1.1, 56, -11,*  3, 6, 13.0, ⑭⑭, 7, 6, ドラゴンハンタｰ,,五十嵐,209.2,,,, 1,  3.1,⑧⑨⑨, 7, 6,Ｋカズノタイショウ, 67,丸山元, 1.4, 67,*  2,   4, 7, 30.5,①①①, 7,10,Ｅパワｰスポット, 84,横山典, 0.7, 79,   5,  14, 8, 21.4, ⑧⑦
 8, 6,Ｎリバティｰホｰル, 37,田辺裕, 1.2, 55,  -9,   0,11,102.8, ⑫⑫, 8,10, ファｰトゥム,,小野寺,209.5,,,, 6, 14.1,⑩⑧⑦, 8,12,Ｈガリンペイロ, 70,吉田豊, 1.5, 66,*  2,   4,13,138.6,②②②, 8, 2,Ｈサダムグランジュテ, 83,江田照, 0.9, 77,*  9,   8,10, 32.3, ②②
