12年12月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,元町ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｋロｰドクルセイダｰ, 44,四位洋,, 62,* -7,* 15, 4, 14.3,⑦④③, 1, 8, オｰスミムｰン,,中村将,,,,, 1,  1.7,①①①, 1, 9,Ｊカゼニタツライオン, 57,太宰啓,, 73,*  6,   3, 9, 34.2, ①①, 1, 7,Ｆムクドク, 81,高倉稜,, 90,   0,* 19, 8, 24.1, ⑩⑨
 2, 6,Ａマイネルハルカゼ, 67,三浦皇, 0.0, 60,* -7,* 14, 1,  2.1,②②①, 2, 4, テイエムオウショウ,,田村太,200.2,,,, 6, 25.1,③②②, 2, 1,Ａレギス, 70,酒井学, 0.2, 72,   2,   6, 2,  4.7, ⑤⑤, 2, 8,Ａランリョウオｰ, 86,四位洋, 0.1, 90,  -2,* 22, 1,  2.6, ⑪⑪
 3,10,Ｂセイスコｰピオン, 65,川田将, 0.3, 59,* -7,  12, 2,  2.7,⑤③②, 3,10, テイエムセイリュウ,,植野貴,201.1,,,, 5, 15.0,⑤③③, 3, 6,Ｄドリｰムハヤテ, 64,国分恭, 0.6, 67,   3,   0, 6, 16.8, ③④, 3,10,Ｈダンツミュｰタント, 79,藤田伸, 0.1, 86,*  5,  11, 3,  5.8, ②②
 4, 8,Ｈマイティウォリアｰ, 52,太宰啓, 0.6, 59,  -9,* 13, 3,  7.5,④⑥⑥, 4,11, メイショウヨウドウ,,西谷誠,201.7,,,, 8, 33.7,⑥⑤④, 4, 4,Ｃレゼトワｰル, 65,川田将, 0.6, 67,  -1,   4, 1,  2.0, ⑥⑥, 4, 9,Ｄナシュワンヒｰロｰ, 82,太宰啓, 0.2, 84,*  6,   8, 6, 15.4, ①①
 5, 2,Ｃナムラドキョウ, 60,高倉稜, 1.2, 52, -11,  10, 5, 17.2,⑪⑩⑦, 5,14, エｰシンテュポｰン,,白浜雄,204.2,,,, 3,  6.0,⑪⑦⑦, 5, 2,Ｆカシノパシオン, 62,渡辺薫, 0.6, 68,  -2,   6, 7, 22.8, ⑧⑦, 5, 6,Ｂダノンウィスラｰ, 84,秋山真, 0.2, 85,   3,  12, 4,  7.2, ④③
 6,12,Ｉメイショウエジソン, 49,国分恭, 2.1, 47, -11,   3,11,231.4,⑩⑨⑩, 6,13, スズカジェネラル,,林満明,204.6,,,,10, 73.3,④④⑤, 6,12,Ｇストゥｰディアス, 62,国分優, 0.8, 64,*  4,  -3, 3,  7.7, ②②, 6, 3,Ｃミカエルビスティｰ, 83,国分恭, 0.2, 87,   0,  16, 5, 13.8, ⑧⑧
 7, 3,Ｄアルカサｰバ, 60,酒井学, 2.2, 46,  -8,  -3, 6, 28.0,③⑤⑤, 7,12, トｰセンロマネ,,草野太,204.7,,,,11, 78.9,⑦⑥⑥, 7,13,Ｋマｰクスマン, 57,武幸四, 1.0, 66,  -9,*  8,10, 36.3, ⑪⑪, 7, 5,Ｅショウナンラムジ, 82,三浦皇, 0.4, 83,   1,  10, 2,  3.7, ⑦⑥
 8, 7,Ｌホッコｰナナツボシ, 16,国分優, 2.4, 45, -11,   3, 9, 48.4,⑨⑪⑫, 8, 6, ライジングバイオ,,黒岩悠,206.2,,,, 7, 32.6,⑩⑨⑨, 8,11,Ｅスマｰトアレンジ, 64,秋山真, 1.1, 62, -13,* 11, 4, 11.4, ⑬⑬, 8, 4,Ｊバウンシｰチュｰン, 73,藤岡佑, 0.5, 86,  -1,  15,10, 67.8, ⑨⑩
 9, 5,Ｅスピｰディシャｰプ, 56,尾島徹, 2.5, 46, -11,   3,12,256.2,⑫⑫⑪, 9, 1, ニシノアイリス,,浜野谷,207.3,,,,12, 93.0,⑬⑫⑩, 9, 5,Ｂララガニエ, 67,三浦皇, 1.5, 58,  -3,  -2, 5, 11.5, ⑦⑧, 9, 1,Ｇベストクルｰズ, 80,川田将, 0.7, 81,   2,   8, 7, 20.0, ⑤⑦
10, 1,Ｇサトノラｰク, 54,川島信, 3.2, 38, -10,  -9, 7, 30.5,⑥⑦⑧,10, 2, スズカミラクル,,大江原,207.4,,,,13,192.9,⑨⑧⑧,10, 3, マユノプｰリン,---,尾島徹, 1.7, 59,  -6,   1,13,195.6, ⑩⑩,10, 2,Ｉエスピナアスｰル, 77,国分優, 0.7, 79,   2,   6, 9, 28.0, ⑥⑤
