12年 3月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂキタサンウンリュｰ, 64,武幸四,,,,, 1,  1.6, ②②, 1,16,Ｌロマンスリップ, 38,宮崎北,, 63,  -5,* 11,13, 94.0, ⑬⑮, 1,12,Ｂスズカセクレタｰボ, 74,藤岡康,,,,, 1,  2.7, ①①, 1, 9,Ｃクイｰンオリｰブ, 72,的場勇,, 72,* -1,   4, 3,  5.1,①①①
 2, 4,Ｌクラウンカイザｰ, 23,水口優, 0.0,,,, 9, 63.3, ①①, 2,13,Ｂテムジン, 56,高倉稜, 0.2, 63,   3,  -2, 1,  1.9, ⑤⑤, 2, 5,Ｄラッシュザワｰク, 68,平野優, 0.2,,,, 5, 12.9, ⑨⑧, 2,15,Ｉゴｰルデングロｰブ, 70,藤岡康, 0.1, 74,  -5,* 11, 1,  4.6,⑪⑨⑩
 3,12,Ｅドラゴンエッグ, 54,国分優, 0.4,,,, 4, 15.2, ⑦⑥, 3, 2,Ａコンパティビリティ, 60,大野拓, 0.5, 61,   1,  -1, 2,  4.0, ⑧⑧, 3, 9,Ａオリジン, 77,丸田恭, 0.5,,,, 4,  6.6, ⑤④, 3, 8,Ｋタガノイノセンス, 69,川須栄, 0.4, 72,  -6,* 10,10, 18.6,⑭⑬⑬
 4, 7,Ａビッグビｰト, 65,川須栄, 0.9,,,, 2,  4.2, ④④, 4,17, スピリテッドエアｰ,---,国分優, 0.5, 60,   1,  -3, 3, 13.4, ⑦⑦, 4, 7,Ｋサワヤカユウタ, 64,北村友, 0.6,,,, 3,  4.8, ⑥⑤, 4,10,Ｌフェアリｰレイ, 66,高倉稜, 0.4, 68,* -4,   4, 8, 17.1,④⑥⑥
 5, 1,Ｈカシノアゲｰト, 48,平野優, 0.9,,,, 8, 62.1, ⑨⑧, 5,12,Ｈロイヤルチョイス, 42,中井裕, 0.7, 57,*  4,  -9, 9, 27.3, ③③, 5, 2,Ｃトｰホウペガサス, 74,四位洋, 0.9,,,, 2,  3.7, ③②, 5,18,Ｄオｰクヒルパｰク, 71,松山弘, 0.5, 71,  -8,* 12, 7, 16.3,⑯⑯⑯
 6,11,Ｆトｰセンムンク, 54,杉原誠, 1.0,,,, 3, 10.0, ⑥⑦, 6,15,Ｆアラディロｰザ, 48,水口優, 0.7, 59,*  8, -14, 6, 20.5, ①①, 6, 1,Ｅレチタティｰヴォ, 67,宮崎北, 1.2,,,, 9, 53.2, ⑫⑫, 6, 1,Ｈジュヴェビアン, 70,上村洋, 0.6, 67,* -4,   2, 9, 17.8,⑥⑧⑦
 7, 3,Ｄオンジェム, 56,宮崎北, 1.2,,,, 5, 19.0, ③③, 7, 8, アｰスワンシャｰプ,---,松田大, 0.8, 55,  -5,   1,15,136.0, ⑭⑭, 7, 3,Ｈリズモア, 65,杉原誠, 1.2,,,, 8, 41.9, ⑧⑦, 7, 4,Ａスイｰトテン, 76,鮫島良, 0.7, 69,  -8,*  8, 6, 16.0,⑬⑭⑭
 8,10, アンコｰル,---,北村友, 1.8,,,,11, 87.2, ⑩⑪, 8, 1, ワンダｰブロタｰル,---,荻野琢, 0.8, 54, -11,*  9,10, 28.2, ⑱⑱, 8,10,Ｍフィドルプレイヤｰ, 63,川須栄, 1.5,,,, 7, 38.6, ②③, 8, 3,Ｎフロｰリストライフ, 66,黛弘人, 0.9, 67,  -5,   1,14, 45.5,⑦⑩⑨
