12年 8月18日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月18日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手稲山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂマイネルクロップ, 51,三浦皇,, 61,*  4,* -6, 1,  1.9,④③①, 1,11,Ｃロックシンガｰ, 62,津村明,, 62,   2,* -2, 6, 19.1,⑨⑧⑦, 1,11,Ｌサナシオン, 67,藤田伸,, 77,*  5,*  9, 6, 12.6,①①①, 1, 1,Ｄインスペｰド, 73,横山典,, 79,   1,* 12, 4,  7.5, ⑨⑤
 2,11,Ｅウインチェイサｰ, 38,川島信, 0.1, 62,   0,*  0, 4, 10.4,⑪⑧③, 2, 9,Ｄセトノアイガｰ, 61,菱田裕, 0.2, 59,   4,  -7, 3,  9.2,⑧⑥⑥, 2,13,Ｂマｰチャンテイマｰ, 74,宮崎北, 0.2, 73,*  5,   7, 3,  7.6,②②②, 2, 6,Ｍツインクルスタｰ, 61,吉田隼, 0.0, 82,* 13,   0,11, 40.5, ②②
 3,10,Ｈフュｰジリア, 36,四位洋, 0.3, 62,   0,* -1, 8, 39.3,⑫⑩④, 3,13,Ａディアボンボン, 68,勝浦正, 0.3, 59,   4,  -9, 2,  2.7,③⑤②, 3,10,Ｅエｰペックス, 71,丸山元, 0.5, 73,   4,   6, 2,  4.1,⑦④③, 3, 2,Ｆトランドネｰジュ, 72,柴山雄, 0.2, 79,* 12,  -1, 2,  3.9, ③③
 4, 7,Ｊザショットアロｰ, 32,柴山雄, 1.4, 51,   2, -15,10, 81.4,⑥⑥⑤, 4, 1,Ｅマスタｰミニスタｰ, 59,小林徹, 0.8, 61,   1,  -7, 5, 15.3,⑫⑨⑧, 4, 1,Ｃトップチェッカｰ, 73,池添謙, 0.9, 72,  -1,* 13, 1,  3.7,⑫⑬⑩, 4,12,Ａニシノカチヅクシ, 76,藤田伸, 0.5, 73,   5,   1, 1,  3.1, ⑤⑥
 5, 1,Ｉマイネルエウロス, 36,丹内祐, 2.2, 47,  -1, -16, 9, 49.4,⑨⑪⑧, 5,10,Ｆシルクルガｰル, 59,池添謙, 1.3, 51,*  5, -18, 4,  9.3,④④⑤, 5, 3,Ｄケイアイアポロン, 72,津村明, 1.0, 70,   2,   6, 4,  8.2,⑨⑧⑧, 5, 9,Ｈオビｰディエント, 68,川島信, 0.7, 71,  -2,*  7, 8, 24.3, ⑮⑫
 6, 8,Ｆヴェリｰヌ, 36,池添謙, 2.2, 47,*  3, -22, 5, 14.8,⑤④⑥, 6, 7,Ｊヤマノクリスタル, 41,的場勇, 1.3, 56,*  5, -18, 8, 89.8,②③④, 6, 4,Ｈネオザスティング, 70,秋山真, 1.3, 67,   4,   1,11, 36.2,⑤⑥⑥, 6, 3,Ｃユｰルフェスト, 74,上村洋, 0.7, 69,  -1,*  5, 3,  6.5, ⑭⑧
 7, 4,Ａナムラドキョウ, 55,松田大, 2.2, 46,   2, -22, 6, 15.5,③⑤⑦, 7, 2,Ｋメモリｰジョイフル, 38,古川吉, 1.5, 51,*  6, -21,11,161.0,①①①, 7, 8,Ｋエイトプリンス, 69,勝浦正, 1.3, 69,   4,   3, 9, 18.5,⑧⑨⑦, 7, 4,Ｂコマノスクアｰロ, 74,池添謙, 0.7, 71,   2,   3, 5,  9.3, ⑩⑬
 8, 2,Ｇクリスクリングル, 36,勝浦正, 2.5, 44,*  4, -27, 3,  5.6,①①②, 8, 3,Ｌテンエイヒｰロｰ, 21,吉田隼, 1.6, 51,   1, -11,10,136.8,⑬⑫⑫, 8, 2,Ａヤマニンミミック, 76,柴山雄, 1.4, 67,   0,   7, 8, 14.4,⑩⑪⑫, 8, 5,Ｊユキノマｰクン, 65,丸山元, 0.8, 70,   4,  -1,12, 45.0, ⑥⑨
 9, 9,Ｄヴェイパｰコｰン, 41,丸田恭, 2.8, 41,   1, -25, 7, 33.6,⑧⑦⑩, 9, 5,Ｂザキャップ, 64,三浦皇, 1.7, 49,   4, -21, 1,  2.1,⑥②③, 9, 5,Ｍケンブリッジアリス, 65,吉田隼, 1.4, 65,   4,   0, 7, 14.0,③⑤⑤, 9, 8,Ｇサウスビクトル, 72,丸田恭, 0.9, 66,   0,   2, 7, 20.2, ⑪⑮
10, 6,Ｃスイングタキオン, 50,藤田伸, 5.0, 31,*  3, -48, 2,  4.7,②②⑨,10, 8, ステレオフォニック,---,荻野琢, 2.5, 44,   0, -21, 9,131.0,⑪⑪⑪,10, 6,Ｊスリｰアルテミス, 69,宮崎光, 1.5, 66,   3,   0,13, 96.4,⑥⑦⑨,10,14,Ｉジョｰアカリン, 67,古川吉, 0.9, 68,   0,   2, 6, 18.2, ⑬⑭
11,12,Ｋファンタスキｰ, 29,黛弘人, 6.0, 24,  -3, -44,12,201.0,⑩⑫⑫,11, 4,Ｇメイショウダンジリ, 52,川島信, 2.5, 45,   0, -20,13,253.5,⑩⑩⑩,11, 9,Ｆアズマユニヴァｰス, 71,藤岡佑, 1.6, 66,*  5,  -4,12, 41.7,④③④,11, 7,Ｏロクイチスマイル, 52,宮崎光, 0.9, 69,   8,  -6,10, 37.0, ④④
