12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2,Ｋイｰグルストｰン, 33,田辺裕, 1.7, 41,   4, -16,10,111.7, ⑧⑨,12, 2, ドリｰムテンペスト,---,田中勝, 3.0, 30, -21, -12, 3,  5.3, ⑪⑫,12, 6,Ｌハッピｰデュランダ, 61,江田照, 3.9, 53,  -2, -10,12,291.5,⑫⑫⑫,12, 7,Ｊレンディル, 72,北村宏, 2.8, 56,  11, -29,10, 45.3,③③⑨
13,10,Ｎリネンムｰン, 25,杉原誠, 2.4, 35, -15,* -4,15,514.4, ⑮⑮,13, 9, ナムラレガシｰ,---,中舘英, 3.1, 32, -27,  -6, 9, 32.5, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Ｆベニノエクスプレス, 50,嶋田純, 2.6, 37,* 10, -29, 2,  7.5, ③⑥,14, 8, トｰアエエモンヤ,---,中谷雄, 3.4, 28, -23, -13,16,206.1, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
15, 4, アｰドバｰク,---,菅原隆, 2.8, 30,   1, -23,14,326.8, ⑫⑭,15,10, ビュｰティワイルド,---,津村明, 3.5, 27, -22, -15,14,147.7, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 4, ミスプリシラ,---,吉田隼, 5.7, 10, -40, -15,13,125.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,620円 複勝:07=240円 05=200円 12=110円 枠連:3,880円",,,,,,,,,,,,単勝:290円 複勝:07=120円 03=170円 16=200円 枠連:750円,,,,,,,,,,,,"単勝:340円 複勝:08=180円 10=720円 12=440円 枠連:1,080円",,,,,,,,,,,,"単勝:380円 複勝:01=150円 10=200円 11=140円 枠連:1,520円",,,,,,,,,,,
"馬連:4,720円 ワイド:05-07=970円 07-12=360円 05-12=340円",,,,,,,,,,,,馬連:740円 ワイド:03-07=350円 07-16=420円 03-16=870円,,,,,,,,,,,,"馬連:4,750円 ワイド:08-10=1,520円 08-12=1,100円 10-12=5,180円",,,,,,,,,,,,"馬連:1,780円 ワイド:01-10=520円 01-11=250円 10-11=430円",,,,,,,,,,,
