12年 7月 8日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月 8日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木曽川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂタガノラルフ, 59,戸崎圭,, 62,   8, -13, 2,  5.5, ⑤④, 1, 9, シゲルジュウヤク,,中村将,,,,, 2,  3.8,②②③, 1,10,Ｂドリｰムプログラム, 66,松山弘,, 65,  -3,*  8, 3,  5.9,⑨⑨⑧, 1, 7,Ｅムスカテｰル, 76,小牧太,, 79,   7,* 15, 2,  3.4,⑥⑥⑥
 2, 1,Ｃマンドレイク, 50,武豊  , 0.0, 62,   5,*-10, 3,  6.4, ⑦⑥, 2, 7, ダイシングロウ,,小坂忠,221.0,,,, 1,  2.4,④③②, 2, 9,Ｅショウナンバッカス, 62,戸崎圭, 0.1, 63,   0,   3, 4, 10.2,⑥④⑤, 2, 9,Ａカフナ, 81,幸英明, 0.1, 76,   8,  10, 1,  2.3,⑤⑤⑤
 3, 6,Ｄウイングリｰト, 46,高倉稜, 0.8, 54,  10, -27, 4, 15.9, ②②, 3, 3, フサイチアソｰト,,植野貴,221.1,,,, 6, 19.5,⑨⑩⑧, 3, 1,Ａソｰドブレイカｰ, 66,武豊  , 0.3, 65,  -6,* 11, 1,  2.2,⑭⑭⑭, 3, 8,Ｃゴｰルドブライアン, 80,和田竜, 0.3, 76,   6,* 14, 4,  8.1,⑨⑨⑨
 4, 4,Ａマイネヴァイザｰ, 64,和田竜, 0.8, 57,* 14, -29, 1,  1.3, ①①, 4, 4, ヒラボクロイヤル,,北沢伸,222.5,,,, 3,  5.8,⑤④④, 4, 3,Ｇトキノベストマッチ, 60,藤岡康, 0.4, 63,*  2,  -3, 7, 21.9,②①①, 4, 1,Ｈグッドバニヤン, 71,戸崎圭, 0.6, 70,  11,  -4, 7, 30.3,②②②
 5, 2,Ｇシゲルオオクマザ, 32,国分優, 1.8, 43,   3, -30, 8,137.9, ⑥⑧, 5,13, ハクサン,,五十嵐,222.7,,,,11, 49.7,⑩⑥⑤, 5, 4,Ｆサンライズシックス, 61,中井裕, 0.7, 62,  -3,   2,10, 78.6,⑧⑧⑥, 5, 2,Ｆトウシンイｰグル, 75,佐藤哲, 0.7, 72,   5,   8, 5,  8.5,⑧⑧⑧
 6, 5,Ｅカゼニタツライオン, 45,北村友, 2.1, 39,   9, -41, 5, 18.8, ④③, 6, 1, マイネルファルケ,,横山義,223.2,,,, 4, 13.0,①①①, 6, 7,Ｉゴｰルデンドロップ, 57,藤懸貴, 0.8, 61,  -4,   5, 9, 45.6,⑫⑬⑪, 6, 6,Ｇハｰドダダンダン, 73,国分恭, 0.8, 68,   9,  -4, 8, 67.0,④④③
 7, 7,Ｆタガノカバリオ, 37,熊沢重, 2.9, 31,   9, -52, 6,108.8, ③⑤, 7, 2, エルチョコレｰト,,白浜雄,223.2,,,, 7, 22.1,⑪⑧⑦, 7,12,Ｄベストウィッシュ, 63,小牧太, 1.2, 57,*  0,  -9, 2,  4.3,④③③, 7, 5,Ｄダノンマックイン, 79,武豊  , 0.8, 69,   9,  -3, 3,  7.2,③③④
 8, 3,Ｈカシノビッグベン, 12,野元昭, 2.9, 32,   3, -44, 7,109.7, ⑧⑦, 8, 6, マンノレｰシング,,田村太,224.1,,,,12, 89.1,⑫⑫⑨, 8,13,Ｈゴｰルドマイスタｰ, 57,森一馬, 1.4, 57,  -2,  -5,14,203.7,⑦⑥⑦, 8, 4,Ｂアマファソン, 80,北村友, 0.9, 68,   5,   4, 6, 10.5,⑦⑦⑦
,,,,,,,,,,,, 9, 8, マサライト,,西谷誠,224.2,,,, 5, 13.7,③⑦⑥, 9,11,Ｃオスカｰバロｰズ, 63,国分恭, 1.7, 55,  -4,  -4, 5, 12.1,⑪⑩⑩, 9, 3,Ｉダブルレインボｰ, 68,藤岡康, 4.5, 44,* 15, -71, 9,128.7,①①①
,,,,,,,,,,,,10, 5, ボストンリョウマ,,林満明,224.8,,,, 9, 25.9,⑦⑪⑪,10, 5,Ｋメイデイ, 57,渡辺薫, 2.6, 52,  -4, -12,13,136.4,⑩⑪⑫,,,,,,,,,,,,
,,,,,,,,,,,,11,12, サンレイデュｰク,,難波剛,227.1,,,,10, 33.8,⑧⑨⑩,11, 6,Ｐアグネスフレキソ,-38,水口優, 2.6, 49,  -5, -11,12, 97.8,⑯⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12,16,Ｍキョウワアライヴ, 52,鮫島良, 3.3, 46,  -1, -22,11, 89.1,③⑤④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｌシゲルキョホウ, 55,高倉稜, 3.8, 40,*  1, -31, 6, 14.5,①②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｏセイクリッドハｰト, 34,石橋守, 4.0, 42, -11, -10,15,414.6,⑮⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｊエｰシンヴンダバｰ, 57,幸英明, 4.2, 40, -10, -13, 8, 31.0,⑬⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｎヒロノブレｰブ, 46,花田大, 6.0, 29,  -1, -46,16,417.7,⑤⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,
単勝:550円 複勝:08=290円 01=290円 06=530円 枠連:0円,,,,,,,,,,,,単勝:380円 複勝:09=130円 07=140円 03=310円 枠連:400円,,,,,,,,,,,,"単勝:590円 複勝:10=180円 09=230円 01=130円 枠連:3,010円",,,,,,,,,,,,単勝:340円 複勝:07=120円 09=110円 08=180円 枠連:270円,,,,,,,,,,,
"馬連:1,140円 ワイド:01-08=290円 06-08=440円 01-06=530円",,,,,,,,,,,,馬連:550円 ワイド:07-09=280円 03-09=650円 03-07=670円,,,,,,,,,,,,"馬連:2,790円 ワイド:09-10=760円 01-10=290円 01-09=570円",,,,,,,,,,,,馬連:360円 ワイド:07-09=170円 07-08=390円 08-09=320円,,,,,,,,,,,
"馬単:2,240円 3連複:2,300円 3連単:10,780円",,,,,,,,,,,,"馬単:1,210円 3連複:2,070円 3連単:8,800円",,,,,,,,,,,,"馬単:5,600円 3連複:2,310円 3連単:21,330円",,,,,,,,,,,,"馬単:860円 3連複:670円 3連単:2,980円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,東海ﾃﾚﾋﾞ杯ﾌﾟﾛｷｵﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄシュピッツェ, 63,戸崎圭,, 61,* -8,   2, 3,  4.1,③③③, 1, 1, ジェネシスロック,---,北村友,, 43, -21,* -4, 1,  3.6, ⑨⑨, 1,15,Ｅトｰホウジャパン, 71,松山弘,, 68,   5,   4, 9, 24.0, ⑦④, 1, 6,Ｌトシキャンディ, 85,酒井学,, 87,* 16,  10,12,119.2, ①①
 2, 5,Ｃスリｰアフロディテ, 64,佐藤哲, 0.1, 64, -10,*  4, 1,  2.6,⑥⑧⑧, 2, 7, ウインドクラスト,---,酒井学, 0.2, 41, -15, -12, 4,  6.0, ⑤⑤, 2, 1,Ｉフォルテリコルド, 66,渡辺薫, 0.0, 68,  -2,*  9,11, 32.3, ⑫⑫, 2,14,Ｂアドマイヤロイヤル, 95,安藤勝, 0.1, 86,   9,  19, 4,  7.5, ⑩⑩
 3, 7,Ｐガラアフェアｰ, 40,幸英明, 0.2, 63,  -9,*  5,10, 60.8,⑪⑫⑨, 3, 9, ドントタッチミｰ,---,佐藤哲, 0.4, 39,*-11, -19, 2,  3.8, ②②, 3,10,Ｂジャマイカジョｰ, 74,酒井学, 0.3, 65,   0,*  6, 1,  3.9, ⑪⑪, 3, 9,Ｃファリダット, 93,佐藤哲, 0.2, 87,   4,* 24, 1,  2.4, ⑮⑮
 4,16,Ａヒデノビクトリア, 66,中井裕, 0.5, 59, -11,   2, 2,  4.1,⑧⑪⑪, 4, 2, トｰホウハヤブサ,---,和田竜, 0.6, 37,*-10, -23, 7, 17.3, ①①, 4, 7,Ａエｰティｰショパン, 74,藤懸貴, 0.4, 62,  -3,*  7, 3,  4.7, ⑬⑬, 4,13,Ｉワｰルドワイド, 86,北村友, 0.2, 87,  10,  17,10, 63.6, ⑦⑦
 5,13,Ｎナリタスカイ, 41,国分恭, 0.5, 64, -13,* 10, 8, 34.7,⑭⑮⑰, 5,10, テイエムシングン,---,松山弘, 0.7, 33, -14, -20, 3,  4.1, ④③, 5, 9,Ｌタイセイクインス, 62,中井裕, 0.5, 65,*  6,  -3,13,149.4, ①①, 5, 7,Ａシルクフォｰチュン, 96,藤岡康, 0.2, 88,   2,* 27, 2,  3.6, ⑯⑯
 6, 6,Ｂアドマイヤシルク, 64,高倉稜, 0.5, 58, -11,   2, 4,  7.1,⑩⑨⑫, 6, 6, シゲルウオザ,---,国分優, 0.8, 33, -20, -16, 9, 48.6, ⑥⑦, 6,13,Ｋサトノパイレｰツ, 62,幸英明, 0.6, 64,*  6,  -3, 6, 12.1, ②②, 6, 3,Ｄテイクアベット, 91,国分恭, 0.3, 85,* 15,   9, 3,  6.3, ②②
 7,11,Ｈショコラディスコ, 52,酒井学, 0.8, 52, -10,  -7, 9, 56.8,⑤⑤⑥, 7, 8, バルトロメオ,---,幸英明, 0.8, 33, -15, -20, 5,  9.1, ⑦⑥, 7, 5,Ｎメイショウクロシオ, 58,武豊  , 0.6, 64,   4,  -1, 8, 21.3, ④⑤, 7, 8,Ｊデュアルスウォｰド, 86,和田竜, 0.3, 86,   6,  20, 9, 53.8, ⑫⑫
 8, 4,Ｅエリモベッラ, 58,松山弘, 0.8, 55, -12,   0, 6, 29.5,⑬⑭⑭, 8, 3, ワイドウォｰカｰ,---,戸崎圭, 0.9, 31, -16, -21, 8, 23.0, ③④, 8,14,Ｍフィｰルザライト, 59,柿原翔, 0.6, 65,*  6,  -2,15,225.1, ③③, 8, 5,Ｎダノンエリモトップ, 84,中井裕, 0.4, 85,   9,  16,16,382.9, ⑧⑧
 9, 8,Ｉワンダｰヴォｰグ, 51,鮫島良, 0.9, 49,* -5, -16, 5, 15.1,①①①, 9, 4, スピｰディシャｰプ,---,熊沢重, 1.2, 28, -25, -14,10,150.6, ⑩⑩, 9, 8,Ｇリバｰロイヤル, 68,戸崎圭, 0.9, 60,   4,  -3, 5,  9.5, ⑤⑥, 9,10,Ｆセレスハント, 88,武豊  , 0.5, 85,   8,  17, 6, 24.7, ⑪⑪
10,17,Ｇタニノアペトゥラ, 55,和田竜, 1.4, 49, -12,  -8, 7, 32.2,⑮⑬⑬,10, 5, ウインドマジック,---,小牧太, 1.8, 21, -21, -28, 6, 13.7, ⑧⑧,10,11,Ｈルミナススカイ, 66,熊沢重, 1.0, 62,   5,  -5, 7, 12.5, ⑥⑦,10, 1,Ｋスｰニ, 85,幸英明, 0.6, 84,   8,  16, 7, 48.3, ⑨⑨
11,12,Ｑキタサンエデン, 39,小牧太, 1.5, 49, -12,  -8,16,244.9,⑰⑯⑮,,,,,,,,,,,,,11,12,Ｃニシノブイシェｰプ, 72,藤岡康, 1.1, 58,   2,  -4, 4,  9.4, ⑩⑧,11, 4,Ｐタンジブルアセット, 82,渡辺薫, 0.6, 84,  13,   9, 8, 53.0, ④④
12, 9,Ｒメッセｰジ, 33,北村友, 1.8, 40, -10, -21,15,241.1,⑦⑦④,,,,,,,,,,,,,12,16,Ｏエｰシンアイネアス, 50,高倉稜, 1.1, 58,   3,  -5,14,174.0, ⑧⑨,12,15,Ｅインオラリオ, 90,小牧太, 0.7, 81,* 14,   6, 5,  9.7, ③③
13, 1,Ｆスイｰトガガ, 55,藤懸貴, 1.9, 41, -11, -17,11, 79.8,⑫⑩⑩,,,,,,,,,,,,,13, 3,Ｄワンダｰフォルテ, 71,今井貴, 1.3, 56,   2,  -5, 2,  4.6, ⑨⑩,13,11,Ｍアドマイヤスワット, 85,高倉稜, 1.1, 79,   4,  16,15,272.2, ⑭⑭
14,14,Ｏワンダｰブロタｰル, 40,芹沢純, 3.2, 30, -15, -25,17,293.1,⑱⑱⑱,,,,,,,,,,,,,14, 6,Ｐトロピカルジュエル, 44,水口優, 1.7, 51,  -6,  -2,16,376.6, ⑭⑭,14,16,Ｇニシオドリｰム, 88,国分優, 1.6, 75,  12,   3,11, 70.8, ⑥⑥
