12年 7月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麒麟山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａポップアップハｰト, 57,田中勝,, 57,   8,*-17, 2,  5.9, ⑧⑦, 1, 6, ニホンピロキリバス,,黒岩悠,,,,, 3,  5.7,⑦⑤④, 1, 5,Ｐリトルゲルダ, 11,中舘英,, 61, -17,*  4,16,164.9,   , 1,14,Ｂサクラヒストリｰ, 81,松岡正,, 77,*  3,* 19, 5,  6.4,①①①
 2, 5,Ｂマズルファイヤｰ, 56,内田博, 0.0, 57,   6,*-14, 1,  1.6, ⑫⑪, 2, 5, オウケンウッド,,石神深,186.0,,,, 1,  3.0,①①①, 2, 4,Ｂオｰクブラフ, 53,江田照, 0.3, 56, -21,*  3, 9, 29.1,   , 2, 2,Ｄディアビリｰヴ, 79,内田博, 0.5, 75,*  2,* 17, 1,  2.8,④④③
 3, 1,Ｋダイワブレｰブ, 26,北村宏, 0.2, 54,* 10, -23, 5, 13.8, ⑥④, 3, 8, ヒシセンチュリｰ,,横山義,186.3,,,, 2,  3.3,⑤③③, 3, 2,Ｄショウナンマジック, 51,杉原誠, 0.4, 53,  -5, -10, 7, 14.8,   , 3, 8,Ｉエタｰナルロブロイ, 75,田辺裕, 1.2, 68,*  3,  10, 9, 39.1,②②②
 4, 7,Ｃエバｰグレｰズ, 50,田辺裕, 0.7, 50,   6, -22, 9, 51.5, ⑨⑩, 4, 7, シグナリオ,,山本康,186.8,,,, 8, 23.3,④②②, 4,10,Ｌルｰパウス, 36,村田一, 0.7, 48, -15,  -7, 4, 12.7,   , 4,10,Ｇルシャンベルタン, 76,北村宏, 1.2, 70,   0,  14, 3,  5.7,⑪⑦⑥
 5, 9,Ｇコスモピｰスフル, 37,大野拓, 1.0, 48,   7, -28,10, 57.5, ⑪⑫, 5, 1, ニシノファブレッド,,浜野谷,186.8,,,, 7, 17.5,③④⑥, 5,17,Ｏトカイアス, 28,田中博, 0.8, 46,  -9, -13,14,125.3,   , 5,13,Ｃエクストラセック, 79,田中勝, 1.2, 68,*  2,  11, 2,  5.6,③③④
 6,12,Ｆグラスソニック, 37,吉田豊, 1.3, 43,* 10, -40, 3,  7.0, ③③, 6,10, コブラボｰル,,五十嵐,187.4,,,, 4,  8.0,⑩⑥⑤, 6, 6,Ｇカルメンズサン, 49,西田雄, 0.8, 47, -13, -10, 5, 13.9,   , 6,11,Ａアグネスハイヤｰ, 82,安藤勝, 1.4, 68,   2,  12, 4,  5.9,⑧⑤⑧
 7, 2,Ｄオリバｰバロｰズ, 44,江田照, 1.4, 41,* 11, -45,11, 60.7, ①①, 7, 4, フェバリットアワｰ,,金子光,187.5,,,, 5, 10.5,⑨⑦⑦, 7, 7,Ｅタワワ, 49,大野拓, 0.9, 45,  -9, -14, 6, 13.9,   , 7, 3,Ｊセトノシャンクス, 75,杉原誠, 1.4, 72,  -2,* 18,12,129.9,⑬⑬⑫
 8,11,Ｅモグモグパクパク, 41,柴田善, 1.4, 43,   7, -36, 4, 10.3, ⑩⑨, 8,13, アバディ,,平沢健,188.2,,,,11,129.8,⑫⑨⑧, 8,18,Ｈトｰホウビｰト, 49,柴田善, 1.0, 45,* -1, -21, 8, 16.3,   , 8, 1,Ｎメジロオマリｰ, 71,柴田大, 1.5, 69,   0,  13,13,183.0,⑤⑧⑦
