12年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾏｲﾙｽﾄｰﾝ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄパｰプルタイガｰ, 56,松山弘,,,,, 4,  7.2, ①①, 1, 8,Ｂベルシエロ, 68,吉田豊,, 62,  10,  -5, 6, 11.5, ⑩⑩, 1, 6,Ｊライジングサン, 64,松山弘,,,,, 5,  8.2,②②②, 1, 9,Ｃトゥザサミット, 75,上村洋,, 74,  21,*  6, 3,  6.5,⑫⑪⑪
 2,16,Ｂアラビアンマジック, 62,吉田隼, 0.2,,,, 1,  2.7, ②②, 2, 6,Ａブルｰプルチェッラ, 70,太宰啓, 0.0, 64,* 16, -13, 1,  4.0, ③③, 2, 4,Ｆラインレグルス, 69,森一馬, 0.9,,,, 8, 39.9,①①①, 2, 5,Ｏラプリメｰラ, 57,藤岡康, 0.0, 74,  21,*  6, 9, 24.6,⑨⑨⑨
 3, 3,Ｆトｰワオモカゲ, 53,森一馬, 0.3,,,, 8, 24.3, ⑥③, 3,15, スリｰネイチャｰ,---,水口優, 0.1, 59,  -2,*  9,13,255.6, ⑰⑰, 3, 3,Ｈトｰセンケイトゥｰ, 69,鮫島良, 0.9,,,, 2,  3.7,⑥⑤③, 3,10,Ａインプレッシヴデイ, 79,太宰啓, 0.0, 71,  18,*  9, 4,  7.9,⑭⑬⑫
 4, 7,Ｇバトルマグマ, 48,菱田裕, 0.3,,,, 5, 10.7, ③④, 4, 9,Ｄパイライトパワｰ, 60,千葉直, 0.1, 61,   6,* -2, 5, 11.4, ⑫⑫, 4,11,Ｅアｰルシネマスタア, 70,田中博, 0.9,,,, 4,  6.7,⑪⑩⑨, 4, 8,Ｆロｰレルソラン, 68,平野優, 0.0, 73,  22,   3, 8, 24.1,⑧⑧⑧
 5, 1,Ｋハッピｰヤングマン, 33,藤岡康, 0.5,,,, 6, 14.4, ⑦⑦, 5, 2,Ｋデンコウチャレンジ, 50,杉原誠, 0.5, 56,   2,* -2,15,258.3, ⑮⑭, 5, 1,Ｃシベリアンファクト, 74,西田雄, 1.1,,,, 6, 11.5,⑤⑥⑤, 5, 4,Ｇカレンデイムｰン, 67,松山弘, 0.1, 72,  22,   2, 6, 14.9,⑦⑥⑥
 6, 6, コウエイリョウマ,---,上村洋, 0.6,,,, 9, 38.6, ⑨⑩, 6,13,Ｈラインキャメロン, 54,森一馬, 0.5, 56,   1,*  1,10, 70.1, ⑯⑯, 6, 7,Ｂサンライズドバイ, 75,吉田隼, 1.3,,,, 3,  4.7,⑧⑧⑦, 6,15,Ｅレト, 70,柴山雄, 0.3, 70,  21,   0, 5, 10.7,⑩⑩⑩
 7, 9,Ｈデｰヴィｰ, 45,西田雄, 0.7,,,,11, 73.4, ⑩⑨, 7, 7,Ｃハｰツブラッド, 63,柴山雄, 0.7, 56,  11, -16, 2,  4.0, ⑥⑥, 7, 5,Ａヴェイロン, 80,太宰啓, 1.9,,,, 1,  3.3,⑦⑨⑩, 7,11,Ｍヴィｰヴァサルｰテ, 60,古川吉, 0.4, 69,  18,   4,12, 72.0,⑬⑭⑭
 8, 8,Ｃラｰゼンマイスタｰ, 61,国分恭, 0.8,,,, 2,  3.9, ④⑤, 8, 4,Ｅスリｰサンハｰツ, 58,上村洋, 0.8, 55,  10, -16, 8, 12.5, ⑨⑧, 8, 2,Ｄナンヨｰスラッガｰ, 71,上村洋, 1.9,,,, 7, 23.4,③③④, 8,12,Ｎサンデンマックス, 59,宮崎北, 0.5, 68,  18,   3,14, 99.9,⑪⑫⑬
 9,15,Ａスジャウムンキン, 66,長谷川, 1.0,,,, 3,  6.3, ⑤⑥, 9,14,Ｍハルノスミエ, 45,宮崎北, 0.9, 55,  14, -21,11, 98.0, ⑤⑤, 9, 8,Ｇプルプル, 69,吉田豊, 2.0,,,, 9, 42.6,⑩⑪⑪, 9, 3,Ｈシルクプロミス, 64,嘉藤貴, 0.6, 66,  24,  -8,13, 77.7,④⑤⑤
10,13,Ｅサロンドクイｰン, 54,嶋田純, 1.4,,,, 7, 22.0, ⑧⑧,10,10,Ｇヤマカツナタリｰ, 56,松山弘, 1.0, 52,   5, -11, 9, 22.9, ⑬⑬,10,10,Ｉアテンボｰイ, 68,原田和, 2.5,,,,10, 76.5,⑨⑦⑧,10, 2,Ｂユウセン, 75,丸田恭, 0.6, 66,  15,*  6, 2,  3.6,⑮⑮⑮
