12年 6月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長久手特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａメイケイペガムｰン, 61,国分恭,, 47, -23,* -2, 2,  2.5, ④④, 1, 1,Ｅゼログラヴィティｰ, 62,北村友,, 62, -15,* 10, 1,  3.4,⑫⑫⑬, 1,10,Ｄエｰシンハッブル, 64,小牧太,, 60,   1,   6, 2,  4.5,④④④, 1, 1,Ｆエｰシンミズｰリ, 80,川田将,, 84,   5,* 15, 1,  3.3,⑦⑦⑥
 2, 6,Ｂディアマイベイビｰ, 61,北村友, 0.0, 46,*-20,  -4, 1,  2.0, ②③, 2,17,Ｈメトロファルコン, 56,幸英明, 0.0, 58,*-11,  -1,10, 17.8,③③③, 2, 4,Ａプレミアクラウン, 69,和田竜, 0.2, 58,*  2,   3, 1,  1.7,②②②, 2, 5,Ｂカネトシディオス, 86,和田竜, 0.1, 84,   4,* 16, 5,  7.4,⑧⑨⑨
 3, 3,Ｃダイナミックウオｰ, 51,幸英明, 0.4, 42, -25,  -5, 5, 33.1, ⑥⑤, 3,18,Ｌロｰドバッカス, 52,浜中俊, 0.1, 57, -12,   0, 8, 15.5,⑤⑤⑤, 3,14,Ｅキョウワドリｰム, 63,国分恭, 0.4, 58,  -1,   7, 4, 17.3,⑨⑩⑧, 3,10,Ｇアドマイヤセプタｰ, 78,浜中俊, 0.2, 80,*  6,   9, 2,  3.9,③③③
 4, 4,Ｇマイネルヴォル, 47,和田竜, 0.6, 40, -27,  -5, 3,  5.8, ⑨⑦, 4,10,Ｃアシュヴィン, 65,佐藤哲, 0.1, 62, -15,*  7, 5, 10.5,⑭⑭⑫, 4,16,Ｊプレレフア, 53,北村友, 0.4, 60,  -4,* 13, 6, 18.9,⑭⑬⑬, 4,15,Ｄアバウト, 82,武豊  , 0.3, 78,*  8,   5, 6,  8.2,②②②
 5, 7,Ｅコウエイタｰボ, 47,松山弘, 0.7, 36, -23, -10, 6, 49.8, ⑤⑥, 5,14,Ａコスモプランタン, 66,松山弘, 0.3, 54, -12,   0, 3,  5.4,⑦⑦⑥, 5, 5, オｰシャンドライブ,---,川田将, 0.5, 57,  -1,   4, 5, 17.5,⑦⑦⑤, 5,16,Ｉマイウエイ, 74,小牧太, 0.4, 80,   2,  13, 9, 59.4,⑩⑩⑩
 6,11,Ｆシゲルペガススザ, 47,国分優, 0.8, 37, -26,  -8, 7, 72.7, ⑧⑨, 6, 8,Ｊテイエムアピｰル, 53,芹沢純, 0.3, 56, -14,   1,15,171.8,⑥⑥⑦, 6,11,Ｃセルリアンラビット, 65,国分優, 0.7, 58,  -3,*  9, 9, 38.6,⑬⑫⑫, 6, 6,Ｃイデア, 84,太宰啓, 0.4, 77,   4,  10, 7, 18.3,④⑥⑤
 7, 2,Ｈシゲルオヒツジザ, 36,中井裕, 0.8, 33,*-20, -18, 8,132.4, ①①, 7,12,Ｋヴァンヘルシング, 53,川田将, 0.4, 58, -15,   3, 6, 15.1,⑬⑪⑪, 7,12,Ｂイクオリティ, 67,松山弘, 0.9, 53,  -1,   1, 7, 19.1,⑧⑧⑨, 7, 8,Ｋセイルラｰジ, 72,鮫島良, 0.4, 81,   1,* 16, 8, 26.0,⑫⑫⑬
 8, 5,Ｋフェブアクティヴ, 24,高倉稜, 0.9, 35, -27,  -9,10,220.3, ⑦⑧, 8, 3,Ｍアラタマユニバｰス, 50,鮫島良, 0.6, 58, -17,*  6,11, 82.6,⑯⑮⑮, 8, 6,Ｋヒカリサｰベル, 41,田村太, 1.1, 52,*  2,  -5,12,217.0,③③③, 8, 3,Ｈドリｰムクラフト, 77,佐藤哲, 0.6, 78,   0,* 15,10, 93.5,⑯⑭⑮
