12年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,再度山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｌレゼトワｰル, 38,福永祐,, 63,  -3,*  8, 2,  5.2, ⑪⑪, 1, 2, スズカマジェスタ,,北沢伸,,,,, 1,  1.8,⑤③②, 1, 1, タマモプラネット,---,幸英明,, 55,*-12,  -5, 3,  6.1, ①①, 1, 7,Ｂパッションダンス, 81,ウィリ,, 79,* 16,  -4, 1,  2.3,③③②
 2, 7,Ｇアメｰジングタクト, 49,秋山真, 0.1, 65,   4,   1, 3,  6.8, ⑥⑥, 2, 7, ハイロｰラｰ,,小坂忠,201.0,,,, 5,  9.9,③②③, 2, 4, シナジｰウィスパｰ,---,ウィリ, 0.1, 52,*-13,  -4, 1,  1.6, ②②, 2, 3,Ｅコンカラン, 78,幸英明, 0.2, 80,* 16,  -6, 4, 11.1,⑥⑤⑤
 3, 6,Ａロｰドクロサイト, 65,川田将, 0.6, 61,*  6,  -6, 1,  1.5, ②②, 3,10, タマモオンゾウシ,,植野貴,201.2,,,, 6, 13.2,①①①, 3, 7, サダムロｰドショｰ,---,和田竜, 0.7, 50, -20,* -1, 2,  4.6, ⑤⑤, 3, 1,Ｃダノンマックイン, 80,福永祐, 0.2, 80,  15,  -4, 2,  3.8,⑦⑦⑦
 4, 4,Ｈシゲルオウシザ, 48,国分優, 0.7, 59,   4,  -5, 7, 47.3, ⑤⑤, 4, 3, メイショウタクミ,,鈴木慶,201.6,,,, 4,  8.6,⑦⑦④, 4, 3, ビコｰピリラニ,---,太宰啓, 0.7, 50, -22,*  1, 6, 32.9, ⑧⑦, 4, 8,Ａサフランディライト, 83,池添謙, 0.3, 79,  15,  -4, 3,  7.2,⑨⑧⑧
 5, 2,Ｄカシノモルフェ, 53,太宰啓, 0.9, 58,   1,  -3, 9, 58.5, ⑧⑧, 5, 6, ロトディパｰチャｰ,,今村康,202.4,,,, 2,  5.8,⑥⑥⑥, 5, 8, チョウダンディｰ,---,渡辺薫, 0.9, 46, -19,  -5, 7, 43.0, ④④, 5, 9,Ｉスマｰトリバティｰ, 75,武幸四, 0.5, 78,  10,*  4, 6, 13.6,⑫⑫⑫
 6,12,Ｃマルヨファスリエフ, 56,渡辺薫, 0.9, 59,   3,  -5, 4, 14.7, ⑦⑦, 6, 4, アラタマユニバｰス,,田村太,202.7,,,, 8, 61.1,④⑤⑤, 6, 2, アサクサライジン,---,福永祐, 1.0, 45, -19,  -8, 4,  8.3, ③③, 6, 5,Ｈタガノイノセンス, 76,川田将, 0.5, 76,* 16, -12, 8, 29.8,⑤④④
 7,15,Ｆブロｰドスタｰ, 52,酒井学, 1.0, 56,  -1,  -3, 5, 30.1, ⑩⑩, 7, 8, ピエナセレブ,,西谷誠,204.3,,,, 7, 32.1,⑧⑧⑧, 7, 6, ピクシｰチャｰム,---,藤岡佑, 1.8, 40, -22, -10, 5, 18.6, ⑦⑧, 7, 4,Ｊキンショｰオトヒメ, 74,酒井学, 0.5, 77,  14,  -6,12,124.9,⑧⑩⑩
 8, 3,Ｊオリエンタルサン, 41,池添謙, 1.0, 54,  -7,*  3,11,128.4, ⑬⑫, 8, 1, ロｰドハリアｰ,,中村将,206.8,,,, 3,  6.4,②④⑦, 8, 5, ヤマカツカグヤヒメ,---,国分優, 2.4, 28, -21, -24, 8, 61.8, ⑥⑥, 8,12,Ｆドリｰムヒｰロｰ, 77,秋山真, 0.8, 74,  14, -10,11, 72.0,⑩⑨⑨
