12年 7月14日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月14日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横津岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃディｰエスタイド, 49,勝浦正,, 48,  -7,*  4, 3,  4.2,⑩⑥⑤, 1, 6,Ｃクリノハナミチ, 62,村田一,, 61,*  1,*  3, 5,  7.3,④③①, 1, 4,Ｆドナリサ, 66,大野拓,, 72,   2,*  8,10, 70.0, ⑤④, 1, 2,Ｉコモノドラゴン, 64,三浦皇,, 85,  -7,* 25, 8, 39.6,⑥⑤④
 2, 1,Ｂダブルファンタジｰ, 51,岩田康, 0.1, 46,  -5,   0, 1,  2.5,④③③, 2,12,Ｅマヤノカデンツァ, 61,古川吉, 0.3, 60,*  1,*  2, 2,  4.1,⑧⑦②, 2,10,Ｂコｰリンハッピｰ, 73,宮崎北, 0.5, 68,*  8,  -1, 1,  3.8, ②②, 2, 6,Ｈバンスタンウォルツ, 67,柴山雄, 0.0, 79,* -4,  16, 6, 10.1,①①①
 3, 3,Ａスイングタキオン, 52,藤田伸, 0.6, 42,  -8,  -3, 4, 10.2,⑥⑦⑥, 3, 1,Ａラブトゥオｰル, 68,丸山元, 0.6, 60,  -1,*  3, 3,  4.3,⑥⑨⑧, 3, 2,Ｊキクノベリｰタ, 62,岩田康, 0.6, 67,  -1,*  5, 8, 26.0, ⑦⑦, 3, 5,Ｂククイナッツレイ, 77,岩田康, 0.1, 80,* -5,  19, 2,  4.8,④③③
 4,14,Ｄマイネルジェイド, 47,三浦皇, 0.7, 43,  -8,  -2, 5, 10.5,⑨⑨⑧, 4,13,Ｍヒラボクジャパン, 38,荻野琢, 0.9, 57,  -2,   1,10, 72.1,⑩⑩⑩, 4, 7,Ｄトップフライアｰ, 70,横山和, 0.7, 66,   4,   0, 2,  4.0, ③③, 4, 7,Ｅアクアブルｰフライ, 73,武豊  , 0.1, 82,  -7,  22, 1,  3.5,⑧⑦⑥
 5, 6,Ｋヴェリｰヌ, 32,柴山雄, 0.9, 38,* -4, -14, 9, 87.8,②②②, 5,11,Ｄリリｰアタッカｰ, 61,池添謙, 1.2, 54,*  1,  -6, 1,  3.2,⑤⑥⑤, 5, 3,Ｇカネトシファイタｰ, 66,秋山真, 1.1, 60,  -6,   3, 6, 13.0, ⑩⑧, 5, 3,Ａクリノメダリスト, 78,吉田隼, 0.3, 81,  -8,  22, 4,  5.4,⑦⑧⑧
 6, 4,Ｍモズダイコ, 17,荻野琢, 0.9, 39, -11,   0,14,393.0,⑫⑬⑬, 6, 9,Ｌエムオｰキャプテン, 50,横山典, 1.4, 51,  -5,   1, 8, 39.0,⑫⑪⑪, 6, 6,Ｈモリトブイコｰル, 65,丸山元, 1.2, 62,   2,  -3, 7, 13.2, ⑥⑥, 6, 1,Ｇナリタポセイドン, 69,池添謙, 0.5, 76,  -7,  16, 5,  5.4,⑤⑥⑦
 7, 7,Ｉウインチェイサｰ, 36,丹内祐, 0.9, 39,  -8,  -6,12,184.7,⑦⑧⑪, 7, 2,Ｊトウカイレックス, 51,大野拓, 1.5, 50,   0,  -7, 9, 55.3,⑦⑤⑦, 7,11,Ｉリュウシンヒｰロｰ, 62,木幡初, 1.2, 60,  -6,   2, 9, 45.3, ⑪⑨, 7, 4,Ｃアドマイヤネアルコ, 77,川須栄, 0.5, 76,* -5,  14, 3,  5.0,③④⑤
 8, 8,Ｅスプリングシャトル, 45,小林徹, 0.9, 40,  -9,  -3, 7, 20.8,⑧⑪⑩, 8, 7,Ｈキタノハヤブサ, 55,勝浦正, 1.9, 47,*  1, -13, 7, 19.7,②②④, 8, 1,Ｋカプリｰスレディｰ, 61,服部茂, 1.4, 58,  -5,   0,11, 89.5, ⑧⑩, 8, 9,Ｄガッテンキャンパス, 76,木幡初, 0.9, 72,  -8,  14, 7, 20.8,⑨⑨⑨
