12年 2月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａツクバヴァンクｰル, 65,蛯名正,, 61,*  1,  -6, 2,  3.9, ①①, 1, 8, ヒカリキャピタル,,石神深,,,,, 7, 30.5,②④④, 1, 1,Ｆジャパンプライド, 71,横山典,, 75,   0,* 16, 2,  3.7, ⑭⑫, 1, 2,Ｂギュスタｰヴクライ, 87,蛯名正,, 89,*  6,  17, 1,  2.8,⑧⑥⑤
 2, 1,Ｅエスペランサシチｰ, 56,石橋脩, 0.0, 60,  -4,  -1, 4, 10.4, ⑥⑤, 2,14, パラダイムシフト,,草野太,207.3,,,, 8, 41.0,①①①, 2, 4,Ｇシグナルストｰン, 71,和田竜, 0.6, 73,*  8,   0,10, 49.9, ②②, 2, 8,Ｃダコｰル, 87,田辺裕, 0.1, 92,   4,* 26, 2,  4.0,⑭⑭⑭
 3, 3,Ｂデルマダイコク, 59,木幡初, 0.2, 59, -13,*  7, 1,  2.7, ⑬⑬, 3, 7, ニシノファブレッド,,穂苅寿,207.6,,,,10, 49.0,⑧⑥⑥, 3, 3,Ｈシャイニｰデザｰト, 67,蛯名正, 0.7, 69,  -2,* 11, 8, 16.5, ⑯⑮, 3, 1,Ｈトウカイオｰロラ, 81,北村宏, 0.2, 87,   5,  17, 9, 26.4,⑨⑨⑧
 4, 7,Ｃエクスプロｰラｰ, 59,福永祐, 1.0, 51,* -1, -13, 3,  4.6, ④③, 4, 6, ホウザンドラゴン,,山本康,207.8,,,, 4,  8.6,③②②, 4, 7,Ｊオメガブルｰベリｰ, 66,石橋脩, 0.9, 68,   1,   6,11, 63.0, ⑪⑪, 4, 4,Ｅオｰシャンブルｰ, 85,福永祐, 0.3, 89,   4,  21, 4, 11.0,⑥⑧⑪
 5,15,Ｊサロンドクイｰン, 47,武士沢, 1.1, 53,  -9,  -4,12,108.3, ⑪⑨, 5, 5, アンブロｰクン,,金子光,208.2,,,, 6, 17.5,⑥⑤⑤, 5,10,Ｃアルベルティ, 74,クウィ, 1.0, 68,   4,   0, 4,  7.8, ⑦⑧, 5,10,Ｄノｰステア, 85,三浦皇, 0.3, 88,   3,  20, 3,  5.0,⑬⑬⑫
 6, 6,Ｆミヤコライジング, 54,田中勝, 1.2, 50, -11,  -3, 9, 55.7, ⑫⑫, 6,11, マサデパン,,大庭和,208.2,,,,14,224.6,⑨⑦⑧, 6, 2,Ｍノボシャンパｰニュ, 58,大庭和, 1.2, 69,*  8,  -7,12, 67.3, ①①, 6, 3,Ｇマコトギャラクシｰ, 83,吉田豊, 0.4, 86,   4,  20, 5, 11.6,⑫⑫⑬
 7,16,Ｉアストロフォンテン, 48,岩田康, 1.3, 51, -16,*  2, 8, 30.5, ⑯⑯, 7, 9, モルエラン,,柴田大,208.3,,,, 1,  2.0,⑫⑨⑨, 7,15,Ａフランキンセンス, 78,内田博, 1.3, 65,   4,  -2, 1,  3.7, ⑧⑨, 7, 9,Ａラヴェルソナタ, 88,横山典, 0.4, 83,   5,  14, 6, 13.0,④⑤⑦
 8, 9, サリエンテ,---,クウィ, 1.3, 51, -16,*  1,12,108.3, ⑮⑮, 8, 4, ブライティアアｰス,,蓑島靖,208.3,,,, 9, 45.9,⑩⑪⑪, 8, 5,Ｂマカリオス, 76,後藤浩, 1.4, 66,   6,  -5, 5, 11.1, ④④, 8, 6,Ｋザサンデｰフサイチ, 79,田中勝, 0.9, 78,*  6,   6,12,104.4,⑦⑦⑥
