12年 9月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木更津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇコスモアリュｰル, 34,柴田大,, 51,*-15,   8, 8, 28.0,①①①, 1, 7, カリズマアゲン,,平沢健,,,,, 3,  5.0,②①①, 1, 8,Ｄガッダムアスカ, 72,嶋田純,, 75,   3,*  5, 3,  5.4, ⑧④, 1,12,Ａコスモソｰンパｰク, 83,丹内祐,, 75,   8,  -3, 2,  4.6,⑨⑧⑦
 2, 8,Ｆフェイマスシｰン, 39,吉田豊, 0.1, 49,*-16,   7, 4,  7.1,②②②, 2, 4, モエレマジックマン,,大江原,194.1,,,,12, 97.3,①③⑤, 2, 2,Ａトランドネｰジュ, 78,武豊  , 0.2, 75,*  7,  -2, 2,  3.9, ③③, 2, 1,Ｍマイネルアダマス, 66,柴田大, 0.2, 73,* 10,  -7, 9, 30.4,⑤③⑤
 3,11,Ｄコスモデスタン, 45,内田博, 0.2, 49,*-16,   8, 6, 17.1,④③③, 3, 6, ネオレボルｰション,,五十嵐,194.2,,,, 4,  5.1,④②②, 3, 3,Ｈブリｰジｰデイズ, 68,三浦皇, 0.2, 72,   0,*  5, 8, 23.4, ⑪⑦, 3,13,Ｆフェスティヴタロｰ, 76,田中勝, 0.2, 71,   7,  -6, 7, 19.9,④⑨④
 4, 5,Ｂフュｰジリア, 66,横山典, 0.5, 48, -20,* 11, 2,  2.9,⑩⑩⑩, 4, 5, スｰパｰティチャｰ,,草野太,194.2,,,, 1,  4.6,⑨⑦⑧, 4, 7,Ｌホワイトミｰナ, 64,田辺裕, 0.5, 67,  -7,*  8,12, 73.4, ⑮⑭, 4,11,Ｉチャｰチクワイア, 68,吉田隼, 0.2, 71,*  9,  -7, 6, 19.2,⑧④⑥
 5,12,Ｅウインコサｰジュ, 42,嶋田純, 0.7, 47, -20,*  9, 7, 22.5,⑪⑪⑪, 5, 9, トレノユｰボウ,,横山義,194.3,,,, 6, 11.0,③④④, 5, 5,Ｇマシラ, 68,吉田豊, 0.7, 65,  -1,   0,11, 60.5, ⑫⑩, 5, 9,Ｌヤマニンアストレア, 67,丸山元, 0.3, 70,*  9,  -9,14,114.6,②⑤③
 6,10,Ａウインチェイサｰ, 67,大野拓, 0.8, 45, -18,   6, 1,  2.8,⑧⑧⑦, 6,11, タニノハｰビｰビｰ,,高野和,194.4,,,, 9, 38.1,⑥⑥⑥, 6, 9,Ｍタケデンザビエル, 62,田中勝, 0.8, 67,*  8, -11, 9, 24.9, ②②, 5, 8,Ｂヒシカツジェｰムス, 80,蛯名正, 0.3, 70,   3,*  0, 3,  5.3,⑮⑬⑮
 7, 1,Ｉオリオンザプラズマ, 28,杉原誠, 1.0, 46, -22,* 10,10, 93.0,⑫⑫⑫, 7, 1, グロｰバルチャｰジ,,石神深,194.7,,,, 2,  4.8,⑤⑤③, 7,14,Ｆマウントビスティｰ, 70,江田照, 0.8, 64,   2,  -4, 5,  9.9, ⑩⑪, 7, 4,Ｄハイクラウン, 79,内田博, 0.3, 69,   4,  -3, 4,  7.0,⑬⑩⑭
 8, 9,Ｃスリｰヨｰク, 47,蛯名正, 1.0, 45, -17,   3, 5, 14.7,⑥⑥⑤, 8, 8, ノｰブルエｰス,,小野寺,194.9,,,,11, 67.8,⑪⑩⑩, 8,13,Ｎミラクルピッチ, 55,北村宏, 0.8, 64,  -1,  -2,10, 41.7, ⑬⑮, 8,14,Ｊゴｰルドスマイル, 68,大野拓, 0.3, 70,   3,*  0,15,215.3,⑪⑮⑨
 9,13,Ｌテンミライ, 23,後藤浩, 1.2, 42, -18,   3, 3,  6.7,⑨⑨⑧, 9, 3, トｰアティアレ,,江田勇,195.9,,,, 7, 14.6,⑦⑧⑦, 9, 6,Ｃシンワクイｰン, 73,西村太, 0.8, 65,   3,  -6, 6, 18.6, ⑦⑥, 9,15,Ｋレッドエレンシア, 68,三浦皇, 0.5, 69,   6,  -7,10, 31.1,⑥⑫⑧
10, 4,Ｈカラダサンキュｰ, 32,西村太, 1.5, 38, -18,   0, 9, 29.9,⑦⑦⑥,10,10, クレバｰロッシｰ,,山本康,196.8,,,, 9, 38.1,⑧⑨⑨,10,11,Ｂサトノディライト, 75,内田博, 0.9, 64,   6, -10, 1,  3.2, ⑤⑨,10,10,Ｇニシノクエｰサｰ, 71,勝浦正, 0.5, 67,   4,  -6, 8, 24.3,⑫⑪⑫
11, 2,Ｋユウシン, 23,江田照, 3.3, 27, -17, -16,11,109.8,③④④,11, 2, ニシノスロｰン,,蓑島靖,204.4,,,, 5,  6.2,⑫⑫⑫,11,12,Ｊパヤドｰル, 65,柴田善, 1.1, 61,   2,  -8,14,123.0, ⑨⑧,10, 7,Ｏアカリ, 63,江田照, 0.5, 67,   7, -10,11, 63.5,⑦⑦⑪
12, 3,Ｊメルクマｰル, 24,嘉藤貴, 3.4, 27, -17, -17,12,123.9,⑤⑤⑨,,,,,,,,,,,,,12, 1,Ｋテイエムコウノトリ, 65,和田竜, 1.1, 65,* 10, -16, 7, 19.6, ①①,12, 6,Ｎピュアオパｰル, 65,和田竜, 0.6, 68,   3,  -4,13,110.2,⑭⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｐスイｰトサンテ, 41,丸山元, 1.3, 56,  -5,  -4,15,264.9, ⑭⑬,13, 3,Ｃレト, 80,木幡初, 0.7, 64,   8, -13, 5, 11.5,⑩⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｉカリスマテｰラｰ, 65,宮崎北, 1.3, 59,   4, -14,13,114.7, ⑥⑫,14, 2,Ｈナンヨｰクイｰン, 70,嶋田純, 0.7, 64,* 10, -19,12, 69.4,①①①
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｅダイワベスパｰ, 71,後藤浩, 1.4, 58,   6, -16, 4,  7.4, ④⑤,15, 5,Ｅロイヤルクレスト, 79,横山典, 1.2, 58,* 10, -25, 1,  2.8,③②②
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｏマグピｰソング, 49,原田和, 1.4, 55,  -6,  -4,16,331.9, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
