12年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信濃川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄコスモハヤブサ, 41,柴田大,, 51,  -5,*  2, 5, 16.2, ⑥⑥, 1, 9, ダイバｰシティ,,蓑島靖,,,,, 2,  5.2,⑤⑧⑥, 1, 7,Ｊサトノヒｰロｰ, 58,内田博,, 77,   4,*  7, 5,  9.2, ③④, 1, 8,Ｂファタモルガｰナ, 85,川島信,, 87,  -8,* 23, 2,  3.8, ⑥⑧
 2, 8,Ｂフェｰトグランド, 48,内田博, 0.2, 47,  -4,* -3, 1,  2.0, ⑪⑪, 2,14, シグナリオ,,山本康,184.9,,,, 1,  2.6,⑦①①, 2,15,Ｉロンギングトゥユｰ, 59,石橋脩, 0.2, 75,* 12,  -9, 9, 17.1, ①①, 2, 6,Ｉタガノイノセンス, 69,柴田善, 0.1, 80,* -7,  16, 8, 35.1, ②③
 3, 7,Ｉキネオストロング, 29,松岡正, 0.4, 47,  -7,* -2, 3,  7.3, ⑬⑬, 3, 7, ニシノファブレッド,,浜野谷,185.2,,,, 4,  6.3,⑧⑥⑦, 3, 6,Ｂシルキｰマｰチ, 68,江田照, 0.3, 75,   1,*  9, 3,  7.5, ⑨⑨, 3, 7,Ｇシゲルササグリ, 72,蛯名正, 0.3, 78,* -7,  15, 6, 31.8, ⑤⑤
 4, 3,Ｈドラゴンウォｰ, 34,柴田善, 0.5, 44,  -7,* -3, 8, 23.4, ⑨⑨, 4,10, インフィニットエア,,金子光,185.2,,,, 6, 12.8,⑥⑦⑧, 4,11,Ｅスモｰキｰヴォイス, 64,松岡正, 0.6, 74,   3,   2, 8, 16.0, ⑦⑥, 4, 5,Ｄサフランディライト, 77,松岡正, 0.4, 79,  -8,  15, 3,  6.2, ④④
 5,15,Ｆウインアルカディア, 39,石橋脩, 0.7, 42,* -1, -17, 4, 14.9, ①①, 5,11, ハッピｰティア,,鈴木慶,185.2,,,, 9, 37.4,③④④, 5,17,Ｇコウヨウアレス, 61,田中勝, 0.6, 70,*  5,  -5, 1,  2.7, ②②, 5, 4,Ｊステアトゥヘヴン, 67,吉田豊, 0.5, 72,* -5,   8, 5, 19.4, ①①
 6, 9,Ｃフェイマスシｰン, 42,吉田豊, 0.9, 37,  -4, -15, 7, 21.0, ③③, 6, 2, カリズマアゲン,,平沢健,185.2,,,, 8, 29.3,①③③, 6, 9,Ｄサクラインペリアル, 64,吉田豊, 0.8, 68,   0,   4, 2,  6.0, ⑪⑩, 6, 1,Ｆホウショウアマネ, 76,西田雄, 0.7, 73,* -6,   9, 9,150.7, ③②
 7, 4,Ａダイワブレｰブ, 56,北村宏, 1.3, 34,  -5, -18, 2,  3.4, ⑧⑦, 7, 8, ニシノスロｰン,,五十嵐,185.4,,,, 3,  6.1,④⑤⑤, 7, 8,Ａカディｰシャ, 70,柴田善, 1.1, 67,  -4,*  6, 6,  9.4, ⑭⑮, 7,10,Ａロｰレルブレット, 87,内田博, 0.7, 76,  -9,  15, 1,  1.8, ⑩⑩
 8,11,Ｍセイクリッドナイト, 20,蛯名正, 1.5, 31,  -6, -21, 6, 21.0, ⑩⑩, 8,12, トｰアティアレ,,江田勇,185.8,,,,10, 86.2,⑨②②, 8, 4,Ｈエバｰルｰジュ, 60,北村宏, 1.1, 64,   3,  -6, 4,  7.9, ⑥⑤, 8, 9,Ｃラヴェルソナタ, 83,北村宏, 0.8, 74,  -9,  14, 4,  9.9, ⑨⑨
 9,10,Ｊカラダサンキュｰ, 27,杉原誠, 1.6, 32,  -9, -14,10,115.6, ⑮⑮, 9, 6, スマイルフォンテン,,横山義,186.9,,,,11,132.7,⑩⑨⑨, 9,16,Ｆウインクルチャチャ, 63,中舘英, 1.3, 62,*  5, -14,10, 58.7, ④③, 9, 3,Ｅブレｰブビスティｰ, 76,石橋脩, 1.0, 73,  -8,   9, 7, 32.0, ⑧⑦
10,14,Ｌセイカスプレンダｰ, 24,大野拓, 1.8, 29,  -4, -27,13,238.2, ⑦⑧,10, 4, アドバンスヘイロｰ,,大庭和,187.0,,,, 5,  6.8,⑪⑪⑪,10, 2,Ｃエポキシ, 67,蛯名正, 1.6, 59,   1, -10, 7, 15.3, ⑧⑧,10, 2,Ｈヒロノキョウシュウ, 70,大野拓, 1.4, 65,  -8,   3,10,321.9, ⑦⑥
11,13,Ｏゴｰルドウインド, 20,田中勝, 2.0, 27,  -4, -31,12,185.5, ④⑤,11, 3, カピタｰノ,,石神深,188.2,,,, 7, 25.5,⑫⑫⑫,11,10,Ｍサンタｰナズリボン, 45,木幡初, 2.0, 54,  -3,  -9,17,416.1, ⑬⑬,,,,,,,,,,,,
12, 6,Ｋマイネルリボｰン, 27,中谷雄, 2.1, 27,  -4, -31,14,322.9, ⑤④,12, 1, バンクｰバｰリズム,,小野寺,190.2,,,,14,277.5,⑭⑬⑬,12, 5, シングンカイロス,---,武士沢, 2.0, 54,  -4,  -7,14,301.9, ⑫⑫,,,,,,,,,,,,
