12年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａアルマベルヴァ, 53,メンデ,, 56,  -2,* -7, 2,  3.2, ③③, 1, 5,Ｌチャｰリｰブレイヴ, 28,メンデ,, 63,  -7,* 10, 3,  5.0, ③③, 1, 2,Ａニットウビクトリｰ, 79,柴田善,, 75,   7,* 12, 3,  9.2, ⑩⑨, 1, 1,Ｂパストフォリア, 87,北村宏,, 84,   0,  14, 3,  4.1, ③③
 2, 8,Ｃウインプロスパｰ, 47,三浦皇, 0.1, 54,  -3,* -6, 1,  2.0, ⑦⑦, 2, 6,Ｃトミケンプレミオ, 48,宮崎北, 0.4, 59,* -4,   4, 6, 15.1, ①①, 2, 8,Ｊサトノレオパｰド, 59,横山典, 0.2, 72,* 12,   3, 2,  6.2, ⑤③, 2, 8,Ｄラインジェシカ, 83,内田博, 0.0, 89,  -7,* 25, 6, 14.7, ⑨⑨
 3,10,Ｆミヤビワンド, 42,吉田豊, 0.8, 47, -10,* -4, 8, 47.0, ⑬⑫, 3, 9,Ｇダンディｰレイ, 42,内田博, 0.5, 60,  -7,*  6, 4,  6.1, ⑤⑤, 3, 4,Ｃハｰコット, 77,北村宏, 0.4, 72,  11,   2, 1,  1.7, ④⑤, 3, 4,Ｃイチオクノホシ, 84,メンデ, 0.0, 88,  -5,  22, 2,  3.7, ⑧⑧
 4, 7,Ｈビックファントム, 40,内田博, 0.9, 49,  -2, -14, 5, 16.7, ⑥⑥, 4, 8,Ｂシゲルアンドロメダ, 52,浜中俊, 0.6, 58,* -6,   4, 2,  4.6, ②②, 4, 3,Ｈコスモシャンハイ, 68,松岡正, 0.9, 68,  11,  -2, 8, 40.1, ③④, 4, 7,Ｅサクラクロｰバｰ, 80,横山典, 0.0, 87,  -5,  22, 5, 11.8, ⑦⑦
 5, 4,Ｊハイラブソング, 38,浜中俊, 0.9, 49,*  0, -16, 7, 27.5, ②②, 5,11,Ｄバルバドスブルｰ, 45,柴田善, 1.3, 52,  -7,  -2, 1,  2.8, ④④, 5,12,Ｅダテノスイミｰ, 73,蛯名正, 1.1, 69,   5,*  7, 6, 17.4, ⑫⑫, 5, 3,Ｆカトルズリップス, 79,田辺裕, 0.2, 80,*  3,   6, 7, 14.8, ①①
 6,11,Ｇウチケンジェｰニオ, 40,江田照, 1.6, 42,  -7, -13,10,108.6, ⑨⑪, 6, 3,Ｅガッテンハピネス, 44,北村宏, 1.8, 49, -10,  -1, 7, 16.9, ⑪⑫, 6,11,Ｂリンガスクリフ, 77,三浦皇, 1.1, 67,  11,  -3, 5, 10.5, ⑦⑦, 6, 6,Ａサンシャイン, 87,浜中俊, 0.2, 84,  -1,  14, 1,  2.8, ④⑤
 7,12,Ｋエイダイシアトル, 33,上野翔, 1.7, 41,  -6, -16,12,228.0, ⑧⑧, 7,12,Ｊシルバｰトｰク, 35,石橋脩, 1.8, 49,  -7,  -5,11,152.9, ⑥⑥, 7, 5,Ｆヤマニンティグル, 69,柴山雄, 1.2, 67,  10,  -2,11,127.8, ⑥⑧, 7, 9,Ｈピュアブリｰゼ, 75,三浦皇, 0.2, 85,  -4,  17, 8, 23.1, ⑥⑥
 8, 6,Ｂイデアリスタ, 52,田辺裕, 1.8, 41,  -2, -22, 4, 13.9, ⑤⑤, 8, 4,Ａクリスウィング, 53,田中勝, 2.0, 47,  -9,  -3, 8, 22.8, ⑨⑪, 8,13,Ｄエクチュア, 73,石橋脩, 1.3, 67,  11,  -5, 4,  9.9, ⑧⑥, 8, 2,Ｇスピｰドリッパｰ, 78,蛯名正, 0.3, 82,  -1,  12, 4,  8.4, ⑤④
