12年 5月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 5月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂパｰルブロッサム, 68,秋山真,, 81,   6,* 10, 1,  2.6, ④④, 1, 4, ヴァンダライズ,,林満明,,,,, 1,  1.7,④②②, 1,12,Ｃメイショウコウセイ, 76,小坂忠,, 76,   3,* 12, 4,  6.0, ⑥⑥, 1,11,Ｅマコトナワラタナ, 75,藤岡康,, 80,   1,* 11, 4,  7.2, ⑪⑫
 2, 9,Ｆサンクフルネス, 59,国分優, 0.5, 75,   1,* 11,10, 39.6, ⑨⑧, 2, 7, モルエラン,,草野太,194.0,,,, 7, 29.0,③①①, 2,14,Ｈアイムヒアｰ, 71,飯田祐, 0.1, 74,*  6,   4,10, 31.4, ①①, 2,14,Ｉゴｰルデンムｰン, 69,浜中俊, 0.2, 76,  -4,* 14, 6, 14.1, ⑭⑭
 3, 1,Ｇミッキｰヘネシｰ, 58,中井裕, 0.7, 72,   3,*  6, 5, 12.9, ⑧⑤, 3, 6, コブラボｰル,,横山義,194.2,,,, 5, 18.6,⑤④③, 3,15,Ｄアドマイヤコリン, 72,小牧太, 0.3, 74,  -1,* 14, 3,  5.2, ⑮⑫, 3, 8,Ｎマイネルアダマス, 61,柴田大, 0.2, 82,   3,   8,14, 79.4, ⑨⑩
 4, 6, マサノボラｰレビア,---,幸英明, 1.2, 69,   5,  -1, 6, 22.2, ⑥⑥, 4,11, シシャモフレンド,,白浜雄,195.4,,,, 2,  4.7,⑦⑦⑦, 4,16,Ｋユキノサイレンス, 66,中井裕, 0.3, 72,*  5,   4,13, 40.8, ②②, 4, 9,Ａヒシワイルド, 78,国分恭, 0.2, 77,   0,* 10,11, 48.9, ⑫⑪
 5,14,Ｅカラヤン, 61,藤岡康, 2.0, 63,   4,  -6, 4, 11.0, ⑦⑦, 5,13, ジｰルドリル,,山本康,195.6,,,, 8, 34.3,⑥⑥⑥, 5, 2,Ｊアマルフィタｰナ, 68,秋山真, 0.4, 71,   0,   9,11, 34.0, ⑧⑨, 5,13,Ｇアｰスソニック, 72,佐藤哲, 0.4, 76,   1,   6, 5, 12.8, ⑩⑨
 6, 3,Ｃフミノメルキオｰル, 63,小林徹, 2.2, 61,  -5,   3, 3,  7.0, ⑭⑭, 6, 9, ドラゴンハンタｰ,,五十嵐,196.0,,,, 4, 10.8,⑩⑧⑧, 6, 4,Ｍシゲルハンベイ, 61,和田竜, 0.4, 71,*  4,   4,12, 40.2, ③③, 6,12,Ｊレディｰメグネイト, 67,飯田祐, 0.6, 73,   5,  -1,10, 38.3, ⑦⑥
 7, 7,Ｉアｰクイクシオン, 52,柴田大, 2.2, 61,  -3,   2,14,198.1, ⑫⑩, 7,10, モエレマジックマン,,大江原,196.2,,,,14,259.9,②⑤⑤, 7, 1,Ａリバｰハイランド, 80,太宰啓, 0.5, 70,  -1,  11, 2,  4.9, ⑩⑩, 7, 7,Ｄニシノスタイル, 75,小牧太, 0.6, 72,  -2,   6, 2,  4.0, ⑬⑬
 8, 5,Ａヒシタイフｰン, 68,佐藤哲, 2.6, 58,*  8, -16, 2,  3.0, ①①, 8,12, アドマイヤスコｰル,,西谷誠,196.8,,,, 3,  7.2,⑧⑨⑨, 8, 5,Ｒイクゼギンギラギン, 50,武幸四, 0.6, 68,   3,   3, 6, 21.6, ⑤⑤, 8, 1,Ｂファインチョイス, 76,川田将, 0.7, 74,* 10,  -8, 3,  5.6, ①①
