15年 7月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1900m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,尾頭橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂメイショウベニフジ, 55,武豊  ,, 47,  -5,  -9, 2,  5.9, ⑥④, 1,16,Ａキングカヌヌ, 68,デムｰ,, 73,* 14,* -7, 1,  2.8,②②②, 1, 7,Ｆアンネイ, 53,小牧太,, 60,*-14,   5, 7, 16.9,①①①, 1, 9,Ａブルドッグボス, 85,幸英明,, 82,* 12,   5, 1,  1.6, ②②
 2, 9,Ｅジェントルハｰト, 37,デムｰ, 0.1, 43, -12,* -4, 4,  6.9, ⑩⑨, 2,12,Ｊショウナンハルカス, 56,浜中俊, 0.4, 72,* 14, -10, 2,  4.5,①①①, 2,18,Ｇサンライズフルｰル, 52,ルメｰ, 0.2, 62, -18,* 12, 3,  7.1,⑨⑧⑧, 2,10,Ｇパイメイメイ, 76,秋山真, 0.4, 75,   7,   7, 2,  6.5, ⑦⑦
 3, 5,Ｃヒシヘンリｰ, 47,浜中俊, 0.4, 41,  -5, -16, 3,  6.8, ②②, 3, 8,Ｍサトノシャルマン, 54,ルメｰ, 1.0, 70,  10,* -9, 4,  7.6,③⑤⑤, 3,11,Ｄナムラオツウ, 57,松若風, 0.3, 58,*-13,   2, 6, 14.5,②②②, 3, 4,Ｆケッキセヨ, 76,福永祐, 0.4, 78,* 11,   4, 7, 25.6, ③③
 4, 7,Ｄガｰルズティアラ, 39,川田将, 0.5, 42,* -2, -20, 5,  8.1, ①①, 4,14,Ｂロｰドプレステｰジ, 65,中谷雄, 1.3, 69,   8,* -6, 7, 18.0,⑪⑥⑥, 4, 8,Ｃタガノヴェリテ, 57,義英真, 0.4, 63, -21,* 14, 4,  7.5,⑫⑬⑬, 4, 7,Ｂロｰレルベロｰチェ, 81,中井裕, 0.5, 79,* 13,   0, 3,  7.6, ①①
 5, 8,Ａコｰジェント, 56,ルメｰ, 0.6, 39,  -5, -19, 1,  2.1, ③③, 5,13,Ｄテイエムゴｰケツ, 62,川須栄, 2.8, 59,  11, -27, 9, 23.8,④④④, 5, 4,Ｂハッピｰウィルス, 65,幸英明, 0.7, 56, -18,   5, 2,  3.7,⑦⑦⑦, 5, 5,Ｅパｰティｰドレス, 76,ルメｰ, 0.5, 77,   8,   5, 5, 14.6, ⑤⑤
 6, 3,Ｇヴェゼｰル, 36,岩崎翼, 0.8, 35,  -9, -18, 6, 16.1, ⑤⑦, 6, 9,Ｃシゲルホウネンサイ, 64,藤岡佑, 2.9, 54,* 14, -32, 6, 14.6,⑥③③, 6, 9,Ｎナポレオン, 43,武豊  , 0.9, 55, -19,   6, 9, 21.6,⑮⑫⑫, 6,14,Ｄカネトシビバｰチェ, 76,武豊  , 0.6, 75,   5,   7, 4, 12.8, ⑨⑨
 7, 6,Ｊクインダム, 21,国分優, 0.9, 34, -12, -14,10,221.7, ⑧⑧, 7,15,Ｋトミｰスマイル, 55,岩崎翼, 2.9, 59,   5, -12,11,138.6,⑯⑪⑨, 7,10,Ｅサダムジャポン, 55,川田将, 0.9, 56, -19,   5, 5, 10.1,⑧⑨⑨, 7,11,Ｃシルヴァｰグレイス, 80,デムｰ, 0.9, 70,   2,   7, 6, 22.5, ⑫⑫
 8, 1,Ｆパキラ, 36,義英真, 1.0, 34, -23,* -5, 8, 49.9, ⑪⑪, 8,11,Ｆギンザセレクト, 60,川田将, 3.1, 57,   7, -20, 3,  5.6,⑧⑦⑦, 8,17,Ｍカネトシルミナ, 44,森一馬, 1.1, 49, -16,  -3,18,365.0,⑥⑥⑥, 8, 1,Ｉノｰフェイト, 73,吉田豊, 0.9, 69,  -2,* 11,14,142.8, ⑭⑭
 9,10,Ｉウインランブル, 26,松山弘, 1.2, 31,  -7, -24, 7, 29.1, ⑦⑤, 9, 6,Ｌハネムｰンイｰサ, 55,幸英明, 3.9, 53,   3, -17,13,216.5,⑬⑮⑬, 9,12,Ｈウォｰタｰライラ, 51,岩崎翼, 1.2, 46,*-15,  -8,15,149.9,④④④, 9, 3,Ｋグレイスフルデイズ, 69,和田竜, 1.0, 71,   6,   3,10, 81.5, ⑥⑥
10, 4,Ｋヒロブレイブ, 19,太宰啓, 1.8, 23, -16, -22,11,269.5, ⑨⑩,10, 1,Ｇクレイヴソリッシュ, 60,国分恭, 3.9, 54,   4, -18,10, 89.6,⑨⑬⑫,10,13,Ｑカフジドラゴン, 39,国分優, 1.2, 53, -22,   7,10, 46.1,⑯⑰⑰,10,16,Ｌナリタロック, 68,高倉稜, 1.0, 71,   2,   6,13,142.1, ⑬⑬
11, 2,Ｌオンガエシ, 17,幸英明, 2.0, 21,  -8, -33, 9,106.8, ④⑥,11, 2,Ｉメイショウオウケン, 58,鮫島良, 3.9, 55,   4, -19,15,318.6,⑩⑩⑩,11, 1,Ｏコスモブラッドレｰ, 41,和田竜, 1.2, 55, -21,   6,13,122.1,⑰⑮⑯,11,15,Ｍエルウェｰオｰジャ, 68,国分恭, 1.3, 68,   3,   3,11,102.8, ⑪⑩
,,,,,,,,,,,,12,10,Ｅメイショウブユウ, 61,武豊  , 5.4, 44,   2, -28, 8, 22.1,⑮⑯⑮,12,15,Ｊワンダｰプレジｰル, 49,北村友, 1.3, 50, -19,   0,17,242.5,⑪⑪⑩,12, 8,Ｎワンダフルラスタｰ, 64,松若風, 1.9, 63,   3,  -3, 9, 31.9, ⑩⑪
,,,,,,,,,,,,13, 3,Ｈアウトゼアｰ, 59,和田竜, 5.6, 43,   6, -39, 5,  8.5,⑭⑧⑧,13, 5,Ｐキクノメドウ, 40,浜中俊, 1.3, 44,*-15,  -9,16,200.2,③③③,13, 6,Ｊアスタｰストｰム, 73,鮫島良, 2.3, 60,   5,  -8,12,136.3, ⑧⑧
,,,,,,,,,,,,14, 7,Ｐワンダｰオブテｰル, 39,藤懸貴, 7.1, 36,   4, -47,16,340.4,⑫⑫⑭,14,16,Ｉスリｰロｰド, 51,酒井学, 1.4, 52, -20,   3,14,125.0,⑭⑭⑮,14, 2,Ｈメイショウワダイコ, 73,松山弘, 2.6, 54,  -8,   2, 8, 30.2, ⑮⑮
,,,,,,,,,,,,15, 5,Ｎハッピｰジュエル, 43,中井裕, 8.7, 32,   6, -64,12,213.6,⑤⑨⑪,15, 6,Ｌドリｰムシュｰタｰ, 46,中谷雄, 1.7, 47, -20,  -2,12,116.3,⑬⑯⑭,15,13,Ｐテイエムキュウコｰ, 61,国分優, 2.7, 57,  10, -16,15,282.6, ④④
,,,,,,,,,,,,16, 4,Ｏサンデｰジｰク, 41,高倉稜,13.1,-11,   3, -96,14,249.8,⑦⑭⑯,16, 2,Ｋテイエムマテンロウ, 49,高倉稜, 2.2, 38, -20, -12,11,102.3,⑩⑩⑪,16,12,Ｏリアライズナマステ, 62,岩崎翼, 3.0, 51, -10,   0,16,570.8, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ａタイセイブレイド, 66,松山弘, 2.9, 28, -16, -30, 1,  3.1,⑤⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,14, スズカディｰプ,---,藤岡佑, 6.3, -7, -26, -54, 8, 20.8,⑱⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:590円 複勝:12=200円 09=240円 05=260円 枠連:1,320円",,,,,,,,,,,,単勝:280円 複勝:16=130円 12=160円 08=190円 枠連:390円,,,,,,,,,,,,"単勝:1,690円 複勝:07=500円 18=300円 11=330円 枠連:2,300円",,,,,,,,,,,,単勝:160円 複勝:09=110円 10=180円 04=340円 枠連:720円,,,,,,,,,,,
