15年 5月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  ダ1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａナナイロボタン, 67,ルメｰ,, 63,*  4,  -6, 1,  1.5, ②②, 1, 6,Ｊカスクストレングス, 55,蛯名正,, 70,  -2,*  3, 6, 11.6, ⑪⑩, 1, 2,Ｄイデアオブクィｰン, 66,蛯名正,, 67,  10,* -5, 2,  3.5, ⑦⑧, 1, 9,Ｉバロンドゥフォｰル, 71,田辺裕,, 81,  10,*  6, 4,  7.3, ⑨⑦
 2, 2,Ｊフォｰクスグロｰブ, 51,柴田善, 0.3, 60,   3,  -8, 5, 19.4, ③③, 2,10,Ｎエンクエントロス, 53,柴山雄, 0.0, 68,*  2,  -5, 7, 15.2, ③③, 2, 6,Ｌハッピｰベリンダ, 56,三浦皇, 0.1, 64,  10,  -9, 3,  3.9, ⑥⑥, 2,12,Ｌクワトロガッツ, 69,北村宏, 0.2, 81,   6,* 10, 6, 12.4, ⑬⑬
 3,10,Ｃデイトリッパｰ, 60,横山典, 0.8, 57,   0,  -6, 3,  7.6, ⑨⑧, 3, 8,Ｇマロンベル, 57,田辺裕, 0.1, 67,   1,  -3,10, 42.4, ⑥⑤, 3, 1,Ｂリｰスリング, 67,北村宏, 0.2, 64,   9,* -7, 7, 17.0, ⑨⑦, 3, 3,Ａサトノスティング, 78,戸崎圭, 0.4, 76,* 12,  -4, 1,  3.8, ③②
 4, 1,Ｂディスコルディア, 60,柴山雄, 0.9, 56,   3, -11, 2,  6.9, ⑥⑥, 4, 1,Ａパンデイア, 63,ルメｰ, 0.1, 68,  -3,*  5, 1,  2.8, ⑬⑫, 4, 5,Ｅボｰジェスト, 65,柴山雄, 0.2, 61,  10,  -9, 4, 12.3, ⑤⑤, 4, 5,Ｂエデンロック, 77,福永祐, 0.5, 73,* 12,  -4, 2,  4.1, ⑤④
 5, 3,Ｄイヌイジェニｰ, 60,江田照, 1.1, 55,  -1,  -7, 6, 23.4, ⑪⑪, 5, 7,Ｈデトロイトカフェ, 57,内田博, 0.3, 65,  -1,  -3, 3,  5.9, ⑩⑧, 5,12,Ｍオｰトクレｰル, 55,大野拓, 0.3, 63,* 12, -12, 9, 34.1, ②②, 5, 2,Ｍホクラニミサ, 58,松岡正, 0.6, 76,  10,  -3, 8, 16.5, ⑥⑤
 6, 4,Ｍカキツバタ, 48,西村太, 1.3, 57,  -5,* -1,14,190.9, ⑮⑮, 6, 5,Ｋランデックヒルズ, 53,柴田善, 0.5, 62,*  3, -13,11, 59.5, ②②, 6, 3,Ｊラズライトブルｰ, 57,柴田大, 0.3, 64,   8,* -6, 5, 12.8, ⑩⑩, 6, 7,Ｃキネオピュｰマ, 75,ルメｰ, 0.6, 73,  10,  -4, 5,  8.1, ④⑥
 7, 9,Ｋパルミエ, 50,柴田大, 1.4, 56,  -3,  -6,11, 97.6, ⑬⑫, 7,18,Ｂコスモピンパｰネル, 60,石橋脩, 0.6, 63,  -6,*  1, 5, 11.2, ⑰⑰, 7, 7,Ａグランドエンジェル, 69,武士沢, 0.5, 61,   9, -10, 1,  3.4, ⑧⑨, 7, 1,Ｇショウナンラムジ, 73,浜中俊, 0.8, 70,* 12,  -9,10, 33.0, ②③
 8,14,Ｅラグロワｰル, 59,田中勝, 1.5, 54,   0, -12, 8, 28.8, ⑩⑨, 8, 2,Ｅコスモデレガンス, 58,柴田大, 0.7, 63,  -1,  -6, 9, 23.6, ⑧⑨, 8, 8,Ｃアイヅラブリｰ, 66,田辺裕, 1.3, 54,   7, -14, 6, 14.3, ⑪⑪, 8, 6,Ｊナムラショウリ, 71,石橋脩, 0.8, 73,   6,   0,13, 76.0, ⑩⑫
