15年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａモリトタイキ, 58,武豊  ,, 56,*  0,* -6, 1,  2.3, ③②, 1, 8, マサノジェット,---,田辺裕,, 63,  -9,* 10, 4,  8.6, ⑫⑫, 1, 2,Ｃバイタルフォｰス, 72,三浦皇,, 81,  10,* 12, 2,  2.8,⑦⑦⑦, 1, 4,Ａショウナンアポロン, 88,横山典,, 85,*  5,* 26, 3,  8.3,①①①
 2,16,Ｎシトラスクｰラｰ, 21,大野拓, 0.2, 56,*  0,  -8, 6, 13.0, ②①, 2, 7, アｰチキング,---,ルメｰ, 1.0, 55,* -5,  -4, 1,  2.7, ⑦④, 2, 6,Ｄマカワオクイｰン, 71,武豊  , 0.9, 75,* 12,  -2, 4,  9.4,①①①, 2, 6,Ｅクライスマイル, 86,柴田善, 0.7, 82,*  5,  21, 2,  4.6,②②②
 3,10,Ｈガオガイリュイ, 43,田辺裕, 0.4, 53,  -3,* -6, 7, 15.4, ⑩⑥, 3, 9, トｰタルビクトリｰ,---,勝浦正, 1.3, 52, -11,*  0, 9, 26.0, ⑮⑭, 3, 5,Ａアンヴェイルド, 78,ルメｰ, 0.9, 76,  11,   0, 1,  2.4,④③③, 3, 2,Ｍファイヤｰロック, 79,武豊  , 0.9, 81,*  5,  21, 4,  8.6,③③⑤
 4, 7,Ｄピントゥリッキオ, 48,デムｰ, 0.6, 50,  -2,  -9, 2,  6.2, ⑥④, 4, 1, ポッドブロンコ,---,北村宏, 1.3, 52,  -8,  -3, 2,  5.0, ⑥⑩, 4, 4,Ｅヴィンテｰジドｰル, 71,内田博, 1.2, 74,  10,  -1, 3,  6.4,⑤⑤④, 4, 5,Ｂキｰプインタッチ, 87,戸崎圭, 0.9, 81,   4,  21, 1,  3.2,⑤⑥⑦
 5, 9,Ｃヤマタケジャイアン, 50,岩部純, 0.7, 53,  -4,* -5, 4,  9.2, ⑪⑪, 5,14, オヒアレフア,---,江田照, 1.8, 48,  -8,  -7,14,121.2, ⑬⑪, 5,10,Ｆインパルション, 70,大野拓, 1.7, 72,   9,   0, 8, 31.1,⑩⑩⑨, 5, 1,Ｉセイカフォルテ, 83,吉田豊, 1.0, 81,   4,* 22,16,126.5,⑦⑦⑨
 6,11,Ｉマｰズアタック, 42,横山典, 0.8, 49,* -1, -11, 9, 28.6, ⑦⑤, 6,11, ルクナバｰド,---,吉田豊, 2.0, 46,  -7, -10,11, 51.0, ⑧⑨, 6, 7,Ｇオｰゴンボルト, 69,江田照, 2.5, 66,* 12, -15, 7, 28.3,②②②, 6, 8,Ｋキネオイｰグル, 82,ルメｰ, 1.0, 81,   4,  21, 6,  9.7,⑧⑧⑧
 7,14,Ｂゴｰルデンレッグ, 52,松岡正, 1.3, 48,  -4, -12, 5, 11.0, ⑧⑦, 7, 5, ブラッキングウェイ,---,武士沢, 2.3, 44, -10,  -8,15,142.0, ⑩⑬, 7, 1,Ｂボｰイフレンド, 75,横山典, 3.6, 60,  11, -20, 5,  9.8,③④⑤, 7,11,Ｄオリオンザジャパン, 86,田辺裕, 1.4, 79,   3,  20,10, 41.1,⑩⑪⑪
 8, 5,Ｆミステリオ, 46,田中勝, 2.0, 43,  -6, -13, 8, 16.2, ⑮⑭, 8,10, ケイエスフェアリｰ,---,三浦皇, 2.4, 43,  -7, -14, 3,  6.2, ⑨⑧, 8, 8,Ｈレッドクラリス, 65,北村宏, 4.5, 56,  11, -28, 9, 48.1,⑥⑥⑥, 8,13,Ｊトウショウギフト, 82,岩部純, 1.5, 78,   2,  20,13, 81.3,⑪⑩⑬
 9, 4,Ｊウィップアロング, 41,江田照, 2.0, 42,  -5, -16,10, 29.4, ④⑨, 9, 3, イデアオブダンディ,---,大野拓, 2.7, 42,  -6, -17, 5, 10.7, ④⑦, 9, 3,Ｊゼロレボルシオン, 58,黛弘人, 4.6, 55,   9, -25,10,167.0,⑨⑨⑧, 9, 7,Ｃトｰセンハルカゼ, 87,松岡正, 1.6, 78,   2,  20, 8, 14.7,⑬⑬⑭
10, 6,Ｍハンキｰドｰリ, 29,野中悠, 2.1, 42,  -5, -18,14, 80.4, ⑬⑫,10,15, メインアクト,---,内田博, 3.0, 38,* -4, -23,10, 32.4, ②②,10, 9,Ｉコスモポッポ, 62,柴田大, 4.7, 55,   8, -25, 6, 26.6,⑧⑧⑩,10, 9,Ｎメガオパｰルカフェ, 76,四位洋, 1.9, 74,*  4,  12, 5,  9.0,⑨⑨⑥
11,12,Ｅボッチボｰル, 47,内田博, 2.7, 40,  -8, -16,15, 83.6, ⑯⑯,11, 6, クロシオサンカ,---,柴田善, 3.0, 40, -11, -12,13, 89.4, ⑭⑮,,,,,,,,,,,,,11,10,Ｌドラゴンピｰス, 81,北村宏, 2.0, 74,   4,  13, 9, 26.6,⑭⑭⑩
12,15,Ｋウジヒメ, 37,武士沢, 2.9, 36,  -2, -29,11, 46.8, ⑤③,12,16, シンバシヨコハマ,---,柴田大, 3.1, 38, -14, -11,12, 58.3, ⑯⑯,,,,,,,,,,,,,12,15,Ｈエｰシンザヘッド, 83,三浦皇, 2.0, 74,   3,  15,11, 48.7,⑫⑫⑫
13, 8,Ｇコスモベガス, 45,柴田大, 3.0, 37,  -7, -21, 3,  8.7, ⑭⑮,13,12, フェイマスアゲン,---,松岡正, 3.6, 34,* -5, -27, 7, 15.7, ⑪⑤,,,,,,,,,,,,,13,14,Ｇオメガスカイツリｰ, 83,江田照, 2.7, 70,   2,  11,14,106.0,⑮⑮⑮
14, 1,Ｏサニｰリスペクト,  8,勝浦正, 3.6, 31,  -4, -31,13, 59.1, ⑨⑩,14, 4, ヴェレｰナ,---,武豊  , 3.7, 33,* -5, -27, 6, 13.0, ⑤③,,,,,,,,,,,,,14,12,Ｆベルウッドテラス, 84,デムｰ, 2.9, 65,*  5,   2, 7, 14.1,④④③
15, 3,Ｌトウショウレイダｰ, 33,石川裕, 4.4, 29,  -6, -34,12, 54.8, ⑫⑬,15, 2, マイティジャック,---,黛弘人, 3.8, 33,  -6, -27, 8, 25.1, ③⑥,,,,,,,,,,,,,15,16,Ｐポセイドンバロｰズ, 73,大野拓, 3.5, 63,*  5,  -3,12, 59.1,⑥⑤④
,,,,,,,,,,,,16,13, ジャストラン,---,嘉藤貴, 6.1, 16,* -4, -50,16,159.4, ①①,,,,,,,,,,,,,16, 3,Ｏコスモナイスガイ, 76,柴田大, 4.7, 60,  -2,   5,15,107.2,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,
"単勝:230円 複勝:13=140円 16=410円 10=450円 枠連:1,270円",,,,,,,,,,,,"単勝:860円 複勝:08=290円 07=150円 09=630円 枠連:1,780円",,,,,,,,,,,,"単勝:280円 複勝:02=110円 06=190円 05=110円 枠連:1,870円",,,,,,,,,,,,単勝:830円 複勝:04=280円 06=210円 02=280円 枠連:800円,,,,,,,,,,,
"馬連:2,010円 ワイド:13-16=990円 10-13=1,020円 10-16=2,460円",,,,,,,,,,,,"馬連:1,610円 ワイド:07-08=630円 08-09=3,280円 07-09=1,250円",,,,,,,,,,,,"馬連:1,390円 ワイド:02-06=480円 02-05=190円 05-06=410円",,,,,,,,,,,,"馬連:2,200円 ワイド:04-06=890円 02-04=1,420円 02-06=1,030円",,,,,,,,,,,
