15年 8月15日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月15日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａドゥラリュｰル, 53,横山典,, 47,* -3,*  1, 1,  2.1,②③②, 1, 8,Ａモンドクラフト, 70,三浦皇,, 66,*  1,*  5, 2,  4.0,②②①, 1, 5,Ｃオｰシャンブルグ, 70,池添謙,, 71,   5,*  2, 4,  6.8,⑥⑥③, 1, 7,Ｃラヴアンドポップ, 52,池添謙,, 57,* -5,* -6, 7, 15.8,④②②
 2, 3,Ｇベルゼブブ, 44,菱田裕, 0.5, 45,* -3,  -5, 8, 26.0,①①①, 2,10,Ｉオフビｰトジャズ, 57,加藤祥, 0.7, 61,*  0,   0, 4,  6.0,③③③, 2,12,Ａココ, 74,加藤祥, 0.1, 68,*  6,  -2, 1,  2.5,⑦①①, 2, 6,Ｆマイネルサグラ, 47,三浦皇, 0.0, 59,* -3,  -8, 2,  5.3,②①①
 3, 8,Ｄジュアンマリエ, 48,福永祐, 0.5, 46,* -3,* -3, 2,  6.2,④④③, 3,13,Ｄキクノステラ, 64,福永祐, 1.0, 59,*  0,  -2, 1,  3.7,④④④, 3,11,Ｄビスカリア, 69,菱田裕, 0.3, 68,   4,*  2,12, 42.1,⑪⑧⑥, 3, 8,Ｈシャクンタラｰ, 42,ルメｰ, 0.2, 56,  -6,* -7, 1,  2.5,⑦⑦⑧
 4, 9,Ｌミッテルレギ, 19,井上敏, 1.6, 37,  -4, -11,12,118.7,⑤⑤⑤, 4, 7,Ｆヒロノドラム, 62,丸田恭, 1.0, 59,  -2,*  3, 6,  9.1,⑪⑪⑩, 4, 2,Ｅガロファノ, 68,福永祐, 0.5, 66,   4,  -1, 3,  5.6,⑤⑦⑦, 4, 3,Ａクロコスミア, 59,勝浦正, 0.3, 59,  -7,* -3, 3,  7.0,⑧⑪⑦
 5, 1,Ｈキタノイチジョｰ, 41,三浦皇, 1.8, 37,  -6,  -9, 6, 16.4,⑪⑧⑧, 5, 5,Ｋハッピｰパウダｰ, 53,武豊  , 1.6, 56,  -1,  -4, 7, 18.3,⑧⑨⑥, 5,13,Ｈマダムウルル, 66,四位洋, 0.8, 67,   1,*  2,11, 40.7,⑬⑬⑨, 5, 9,Ｇグロｰリｰミスト, 43,藤岡康, 0.5, 54,  -8,  -8, 5,  9.8,⑩⑨⑩
 6, 4,Ｆトゥｰルエッフェル, 45,池添謙, 1.8, 37,* -4, -15, 3,  6.6,③②④, 6, 6,Ｃヒロノカマオレ, 64,菱田裕, 1.6, 56,  -3,  -1, 3,  5.4,⑫⑫⑪, 6,10,Ｂオｰルオブナイト, 74,三浦皇, 0.8, 66,   1,*  2, 5, 14.0,⑫⑫⑫, 6, 2,Ｅネコダンサｰ, 48,武豊  , 0.7, 50,  -6, -14, 4,  7.7,③⑥⑥
 7,12,Ｅボｰディングパス, 46,丸田恭, 2.2, 32,  -8, -10, 7, 25.2,⑫⑩⑪, 7, 4,Ｌアスタｰレジェンド, 51,丸山元, 1.6, 56,  -1,  -5,12,117.9,⑦⑦⑦, 7, 9,Ｇガラドリエル, 68,荻野琢, 1.0, 63,   3,  -2, 8, 30.6,⑩⑩⑪, 7,12,Ｄゲッカコウ, 51,丹内祐, 0.8, 48,* -4, -16, 8, 24.2,⑥⑤④
 8, 7,Ｉウインプリマ, 34,丹内祐, 2.2, 34,  -5, -14,11, 88.1,⑥⑥⑥, 8, 1,Ｈヴェルデプラｰト, 57,黛弘人, 1.8, 54,   0,  -7,11,115.3,⑤⑤⑤, 8, 1,Ｍバイレ, 57,丸田恭, 1.0, 60,*  5,  -8, 7, 27.5,①②④, 8,11, ミトノグラス,---,五十嵐, 0.8, 48,* -5, -18,10,103.2,⑤③③
