15年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａバリキ, 71,浜中俊,, 66,   2,*  5, 1,  2.5, ③⑥, 1, 3,Ａブチコ, 79,岩田康,, 72,   3,* 11, 1,  1.7,③③③, 1, 5,Ａトゥザレジェンド, 75,川田将,, 70,*  0,*  6, 1,  2.1,②②②, 1, 8,Ｆアドマイヤスピカ, 81,岩田康,, 90,  16,* 14, 2,  5.1,⑫⑬⑬
 2, 8,Ｂハクサンフレンチ, 69,岩田康, 0.4, 61,*  4,  -1, 2,  2.9, ②②, 2, 4,Ｂバスタｰタイプ, 76,和田竜, 0.6, 70,   2,   8, 2,  4.6,⑥④④, 2, 9,Ｃサンレイフロｰラ, 72,岩崎翼, 0.2, 71,  -2,*  9, 5, 10.6,⑦⑦⑤, 2, 6,Ｅヤマニンボワラクテ, 82,藤懸貴, 0.6, 84,  21, -10, 3,  6.1,⑤⑥④
 3,14,Ｅセイジャッカル, 59,幸英明, 0.6, 60,   1,   0, 5, 15.8, ⑥④, 3, 7,Ｅオｰルブラッシュ, 65,藤岡康, 0.6, 68,   2,* 10,10,147.6,⑦⑦⑦, 3, 8,Ｂスズカシャｰマン, 74,秋山真, 0.2, 67,*  1,   3, 2,  3.1,①①①, 3,11,Ｂエｰシンハクリュｰ, 84,藤岡佑, 0.6, 83,  21, -11, 1,  2.7,⑥⑤⑤
 4, 9,Ｍアルｰリングトｰン, 42,川田将, 0.8, 58,  -2,   1, 3,  4.8, ⑧⑧, 4, 5,Ｈオｰルマンリバｰ, 61,浜中俊, 0.8, 69,   2,   8, 4,  8.9,⑨⑧⑧, 4, 3,Ｄビジュｰトウショウ, 70,荻野琢, 0.6, 66,  -1,   3, 3,  6.5,④③③, 4,12,Ａスノｰドン, 87,北村友, 0.6, 85,  17,   1, 7, 18.9,⑪⑪⑩
 5,10,Ｄメイショウボランチ, 62,義英真, 0.8, 58,  -4,*  4,11, 99.8, ⑨⑨, 5, 6,Ｉサｰジェントバッジ, 61,幸英明, 1.0, 66,   1,   8, 8, 60.4,⑪⑨⑨, 5, 4,Ｅジュｰンヴィエナ, 69,義英真, 0.7, 65,  -1,   2, 4,  6.9,⑧④④, 5, 2,Ｈトウカイオｰロラ, 81,秋山真, 0.7, 83,  19,  -5,10, 23.2,⑧⑧⑧
 6,13,Ｃダイシンバルカン, 62,松田大, 0.9, 57,   1,  -3, 7, 26.7, ④③, 6, 9,Ｄロングスピｰク, 67,シュタ, 1.0, 64,*  4,   1, 7, 32.7,②②②, 6, 7,Ｇルアノヴァ, 64,岩田康, 1.7, 62,  -4,   3, 6, 21.8,⑨⑨⑨, 6, 9,Ｉロングリバイバル, 80,幸英明, 0.8, 83,  20, -10, 4,  7.9,⑦⑦⑦
 7, 2,Ｇエンデヴァｰ, 55,酒井学, 1.0, 56,   1,  -4, 9, 47.8, ⑤⑤, 7,10,Ｆヒルノマレット, 64,小崎綾, 1.3, 62,   2,   2, 5, 18.1,④⑤⑤, 7, 2,Ｉサチヒメ, 56,古川吉, 1.9, 59,  -3,  -3, 9,112.7,⑥⑧⑧, 7, 4,Ｃメイクアップ, 83,酒井学, 0.9, 83,* 23, -19, 6, 14.0,③③②
 8, 1,Ｈワンダｰグロワｰル, 55,北村友, 1.3, 53,*  5, -10, 6, 24.5, ①①, 8, 2,Ｃドリｰムタイド, 68,川田将, 1.5, 61,*  4,  -4, 3,  5.5,①①①, 8, 6,Ｈポイントキセキ, 61,小崎綾, 2.5, 52,  -2, -11, 8, 68.2,⑤⑥⑦, 8, 3,Ｋアドマイヤバラｰド, 79,川田将, 1.0, 82,  19,  -8, 8, 19.7,⑨⑨⑨
