15年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾙﾌｪｰｳﾞﾙﾒﾓﾘｱﾙ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄシゲルクロマグロ, 48,松山弘,, 53,*  1,  -5, 6, 14.7, ②②, 1, 8, ダイワデッセｰ,,高田潤,,,,, 3,  3.9,⑦①①, 1, 8,Ｍエイシンバッケン, 59,酒井学,, 75,  -2,* 13, 8, 28.0, ⑥④, 1, 6,Ｃプロモントｰリオ, 79,デムｰ,, 77,   7,* 15, 3,  5.9,⑤⑦⑧
 2, 4,Ｃデピュティスカイ, 49,高倉稜, 0.0, 54,*  2,  -6, 2,  4.3, ①①, 2,11, ニシノマテンロウ,,小坂忠,197.5,,,, 4,  4.6,⑥④③, 2,14,Ａダイシンバルカン, 77,加藤祥, 0.2, 72,*  5,   5, 1,  2.7, ②②, 2, 2,Ｂケツァルテナンゴ, 81,ルメｰ, 0.2, 73,* 11,   1, 1,  3.4,②②②
 3, 6,Ｇシゲルオキサワラ, 43,義英真, 0.0, 53,  -4,*  1,10, 85.7, ⑥⑥, 3,10, エイシンフランキｰ,,森一馬,197.5,,,, 1,  3.3,③⑤⑥, 3, 3,Ｅミトノゴｰルド, 70,秋山真, 0.3, 70,  -3,* 12, 3,  8.6, ⑨⑦, 3, 7,Ｇカムフィｰ, 75,秋山真, 0.3, 77,   6,* 14, 8, 20.1,⑨⑨⑨
 4,12,Ｅコｰジェント, 46,ルメｰ, 0.1, 52,*  0,  -5, 1,  2.2, ③④, 4, 4, デビル,,西谷誠,197.6,,,, 6, 27.7,④③②, 4, 6,Ｇドリｰムカイザｰ, 68,川田将, 0.6, 69,*  6,   1, 5, 10.3, ①①, 4, 4,Ｄカノン, 78,高倉稜, 0.3, 75,* 11,   2, 6,  8.2,④④④
 5, 1,Ｆサラマンカ, 43,池添謙, 0.1, 52,  -1,  -4, 3,  7.4, ④③, 5, 1, ボレアス,,平沢健,197.6,,,, 2,  3.4,②②④, 5,12,Ｎコンテナ, 57,岡田祥, 0.7, 68,   2,   3,12,137.0, ③③, 5, 8,Ａエｰティｰタラント, 83,中井裕, 0.6, 73,   9,   2, 4,  7.3,⑥⑥⑤
 6,11,Ｂシゲルムロアジ, 50,国分優, 0.2, 50,  -9,*  3, 4,  8.6, ⑩⑨, 6, 9, ヴェアデイロス,,中村将,198.1,,,, 7, 33.7,⑧⑧⑧, 6,10,Ｄナガラブルボン, 72,四位洋, 0.7, 69,  -2,   8, 2,  2.8, ⑦⑧, 6, 5,Ｆマテンロウボス, 77,四位洋, 0.6, 72,   7,   5, 2,  4.3,⑧⑧⑦
 7, 8,Ｊアロｰフロスト, 41,酒井学, 1.2, 43,  -2, -12, 9, 34.5, ⑤⑤, 7, 7, メイショウライウン,,田村太,198.4,,,, 9, 44.9,⑤⑥⑤, 7, 9,Ｈトリックデック, 67,太宰啓, 1.1, 66, -12,* 14,11, 49.9, ⑯⑮, 7, 1,Ｈベルニｰニ, 75,菱田裕, 0.6, 71,* 11,  -2, 9, 56.7,③③③
 8,10,Ｈグロｰスハック, 42,鮫島克, 1.7, 36,  -7, -12, 8, 28.5, ⑧⑧, 8, 2, スズカプレスト,,北沢伸,199.1,,,,10, 89.6,⑨⑨⑨, 8,15,Ｃハッピｰロングラン, 72,北村友, 1.2, 64,  -8,  10, 6, 19.8, ⑭⑬, 8, 3,Ｅリヤンドファミユ, 78,池添謙, 1.0, 67,   9,  -2, 7,  8.7,⑦⑤⑥
