15年10月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａクロｰスフレンド, 54,デムｰ,, 49,*  5,  -9, 2,  3.9, ②②, 1, 8, メイショウメイコウ,---,武幸四,, 66,* -5,*  6, 1,  3.1,①①①, 1, 7,Ａシュヴァルグラン, 88,福永祐,, 88,   9,* 16, 1,  1.7,③④③, 1,10,Ｉケツァルテナンゴ, 74,シュタ,, 81,   1,*  8, 3,  6.3, ⑧⑥
 2, 3,Ｅクリノセゴビア, 42,酒井学, 0.1, 49,   4,  -8, 9, 35.0, ④④, 2, 9, ダノンスパｰク,---,松若風, 0.3, 64,  -7,*  7, 3,  5.8,⑤④③, 2, 1,Ｂエイシンアロンジｰ, 87,シュタ, 0.3, 87,   9,* 15, 2,  2.3,⑤⑥⑦, 2, 5,Ｂダノンムｰン, 81,デムｰ, 0.0, 80,   3,   7, 1,  2.3, ⑤④
 3, 9,Ｋオｰルスマイル, 27,太宰啓, 0.3, 45,  -9,*  6,11, 97.6, ⑫⑫, 3,10, オｰスミハナチャン,---,小牧太, 0.4, 62,* -5,   4, 5,  7.9,②②②, 3, 6,Ｃフォントルロイ, 79,松山弘, 0.5, 85,   7,  14, 5, 21.7,⑧⑧⑧, 3, 7,Ｃピオネロ, 80,福永祐, 0.1, 80,   1,*  8, 4,  6.7, ⑦⑦
 4,12,Ｂクリスタルキャノン, 53,松若風, 0.7, 43,  -3,  -6, 7, 24.7, ⑩⑨, 4, 3, インヴィジブル,---,池添謙, 1.6, 53,  -8,  -2, 8, 16.5,⑦⑧⑧, 4, 8,Ｅアドマイヤカｰリン, 75,岩田康, 0.7, 82,   9,   8, 3, 12.6,⑦⑦⑥, 4, 3,Ｄタイセイアプロｰズ, 78,松山弘, 0.1, 79,*  4,   2, 2,  3.7, ③②
 5, 7,Ｃツｰスタｰク, 52,菱田裕, 1.1, 40,   1, -14, 8, 27.5, ⑦⑦, 5, 7, キクノテソロ,---,松山弘, 1.8, 53, -10,  -1,10, 71.5,⑩⑨⑨, 5, 2,Ｄショｰグン, 76,蛯名正, 1.6, 73,* 10, -11, 6, 30.6,②②②, 5, 9,Ｇサングレアル, 78,岩田康, 0.2, 77,*  4,   0, 5, 10.0, ①①
 6,10,Ｆシャウトオブジョイ, 42,蛯名正, 1.4, 37,   1, -17, 3,  5.4, ⑥⑤, 6, 4, カレンコマンドｰル,---,蛯名正, 2.1, 50,  -8,  -7, 9, 36.2,⑥⑥⑥, 6, 5,Ｈキンショｰタイム, 71,松若風, 1.8, 70,   9,  -8, 8, 71.5,⑥⑤⑤, 6, 6,Ｊダノンフェニックス, 71,蛯名正, 0.2, 82,   0,* 10,10, 79.6, ⑩⑨
 7, 4,Ｊライディングハイ, 31,小牧太, 1.5, 36,  -2, -14, 4,  9.8, ⑨⑩, 7, 6, コンフィアンサ,---,浜中俊, 2.1, 48,  -6, -10, 4,  5.9,④③⑤, 7, 3,Ｇグッドカフェ, 72,幸英明, 1.8, 72,* 11, -15, 4, 19.5,①①①, 7, 8,Ｅアドマイヤドバイ, 78,菱田裕, 0.4, 75,   2,   0, 8, 29.2, ②③
 8, 1,Ｇタイセイフラム, 40,幸英明, 1.9, 34,  -3, -14,12,126.3, ⑪⑪, 8, 5, ランデックアブデル,---,福永祐, 2.4, 46,  -8, -10, 7, 16.3,⑧⑦⑦, 8, 4,Ｆマイネルシュライ, 73,高倉稜, 2.0, 71,* 10, -14, 7, 57.9,④③④, 8, 4,Ｈダイシンブラック, 75,柴山雄, 0.4, 77,  -1,   5, 9, 72.1, ⑥⑧
