15年 8月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1500m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1500m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａボｰダレス, 57,横山典,, 51,* -3, -11, 2,  3.0, ①①, 1,13,Ｈレオフラッパｰ, 54,横山典,, 65,   7,* -5, 9, 26.0,⑥⑧⑦, 1, 5,Ａネオリアリズム, 77,ルメｰ,, 82,   3,* 23, 2,  2.8,⑥⑥⑤, 1, 9,Ａセウアズｰル, 81,福永祐,, 76,   0,* 15, 2,  5.4,⑩⑩⑨
 2, 7,Ｂマｰチン, 44,加藤祥, 0.5, 45, -12,  -8, 6, 27.0, ⑤④, 2, 2,Ｄメイショウスタｰク, 63,四位洋, 0.1, 65,   7,  -6, 6,  8.6,⑦⑦⑨, 2, 3,Ｂヒルノマテｰラ, 76,四位洋, 0.5, 74,   7,   6, 1,  2.7,④④④, 2,11,Ｋエルゴレア, 69,柴山雄, 0.1, 71,   3,   8, 8, 19.3,⑤⑤④
 3, 4,Ｅホワイトパンドラ, 38,小林徹, 0.6, 44,  -8, -13, 1,  2.6, ③②, 3,14,Ｂパｰフェクトビュｰ, 66,柴山雄, 0.1, 64,   8,  -9, 1,  3.2,⑧⑥④, 3, 6,Ｈジャストフォｰユｰ, 64,井上敏, 0.6, 70,* 14,  -8, 5, 13.1,①①①, 3, 7,Ｂアカネイロ, 78,吉田隼, 0.1, 72,   0,  10, 1,  2.6,⑦⑦⑧
 4, 9,Ｈアイシｰザライト, 29,水口優, 0.8, 43, -15,  -7, 9,119.2, ⑧⑦, 4,10,Ｊシｰオブラブ, 52,ルメｰ, 0.3, 63,   7,  -9, 7, 11.6,⑨⑨⑧, 4, 8,Ｆラガｰギアチェンジ, 67,池添謙, 0.6, 71,  10,   0, 7, 20.1,②②②, 4, 8,Ｄアンレｰル, 76,四位洋, 0.2, 73,  -2,* 14, 4,  8.5,⑪⑪⑩
 5, 3,Ｃサラマンカ, 42,ルメｰ, 0.9, 39,* -6, -20, 3,  4.4, ②③, 5, 3,Ｇギャルソンヌ, 55,吉田隼, 0.3, 60,   3,* -4,10, 32.2,⑩⑩⑩, 5, 4,Ｃレジメンタル, 72,福永祐, 1.3, 65,   4,   1, 3,  5.0,⑤⑤⑥, 5, 6,Ｆモズハツコイ, 73,池添謙, 0.2, 67,*  5,   1, 7, 18.4,①①①
 6, 8, ミシェル,---,城戸義, 0.9, 40, -12, -13, 5, 14.9, ⑥⑤, 6, 7,Ａマイネルプロンプト, 67,丹内祐, 0.4, 61,   8, -13, 2,  4.9,⑤⑤⑥, 6,10,Ｄヒカルエリントン, 72,丸山元, 1.5, 64,   0,   6, 6, 18.3,⑧⑦⑦, 6, 5,Ｃダンツキャンサｰ, 76,藤田伸, 0.2, 74,  -5,* 17, 6, 11.3,⑭⑭⑬
 7, 1,Ｆスイｰトマティｰニ, 35,丹内祐, 1.0, 39, -23,* -4, 7, 71.7, ⑩⑨, 7, 1,Ｃリアンシチｰ, 65,城戸義, 0.7, 59,* 12, -22, 5,  8.3,①①①, 7, 7,Ｅアドマイヤアロマ, 68,藤岡康, 1.6, 65,   0,   5, 4,  9.4,⑦⑧⑧, 7, 2,Ｈロｰズマンブリッジ, 72,ルメｰ, 0.3, 71,  -1,  10, 5,  8.7,⑨⑨⑪
 8,10,Ｉカタオモイ, 26,荻野琢, 1.7, 30, -13, -22,10,175.6, ⑦⑧, 8, 6,Ｌサリュダムｰル, 43,加藤祥, 1.0, 53,  -1,  -7,12,209.8,⑭⑭⑬, 8,11,Ｇテイエムクロタカ, 65,古川吉, 1.9, 57,   8, -15, 8, 48.7,③③③, 8,10,Ｅシｰギリヤガｰル, 75,丹内祐, 0.4, 66,*  5,   0, 9, 37.7,③②②
