15年 7月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇスノｰドリｰム, 44,田中博,, 61, -12,*  4, 4,  7.8, ⑩⑦, 1, 2,Ｃレッドサバス, 63,四位洋,, 72,  -7,* 11, 1,  4.5,⑬⑦⑤, 1, 8,Ｃセクシｰボｰイ, 72,岩田康,, 70,  -3,*  9, 3,  3.6, ⑤⑤, 1, 6,Ｃレイヌドネｰジュ, 77,横山典,, 82,  -1,* 21, 2,  3.6,⑧⑧⑧
 2, 1,Ｂコウセイカルメン, 55,松田大, 0.0, 64, -10,*  5, 2,  4.5, ⑧⑧, 2,15,Ｆウインアｰマｰ, 62,丹内祐, 0.0, 69,* -5,   7, 4,  6.2,④③②, 2, 2,Ａテｰオｰヘリオス, 74,荻野琢, 0.2, 68,  -3,   7, 2,  3.1, ④④, 2, 3,Ｄメイショウテッサイ, 76,古川吉, 0.3, 78,   0,  14, 6, 16.0,⑦⑦④
 3,10,Ａアッラサルｰテ, 61,池添謙, 0.0, 59,* -5,  -2, 1,  2.2, ③③, 3,14,Ｇララエクラテｰル, 61,岩田康, 0.1, 74,  -8,* 14, 3,  5.8,⑭⑨⑩, 3, 6,Ｂウエスタンラムｰル, 74,松田大, 0.2, 68,  -2,   7, 1,  3.0, ③③, 3, 4,Ａメイクアップ, 81,岩田康, 0.3, 77,   2,  10, 1,  2.4,④③③
 4, 5,Ｄスウィｰティｰ, 51,城戸義, 0.3, 56,* -3,  -8, 8, 42.7, ①①, 4,16,Ｌレディルｰ, 50,柴山雄, 0.1, 70,  -7,   8, 8, 24.8,⑧④④, 4, 1,Ｄユキノマルガリｰタ, 67,吉田隼, 0.3, 66,  -8,*  9, 8, 28.1, ⑥⑥, 4, 7,Ｇティアｰモ, 66,藤岡康, 0.4, 76,   3,   8, 4,  6.3,②②②
 5, 6,Ｉフリｰムｰヴメント, 36,丸田恭, 0.5, 53,* -4, -10, 5, 10.7, ②②, 5, 9,Ｂダノンウルフ, 64,丸田恭, 0.2, 65,* -4,   1, 5,  6.3,②②①, 5, 3,Ｇコスモキｰマン, 64,丹内祐, 0.5, 65,*  1,   2, 9, 47.1, ①①, 5, 8,Ｂインナｰアｰジ, 79,柴山雄, 0.5, 76,   1,  11, 3,  4.0,⑤⑤⑤
 6, 3,Ｆピエナクルｰズ, 45,古川吉, 1.1, 46, -13,  -8, 6, 15.7, ⑪⑩, 6, 7,Ａスペリオルラスタｰ, 65,三浦皇, 0.5, 67,  -7,   5, 6,  7.6,⑪⑧⑥, 6,11,Ｈゼンザイ, 63,丸山元, 0.8, 64,*  3,  -2, 4, 12.1, ②②, 6, 5,Ｆマンディスキュア, 67,長岡禎, 1.0, 72,   0,   4, 7, 75.3,⑥⑥⑦
 7, 7,Ｊビップフウマ, 29,柴山雄, 1.3, 43,  -8, -16, 7, 39.6, ⑤⑤, 7, 6,Ｄビｰハグ, 62,丸山元, 0.8, 66,  -8,   7, 2,  5.7,⑨⑪⑪, 7, 7,Ｆモリトブイコｰル, 64,井上敏, 0.8, 61, -11,   6, 7, 22.1, ⑨⑨, 7, 2,Ｈサトノプレジデント, 57,杉原誠, 1.1, 64,* 10, -18, 5, 13.0,①①①
 8, 9,Ｈマｰチン, 40,菱田裕, 1.3, 45, -10, -13,11,193.1, ⑦⑨, 8, 1,Ｍウォｰタｰエライ, 49,城戸義, 0.9, 65,  -8,   5,14,141.8,⑦⑩⑫, 8,12,Ｅスズカプリオｰル, 67,長岡禎, 0.8, 60, -14,*  8,10, 68.3, ⑩⑪, 8, 1,Ｅタプロｰム, 67,荻野琢, 1.1, 69,   0,   2, 8, 90.1,③④⑥
