15年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天草特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａブンブンブラウ, 51,松山弘,, 47, -15,*  1, 2,  3.1, ⑧⑨, 1, 7, ワｰルドマッチ,,林満明,,,,, 2,  3.5,②②②, 1,10,Ｃメジャｰガラメキ, 73,岩崎翼,, 70,*  5,   9, 4,  5.8,①①①, 1, 3,Ｂマルヨバクシン, 78,川須栄,, 79,  -2,  18, 1,  3.4, ⑤④
 2,12,Ｎポッドシルビア,  6,佐藤友, 0.1, 45, -10,  -5,14,238.1, ④④, 2, 5, ヒルノマドリｰド,,西谷誠,193.6,,,, 4,  5.2,①①①, 2,15,Ｅエヴォリュｰション, 70,太宰啓, 0.1, 71,*  4,   9, 7, 38.2,②②②, 2,16,Ｉトウカイセンス, 73,川島信, 0.3, 78, -11,* 23, 4, 10.8, ⑯⑭
 2, 8,Ｉオｰミポルカ, 29,畑端省, 0.1, 45,* -7,  -8,11,135.5, ①①, 3, 8, タピエス,,難波剛,194.3,,,, 3,  4.7,③③③, 3, 7,Ｆネオヴァシュラン, 70,川田将, 0.4, 67,*  3,   8, 1,  2.8,③③④, 3,13,Ｌキタサンエピソｰド, 71,小牧太, 0.5, 74,  -7,  17, 8, 18.9, ⑬⑪
 4, 1,Ｄタイセイマライカ, 41,和田竜, 0.1, 48, -20,*  6, 4, 10.7, ⑬⑬, 4, 2, ゼロス,,北沢伸,194.8,,,, 1,  2.6,④④④, 4, 2,Ｄウルティマミュｰズ, 73,浜中俊, 0.6, 67,   0,* 12, 5,  6.4,⑪⑪⑩, 4,11,Ａオヒア, 78,酒井学, 0.6, 71,*  1,   8, 2,  4.4, ④③
 5,10,Ｂキタイチサクラ, 43,中谷雄, 0.2, 44, -18,*  1, 3,  3.8, ⑪⑩, 5, 6, テイエムオドロキ,,小坂忠,195.3,,,, 5,  9.3,⑤⑤⑤, 5,14,Ｂモンシュシュ, 73,中谷雄, 0.7, 65,   2,   8, 3,  5.2,⑦⑤⑥, 5, 7,Ｍタイセイララバイ, 70,松山弘, 0.7, 71,  -7,  14, 5, 13.3, ⑫⑬
 6,11,Ｅバナナムｰチョ, 39,秋山真, 0.2, 44, -10,  -7, 5, 11.4, ③③, 6, 3, エイシンカリバｰン,,植野貴,197.5,,,, 6, 27.6,⑥⑥⑥, 6, 3,Ｌハンマｰクラビア, 62,松山弘, 1.0, 65,   1,   7,11, 81.9,⑥⑧⑤, 6,17,Ｊバトルムｰングロウ, 73,岩崎翼, 0.8, 68,*  1,   5,11, 26.9, ③⑤
 7,14,Ｈカシノマザｰ, 30,大庭和, 0.3, 43,* -8,  -9,13,236.4, ②②, 7, 1, ミスタｰビッグ,,平沢健,197.7,,,, 8, 55.9,⑧⑧⑧, 7, 4,Ｉジュｰンヴィエナ, 68,義英真, 1.1, 65,  -1,* 10, 9, 59.7,⑮⑭⑭, 7,15,Ｋスノｰエンジェル, 71,和田竜, 0.8, 69,  -3,   9, 3,  6.6, ⑦⑦
 8, 5,Ｃクｰルマギｰ, 43,浜中俊, 0.3, 42, -12,  -5, 1,  3.0, ⑤⑤, 8, 4, ウエスタンムサシ,,田村太,198.1,,,, 7, 36.1,⑦⑦⑦, 8, 1,Ａクライミングロｰズ, 74,幸英明, 1.1, 65,  -1,* 11, 2,  4.3,⑬⑬⑫, 7,12,Ｃサンライズポパイ, 75,秋山真, 0.8, 70, -11,  17,10, 23.5, ⑮⑯
 9, 6,Ｋナンゴクハルネット, 27,酒井学, 0.6, 39, -12,  -9, 9, 70.8, ⑥⑥,,,,,,,,,,,,, 9, 5,Ｇエアマデレｰン, 70,川須栄, 1.1, 65,   0,   8, 6, 28.0,⑧⑩⑧, 9, 2,Ｆナムラアッパｰ, 74,高倉稜, 0.8, 71,  -8,  14, 9, 20.5, ⑪⑫
10, 3,Ｇコイハオヤスミ, 33,鮫島克, 0.7, 37, -18,  -5, 6, 30.3, ⑩⑪,,,,,,,,,,,,,10, 6,Ｏスナｰクエンジェル, 49,和田竜, 1.3, 60,   2,   2,12, 97.2,④④③,10, 4,Ｏマルカファイン, 67,熊沢重, 0.9, 67,  -5,   9,17,209.5, ⑨⑨
11, 2,Ｍエメラルドアイ, 22,義英真, 1.0, 34, -23,  -4,12,206.6, ⑭⑫,,,,,,,,,,,,,11,13,Ｎビジュｰミニョン, 55,国分恭, 1.4, 61,   1,   2,15,204.5,⑩⑦⑦,11, 1,Ｐテｰオｰトマホｰク, 64,浜中俊, 0.9, 67,  -5,   9,16, 81.0, ⑧⑧
12, 7,Ｆテイエムアカトンボ, 33,幸英明, 1.0, 34, -15, -12, 8, 57.6, ⑦⑧,,,,,,,,,,,,,12, 9,Ｋサンレイフレンチ, 64,酒井学, 1.6, 63,   0,   6,13,101.0,⑫⑫⑬,12, 9,Ｅゼンノコリオリ, 74,武幸四, 1.1, 66, -11,  13, 6, 14.9, ⑭⑮
13, 4,Ｌシゲルニジョウサバ, 27,太宰啓, 1.1, 31, -18, -11,10,122.1, ⑨⑦,,,,,,,,,,,,,13,11,Ｊチャｰムドヴェｰル, 67,佐藤友, 2.1, 55,   1,  -3, 8, 55.0,⑤⑥⑨,13, 6,Ｎモｰニングコｰル, 69,幸英明, 1.1, 65,*  2,   0,14, 57.5, ②②
14,13,Ｊシゲルイブリカマス, 28,国分恭, 2.3, 17, -17, -28, 7, 56.6, ⑫⑭,,,,,,,,,,,,,14,12,Ｈエンプレスペスカ, 69,森一馬, 2.1, 56,  -2,   2,14,148.0,⑭⑮⑮,14, 8,Ｈクラウンカイザｰ, 73,国分恭, 1.2, 64,  -5,   5,12, 27.5, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｍピアレスピンク, 62,高倉稜, 2.1, 57,   0,  -2,10, 65.3,⑨⑨⑪,15,10,Ｇロマネクイｰン, 73,佐藤友, 1.3, 62,  -2,   1,13, 54.6, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｄアドマイヤクｰガｰ, 74,川田将, 1.5, 64, -25,* 21, 7, 16.0, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｑクｰファナイン, 55,小坂忠, 2.1, 51,*  3, -15,15, 65.7, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
"単勝:310円 複勝:09=190円 08=2,580円 12=4,570円 枠連:1,290円",,,,,,,,,,,,単勝:350円 複勝:07=150円 05=180円 08=150円 枠連:0円,,,,,,,,,,,,単勝:580円 複勝:10=180円 15=490円 07=150円 枠連:990円,,,,,,,,,,,,単勝:340円 複勝:03=180円 16=350円 13=500円 枠連:740円,,,,,,,,,,,
"馬連:9,940円 ワイド:08-09=5,160円 09-12=12,510円 08-12=96,550円",,,,,,,,,,,,"馬連:1,370円 ワイド:05-07=550円 07-08=260円 05-08=390円",,,,,,,,,,,,"馬連:6,750円 ワイド:10-15=1,420円 07-10=360円 07-15=1,190円",,,,,,,,,,,,"馬連:2,260円 ワイド:03-16=1,010円 03-13=1,540円 13-16=3,340円",,,,,,,,,,,
"馬単:13,540円 3連複:1,057,590円 3連単:1,400,230円",,,,,,,,,,,,"馬単:2,610円 3連複:1,640円 3連単:8,680円",,,,,,,,,,,,"馬単:9,940円 3連複:5,160円 3連単:44,210円",,,,,,,,,,,,"馬単:3,180円 3連複:13,810円 3連単:48,720円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａタムロミラクル, 75,川田将,, 65,*  4,*  7, 1,  1.2,②②①, 1, 7, ストロングタイタン,---,浜中俊,, 50,*-16,* -1, 1,  1.7,④②②, 1, 7,Ｂピクニックソング, 75,小坂忠,, 73,*  3,*  7, 3, 11.0, ①①, 1, 4,Ｂメイショウヤタロウ, 84,秋山真,, 84,  -6,* 29, 5,  8.8,⑨⑪⑫
 2, 5,Ｂクロｰザｰ, 64,和田竜, 0.4, 63,   3,   7, 2,  8.9,④⑤③, 2, 4, リッチｰリッチｰ,---,川田将, 0.2, 49,*-16,  -4, 2,  4.5,①①①, 2, 8,Ａエイシンバランサｰ, 76,松山弘, 0.2, 71,* -1,*  7, 1,  1.7, ②②, 2, 9,Ｆノボリディアｰナ, 78,幸英明, 0.2, 79,*  0,  16, 4,  8.6,②②②
 3,14,Ｆメイショウセセラギ, 59,鮫島克, 0.7, 60,   0,*  8,12, 91.6,⑧⑩⑨, 3, 8, マルカベッカム,---,幸英明, 0.9, 43, -17, -10, 3,  5.8,⑥⑥④, 3,14,Ｍロットリｰ, 56,川田将, 0.6, 67,*  0,   4, 7, 41.4, ③③, 3, 5,Ｌバッドボｰイ, 70,和田竜, 0.2, 77,*  0,  15, 8, 24.2,①①①
 4, 2,Ｋカシノサクセス, 54,熊沢重, 0.8, 62,*  3,   2,10, 83.3,⑤④⑤, 4, 2, ダンツブルｰス,---,和田竜, 1.5, 33,*-15, -21, 5, 21.9,⑧④⑥, 4, 9,Ｄホッコｰマグマ, 71,幸英明, 0.8, 64,  -3,   3, 4, 13.5, ⑤④, 4, 7,Ｉマウントシャスタ, 73,浜中俊, 0.2, 83,  -6,* 28, 3,  8.2,⑫⑫⑦
 5,13,Ｃリミットレス, 63,鮫島良, 1.0, 60,   1,   3, 8, 60.1,⑪⑨⑦, 5, 3, コパノスウィｰプ,---,義英真, 1.6, 32, -17, -20, 7, 26.2,③⑤⑦, 5, 1,Ｊミスズモンブラン, 60,酒井学, 0.9, 63,  -5,   4,11, 58.8, ④⑥, 5, 8,Ａマロｰブルｰ, 87,川田将, 0.3, 78,  -3,  19, 1,  2.4,④⑤⑥
 6, 4, アスクアミｰゴ,---,義英真, 1.0, 59,  -2,*  8, 9, 79.0,⑨⑫⑩, 6, 6, イチザビｰナス,---,鮫島克, 2.1, 27, -20, -21, 8, 70.9,⑤⑧⑧, 6, 5,Ｃクｰゲル, 74,鮫島克, 1.1, 59,  -7,   2, 2,  3.5, ⑦⑦, 6,12,Ｄサンライズタイセイ, 79,小牧太, 0.3, 80,  -4,  22, 6, 10.2,⑩⑩⑪
 7,11,Ｄデンコウシュク, 62,小牧太, 1.2, 58,   3,   0, 5, 33.8,⑮⑧⑥, 7, 5, タガノキングパワｰ,---,松山弘, 2.3, 24,*-15, -33, 4, 11.6,②③③, 7, 4,Ｉカシノヒカル, 61,太宰啓, 1.1, 60, -14,*  7,13,192.8, ⑫⑫, 7,13,Ｊマックスドリｰム, 73,川須栄, 0.4, 75,* -2,  16,12, 61.3,⑭⑥④
 8,12,Ｅエイダイサンデｰ, 59,岩崎翼, 1.3, 57,*  4,  -3, 7, 37.7,⑦③④, 8, 1, ケイティブレイブ,---,三津谷, 3.2, 15, -17, -43, 6, 23.3,⑦⑦⑤, 8,13,Ｅトリックデック, 68,川島信, 1.2, 60,  -3,   0, 6, 20.7, ⑥⑤, 8,10,Ｅマコトブリジャｰル, 78,松山弘, 0.4, 78,* -1,  16, 2,  5.0,⑤③③
 9, 6,Ｈシゲルトンテントン, 56,国分恭, 1.6, 55,  -1,   3,13,194.5,⑫⑬⑫,,,,,,,,,,,,, 9,10,Ｇシゲルミマサカ, 64,国分恭, 1.2, 59, -14,   7,12,164.7, ⑬⑬, 9, 6,Ｋアドマイヤブルｰ, 71,武幸四, 0.7, 74,  -4,  16,10, 47.7,⑦⑨⑨
10, 9,Ｌセイマイスタｰ, 53,酒井学, 2.1, 50,   1,  -7,14,261.1,⑥⑥⑧,,,,,,,,,,,,,10,12,Ｈウリボｰ, 63,小牧太, 1.2, 59,  -8,   2, 5, 17.5, ⑧⑧,10,14,Ｈゼンノルジェロ, 76,熊沢重, 0.7, 73,  -3,  15,11, 51.8,⑧⑦⑩
11, 1,Ｇアドマイヤサクセス, 56,松山弘, 2.6, 50,  -3,  -2, 6, 37.6,⑬⑭⑭,,,,,,,,,,,,,11, 2,Ｋウォｰタｰメアヌイ, 59,武幸四, 1.4, 58, -18,*  7, 8, 43.5, ⑭⑭,11, 2,Ｍドリｰムバスケット, 68,佐藤友, 0.9, 78, -10,* 27,14,174.6,⑪⑭⑭
