15年 5月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1400m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京優駿 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａデストリｰライズ, 62,三浦皇,, 58,   1,* -3, 3,  6.7, ⑫⑩, 1, 3,Ａグラスエトワｰル, 74,木幡初,, 72,   6,*  0, 1,  4.7, ④⑤, 1,12,Ｏアペルトゥｰラ, 56,内田博,, 72,*  0,   9, 2,  8.0, ②②, 1,14,Ａドゥラメンテ, 87,デムｰ,, 93,  14,* 13, 1,  1.9,⑧⑧⑨
 2, 1,Ｅオｰバｰウェルム, 54,横山典, 0.4, 52,   6, -14, 2,  5.2, ⑥④, 2,15,Ｄマｰトンパｰク, 68,ルメｰ, 0.4, 67,   6,  -2, 2,  4.8, ⑧⑦, 2,16,Ｈベストリｰダｰ, 67,デムｰ, 0.2, 70,*  0,   9, 9, 31.4, ④③, 2, 1,Ｈサトノラｰゼン, 82,岩田康, 0.3, 91,  14,   9, 5, 18.7,⑨⑨⑧
 3,16,Ｃサノタイクｰン, 57,井上敏, 0.5, 53,*  8, -19, 5,  8.6, ①①, 3,12,Ｅスｰルキｰトス, 67,吉田豊, 0.6, 63,  -1,*  4, 6, 10.5, ⑮⑭, 3, 1,Ｂサニｰデイズ, 72,石川裕, 0.3, 71,*  0,   6, 1,  1.6, ①①, 3,11,Ｅサトノクラウン, 82,ルメｰ, 0.3, 90,  11,* 14, 3,  6.3,⑮⑮⑮
 4, 4,Ｈダイワバｰス, 51,丸田恭, 0.8, 49,   4, -15, 7, 16.5, ⑧⑧, 4,14,Ｂツァリｰツァ, 71,菱田裕, 0.9, 65,*  8, -10, 5, 10.3, ③③, 4,13,Ａフィラｰレ, 76,岩田康, 0.3, 70,*  0,   8, 3,  9.3, ⑤④, 4,13,Ｂリアルスティｰル, 86,福永祐, 0.6, 86,  12,   7, 2,  3.8,⑬⑫⑪
 5,14,Ｂイヌイジェニｰ, 60,丹内祐, 0.8, 49,   0,* -9, 6, 16.0, ⑬⑫, 5,10,Ｍシャンパンサｰベル, 60,柴田大, 0.9, 62,   0,*  0,13,102.4, ⑬⑫, 5, 9,Ｎパリｰアｰク, 62,ルメｰ, 0.5, 69,  -3,   9, 5, 17.4, ⑨⑦, 5, 3,Ｎコメｰト, 74,嘉藤貴, 0.7, 85,* 15,  -3,16,234.9,③③③
 6, 7, ドリｰムユニバンス,---,北村宏, 1.0, 49,*  6, -21, 1,  2.8, ③③, 6, 6,Ｉテイア, 63,江田照, 1.1, 62,   3,  -3, 9, 34.7, ⑫⑩, 6, 5,Ｌシャｰクベイ, 66,吉田豊, 0.7, 67,  -8,* 14, 4, 13.7, ⑬⑬, 6,15,Ｇミュゼスルタン, 82,柴田善, 0.8, 86,  10,* 12, 9, 54.4,⑯⑰⑰
 7, 5,Ｄキョウワデュｰク, 55,的場勇, 1.1, 48,   3, -17,13,100.6, ⑦⑦, 7, 8,Ｈパルパルパピヨン, 65,石川裕, 1.3, 62,   5,  -9, 8, 15.9, ⑦⑥, 7,11,Ｉオメガグランディス, 67,戸崎圭, 0.7, 67,  -5,   9,11, 42.9, ⑫⑩, 7, 2,Ｄタンタアレグリア, 84,蛯名正, 0.8, 88,  11,* 10, 7, 23.4,⑰⑯⑯
 8, 6,Ｋオｰルディｰズ, 40,木幡初, 1.2, 49,   1, -13,15,170.1, ⑩⑨, 8,16,Ｌジュエルアラモｰド, 62,石橋脩, 1.8, 56,*  7, -17,10, 40.0, ②②, 8, 8,Ｅオベリスク, 67,吉田隼, 0.7, 67,  -3,   6,15,132.0, ⑦⑥, 8, 4,Ｋグァンチャｰレ, 76,松岡正, 0.9, 87,  13,   2,15,220.5,⑩⑪⑩
 9,11,Ｎコイオス, 32,江田照, 1.3, 45,   5, -21,11, 57.8, ⑤⑤, 9, 7,Ｆパセンジャｰシップ, 67,北村宏, 1.8, 55,  -1,  -7, 3,  5.1, ⑥⑬, 9, 6,Ｊトウカイマインド, 67,横山典, 0.8, 65,  -1,   4, 6, 18.6, ③⑤, 9, 7,Ｃレｰヴミストラル, 85,川田将, 1.3, 81,  12,  -5, 4, 16.2,⑪⑩⑫
10,15,Ｍフェスタジュニｰナ, 35,オｰル, 1.4, 46,   5, -22, 8, 17.6, ④⑥,10,13,Ｏヒマラヤテンカ, 50,原田和, 1.9, 54,   3, -13,16,358.6, ⑨⑨,10,15,Ｆジャズダンサｰ, 67,江田照, 1.4, 61,  -5,   3,10, 34.6, ⑥⑨,10,10,Ｊミュゼエイリアン, 79,横山典, 1.4, 78,* 17, -18,10, 70.7,①①①
